Genero.especie,Nombre_aceptado_GBIF,Nombre_aceptado_rWCVP,Nombre_aceptado_WFO,Comparacion_tres_fuentes,Detalle_comparacion
Abelia.grandiflora,Abelia chinensis,,,Revisar,Falta resultado en una o más fuentes
Abelia.sp1.M.PL.054,,,,Revisar,Sin resultados en las tres fuentes
Abelia.serrata,Diabelia serrata,Diabelia serrata,Linnaea serrata,Revisar,Coinciden GBIF y rWCVP; WFO es diferente
Abelmoschus.manihot,Abelmoschus manihot,Abelmoschus manihot,Abelmoschus manihot,Coinciden,Coinciden las tres fuentes
Abutilon.depauperatum,Abutilon depauperatum,Pseudabutilon depauperatum,Pseudabutilon depauperatum,Revisar,Coinciden rWCVP y WFO; GBIF es diferente
Abutilon.terminale,Abutilon terminale,Abutilon terminale,Abutilon terminale,Coinciden,Coinciden las tres fuentes
Abutilon.theophrasti,Abutilon theophrasti,Abutilon theophrasti,Abutilon theophrasti,Coinciden,Coinciden las tres fuentes
Acacia.insulae-iacobi,Vachellia insulae-iacobi,Vachellia insulae-iacobi,Vachellia insulae-iacobi,Coinciden,Coinciden las tres fuentes
Acacia.macracantha,Vachellia macracantha,Vachellia macracantha,Vachellia macracantha,Coinciden,Coinciden las tres fuentes
Acaena.pinnatifida,Acaena pinnatifida,,Acaena pinnatifida,Revisar,Coinciden GBIF y WFO; rWCVP sin resultado
Acanthostachys.strobilaceae,Acanthostachys strobilacea,Acanthostachys strobilacea,Acanthostachys strobilacea,Coinciden,Coinciden las tres fuentes
Acanthus.spinosus,Acanthus spinosus,Acanthus spinosus,Acanthus spinosus,Coinciden,Coinciden las tres fuentes
Acer.ukurunduense,Acer ukurunduense,Acer ukurunduense,Acer ukurunduense,Coinciden,Coinciden las tres fuentes
Acer.shirasawanum,Acer shirasawanum,Acer shirasawanum,Acer shirasawanum,Coinciden,Coinciden las tres fuentes
Acer.rufinerve,Acer rufinerve,Acer rufinerve,Acer rufinerve,Coinciden,Coinciden las tres fuentes
Acer.saccharinum,Acer saccharinum,Acer saccharinum,Acer saccharinum,Coinciden,Coinciden las tres fuentes
Acer.insulae,,Acer insulare,Acer insulare,Revisar,Coinciden rWCVP y WFO; GBIF sin resultado
Acer.japonicum,Acer japonicum,Acer japonicum,Acer japonicum,Coinciden,Coinciden las tres fuentes
Acer.carpinifolium,Acer carpinifolium,Acer carpinifolium,Acer carpinifolium,Coinciden,Coinciden las tres fuentes
Acer.negundo,Acer negundo,Acer negundo,Acer negundo,Coinciden,Coinciden las tres fuentes
Achillea.alpina.,Achillea alpina,Achillea alpina,Achillea alpina,Coinciden,Coinciden las tres fuentes
Achillea.millefolium,Achillea millefolium,Achillea millefolium,Achillea millefolium,Coinciden,Coinciden las tres fuentes
