Order,Family,Genus,Species,Genus_and_species,Nest,Nest_with_active_construction,Nest_with_active_construction_and_material,Nesting_behavior,Nesting_behavior,Nesting_behavior,Nesting_material,Nesting_material,Nesting_material,Nesting_specific_material,Larval_location,Larval_microhabitat,Larval_microhabitat,Larval_microhabitat,Larval_microhabitat,Larval_microhabitat,Larval_microhabitat,Larval_microhabitat,Larval_microhabitat,Larval_microhabitat,Larval_microhabitat,Larval_microhabitat,Larval_microhabitat,Larval_microhabitat,Larval_microhabitat,Larval_microhabitat,Larval_microhabitat,Larval_microhabitat,Number_of_larval_microhabitats,Host,Larval_nutrition,Inundation_tolerance_of_larvae,Duration_of_larval_development,Duration_of_larval_development,Duration_of_larval_development,Duration_of_larval_development,Larval_specific_microhabitat,Larval_diet_breadth,Plant_taxa,Body_length_(categories),Body_hair_(categories),Body_structure,"Body_length_(mm,_raw_data)",ITD_(inter-tegular_distance),ITD_(inter-tegular_distance),ITD_(inter-tegular_distance),ITD_(inter-tegular_distance),ITD_(inter-tegular_distance),ITD_(inter-tegular_distance),Tongue_length,Tongue_length,Tongue_length,Tongue_length,Tongue_length,Tongue_length,Hair_length,Hair_length,Hair_length,Hair_length,Hair_length,Hair_length,Hair_density,Hair_density,Hair_density,Hair_density,Hair_density,Hair_density,Hairiness_index,Hairiness_index,Hairiness_index,Hairiness_index,Hairiness_index,Hairiness_index,Sociality,Number_of_generations,Number_of_generations,Number_of_generations,Number_of_generations,Buzz_pollinator,Flight_behaviour,Flight_height,Tolerance_to_human_influence,Flight_period_(season),Flight_period_(season),Flight_period_(season),Flight_period_(season),Flight_period_(season),Flight_period_(season),Flight_period_(months),Spatial_distribution_in_Europe,Adult_macrohabitat,Adult_macrohabitat,Adult_macrohabitat,Adult_macrohabitat,Adult_macrohabitat,Adult_macrohabitat,Adult_macrohabitat,AOO_(Area_of_occupancy),EOO_(Extent_of_occurrence),STI_(Species_temperature_index),SCI_(Species_continentality_index),Validator,References
,,,,,,,,excavator,mason,renter,plant,mineral,animal,,,snail_shell,herb_layer,plant,artificial,mineral,bird_nest,pre-existing_cavity_on_the_ground,trees,upward_climbing_lianas,timber,dung,litter,stones,nests_of_social_insects,root_zone,on_water_plants,submerged_sediment,,,,,<2_months,2-6_months,7-12_months ,>1_year,,,,,,,,ITD_F_mm,ITD_F_n,ITD_M_mm,ITD_M_n,ITD_Q_mm,ITD_Q_n,TongueLength_F_mm,TongueLength_F_n,TongueLength_M_mm,TongueLength_M_n,TongueLength_Q_mm,TongueLength_Q_n,HairLength_F,HairLength_F_n,HairLength_M,HairLength_M_n,HairLength_Q,HairLength_Q_n,HairDensity_F,HairDensity_F_n,HairDensity_M,HairDensity_M_n,HairDensity_Q,HairDensity_Q_n,HairinessIndex_F,HairinessIndex_F_n,HairinessIndex_M,HairinessIndex_M_n,HairinessIndex_Q,HairinessIndex_Q_n,,<1,1,2,>2,,,,,early_spring_(March),"spring_(April,_May)",early_summer_(June),"summer_(July,_August)","autumn_(September,_October,_November)","winter_(December,_January,_February)",,,temperate_deciduous_forest,mediterranean_forest_and_bushes,coniferous_forest,alpine_habitat,wetland_habitat,steppe_habitat,not_specialized,,,,,,
Diptera,Syrphidae,Anasimyia,contracta,Anasimyia contracta,no,NA,NA,NA,NA,NA,NA,NA,NA,NA,above_ground,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,no,yes,yes,2,no,saprophagous,yes_(with_long_breathing_tube),no,yes,no,no,NA,NA,NA,medium,not_long,medium_elongated,7–11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,solitary,no,yes,yes,no,no,strong_fliers,near_ground,medium,no,yes,yes,yes,yes,no,"may,_june,_august,_september",widely,no,no,no,no,yes,no,no,NA,NA,5.927680737,7.71623745,Ante Vujic & Marija Milicic,NA
Diptera,Syrphidae,Anasimyia,femorata,Anasimyia femorata,no,NA,NA,NA,NA,NA,NA,NA,NA,NA,above_ground,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,no,yes,yes,2,no,saprophagous,yes_(with_long_breathing_tube),no,no,yes,no,NA,NA,NA,medium,not_long,medium_elongated,9.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,solitary,no,yes,no,no,no,strong_fliers,near_ground,medium,no,no,yes,yes,no,no,"june,_july",south,no,no,no,no,yes,no,no,10,8000,14.59301367,7.054089828,Ante Vujic & Marija Milicic,NA
Diptera,Syrphidae,Anasimyia,interpuncta,Anasimyia interpuncta,no,NA,NA,NA,NA,NA,NA,NA,NA,NA,above_ground,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,no,yes,yes,2,no,saprophagous,yes_(with_long_breathing_tube),no,no,yes,no,NA,NA,NA,medium,not_long,medium_elongated,8–11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,solitary,no,yes,no,no,no,strong_fliers,near_ground,medium,no,yes,no,yes,no,no,"april,_may,_july",widely,no,no,no,no,yes,no,no,NA,NA,8.161126941,6.937651119,Ante Vujic & Marija Milicic,NA
Diptera,Syrphidae,Anasimyia,lunulata,Anasimyia lunulata,no,NA,NA,NA,NA,NA,NA,NA,NA,NA,above_ground,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,no,yes,yes,2,no,saprophagous,yes_(with_long_breathing_tube),yes,yes,no,no,NA,NA,NA,medium,not_long,medium_elongated,7–10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,solitary,no,no,yes,no,no,strong_fliers,near_ground,medium,no,yes,yes,yes,no,no,"may,_june,_july,_august",widely,no,no,no,no,yes,no,no,NA,NA,4.634927283,6.808614333,Ante Vujic & Marija Milicic,NA
Diptera,Syrphidae,Anasimyia,transfuga,Anasimyia transfuga,no,NA,NA,NA,NA,NA,NA,NA,NA,NA,above_ground,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,no,yes,yes,2,no,saprophagous,yes_(with_long_breathing_tube),no,no,yes,no,NA,NA,NA,medium,not_long,medium_elongated,9–11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,solitary,no,no,yes,no,no,strong_fliers,near_ground,medium,no,yes,yes,yes,no,no,"may,_june,_july,_august",widely,no,no,no,no,yes,no,no,NA,NA,9.329653747,5.768728973,Ante Vujic & Marija Milicic,NA
Diptera,Syrphidae,Arctosyrphus,willingii,Arctosyrphus willingii,no,NA,NA,NA,NA,NA,NA,NA,NA,NA,above_ground,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,yes,1,no,saprophagous,yes_(with_long_breathing_tube),no,no,yes,no,NA,NA,NA,medium,not_long,robust_abdomen,8–10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,solitary,no,yes,no,no,no,strong_fliers,near_ground,low,no,yes,yes,yes,no,no,"may,_june,_july",north,no,no,no,yes,yes,no,no,580141,1091824,0.458333304,9.990512695,Ante Vujic & Marija Milicic,NA
Diptera,Syrphidae,Baccha,elongata,Baccha elongata,no,NA,NA,NA,NA,NA,NA,NA,NA,NA,above_ground,no,yes,yes,no,no,no,no,yes,yes,no,no,no,no,no,no,no,no,3,no,zoophagous,no,yes,yes,no,no,NA,NA,NA,medium,not_long,elongated_abdomen,7–11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,solitary,no,yes,yes,no,no,strong_fliers,arboreal,medium,no,yes,yes,yes,yes,no,"april,_may,_june,_july,_august,_september,_october",widely,yes,yes,yes,no,no,no,no,2484,6005685,8.190379147,5.96475377,Ante Vujic & Marija Milicic,NA
Diptera,Syrphidae,Blera,eoa,Blera eoa,no,NA,NA,NA,NA,NA,NA,NA,NA,NA,above/under_ground,no,no,yes,no,no,no,no,yes,no,yes,no,no,no,no,yes,no,no,3,no,saproxylic,yes_(with_long_breathing_tube),no,no,yes,no,NA,NA,NA,medium,not_long,medium_elongated,10–12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,solitary,no,yes,no,no,no,strong_fliers,arboreal,medium,no,no,yes,yes,no,no,"june,_july",north,no,no,yes,no,no,no,no,12,310844,0.954817736,9.685771217,Ante Vujic & Marija Milicic,NA
Diptera,Syrphidae,Blera,fallax,Blera fallax,no,NA,NA,NA,NA,NA,NA,NA,NA,NA,above/under_ground,no,no,yes,no,no,no,no,yes,no,yes,no,no,no,no,yes,no,no,3,no,saproxylic,yes_(with_long_breathing_tube),no,no,yes,no,NA,NA,NA,medium_or_large,not_long,medium_elongated,9–13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,solitary,no,yes,no,no,no,strong_fliers,near_ground,medium,no,yes,yes,yes,no,no,"may,_june,_july",widely,no,no,yes,no,no,no,no,3937245,8148487,5.206494231,7.07129856,Ante Vujic & Marija Milicic,NA
