section,trait,trait_description,trait_states,categories,pollinator_taxa,type_of_variable,unit,data_source
Nesting,Nest,whether species requires a nest for offspring development,NA,"yes, no",bees and hoverflies,Boolean,NA,"expert taxonomist, field observations"
Nesting,Nest_with_active_construction,whether species constructs its nest (or parasites other species nests),NA,"yes, no, yes/no",bees,Boolean,NA,"literature, expert taxonomist"
Nesting,Nest_with_active_construction_and_material,whether species uses material to construct and partition its nest,NA,"yes, no, yes/no",bees,Boolean,NA,"Stuart Roberts, literature, expert taxonomist"
Nesting,Nesting_behavior,"with respect to the way species nests (categorised by activity, place, substrate)","excavator, mason, renter","yes, no",bees,Boolean,NA,"Stuart Roberts, literature, expert taxonomist"
Nesting,Nesting_material,refers to the type of material a species uses to construct or partition its nest,"plant, mineral, animal","yes, no",bees,Boolean,NA,"Stuart Roberts, literature, expert taxonomist"
Nesting,Nesting_specific_material,refers to the specific nesting material(s) used by a species to construct its nest,NA,NA,bees,text,NA,"Stuart Roberts, literature, expert taxonomist"
Larva,Larval_location,the location of the species' larvae during its development,NA,"above ground, under ground, above/under ground",bees and hoverflies,text,NA,"Stuart Roberts, literature, expert taxonomist (inferred from data on larval microhabitat)"
Larva,Larval_microhabitat,the place of the nest  / the place where the larvae develop,"snail shell, herb layer, plant, artificial, mineral, bird nest, pre-existing cavity on the ground, trees, upward climbing lianas, timber, dung, litter, stones, nests of social insects, root zone, on water plants, submerged sediment","yes, no",bees and hoverflies,Boolean,NA,"Stuart Roberts, literature, expert taxonomist"
Larva,Number_of_larval_microhabitats,the number of microhabitats used by the species' larvae,NA,NA,bees and hoverflies,integer number,NA,"Stuart Roberts, literature, expert taxonomist (inferred from data on larval microhabitat)"
Larva,Host,"host species: used by brood parasitic and inquiline bee species for the development of their offspring, or for hoverfly species whose larvae develop in the nests of social insects",NA,NA,bees and hoverflies,text,NA,"literature, expert taxonomist"
Larva,Larval_nutrition,with respect to the food resources of larvae,NA,"zoophagous, saproxylic, phytophagous (roots), phytophagous (bulbs), saprophagous, pollen/nectar, pollen/nectar/oil",bees and hoverflies,text,NA,"literature, expert taxonomist"
Larva,Inundation_tolerance_of_larvae,"the tolerance of larvae to inundation, with respect to the length of breathing tube",NA,"yes (with long breathing tube), yes (with breathing tube of medium length), yes (with short breathing tube), no",bees and hoverflies,text,NA,"literature, expert taxonomist"
Larva,Duration_of_larval_development,the time it takes for larvae to develop,"<2 months, 2–6 months, 7–12 months, > 1 year","yes, no",hoverflies,Boolean,NA,literature
Larva,Larval_specific_microhabitat,the specific place(s) where the species builds its nest,NA,NA,bees,text,NA,expert taxonomist
Larva,Larval_diet_breadth,"reflects the degree of dietary specialization of the species' larvae, i.e., if a species collects pollen from one (oligolectic) or from more than one plant family (polylectic)",NA,"oligolectic, polylectic",bees,Boolean,NA,"Stuart Roberts, literature, expert taxonomist"
Larva,Plant_taxa,"the host plants of the specialist (oligolectic) species (i.e., plant family, genus or species)",NA,NA,bees,text,NA,"literature, expert taxonomist"
Adult_morphology,Body_length_(categories),"with respect to the average body length of hoverfly species, or an ITD (inter-tegular distance) of bee species",NA,"small, small or medium, medium, medium or large, large",bees and hoverflies,text,NA,"Stuart Roberts, literature, expert taxonomist, original data"
