;Andinus_venustus;Anthidium_sp;Bombus_dahlbomii;Cynthia_terpsichore;Dasybasis_sp1;Diptera_ni;Faunula_leucoglene;Habromyia_lipoflava;Hymenoptera_ni;Hypsochila_wagenknecti;Megachile_semirufa;Phulia_nymphula;Pseudolucia_chilensis;Scaeva_melanostoma;Stenanthidium_espinosai;Tatochila_mercedis;Troch_ni;Villa_sp;Yramea_modesta;Bombyllidae_ni;Sarcophagidae_ni;Coleoptera_ni;Syrphidae_ni;Tachinidae_ni;Megachile_sp5;Troch_ni;Sarcophagidae_sp;Vibrissiomyia_sp
Nastanthus_aglomeratus;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Nastanthus_spathulatus;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Cerastium_arvense;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0
Cerastium_montioides;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Chaetanthera_apiculata;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0
Chaetanthera_flabellata;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Chaetanthera_lycopodioides;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0
Erigeron_andicola;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Leuceria_salina;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Nassauvia_lagascae;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0
Nassauvia_pinnigera;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Nassauvia_pungens;0;0;1;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Senecio_francisci;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
