;Alloscirtetica_rufitarsis;Alloscirtetica_gayi;Alloscirtetica_sp;Andinus_venustus;Anthidium_chilensis;Anthidium_decaspilum;Anthidium_funereum;Anthidium_gayi;Anthidium_adriani;Anthidium_sp;Anthophora_incerta;Anthophora_sp;Auca_coctei-pales;Bombus_dahlbomii;Cadeguala_occidentalis;Caenohalictus_sp;Caupolicana_dimidiata;Centris_nigerrima;Centris_cineraria;Chilimelissa_sp;Coelioxys_sp;Colletes_fulvipes;Colletes_araucariae;Colletes_sp;Corynura_sp;Dasybasis_sp1;Dasybasis_sp2;Dialictus_sp;Diptera_ni;Elaphroptera_relicta;Eristalis_tenax;Etcheverrius_chilensis;Eurygostomyia_philippii;Faunula_leucoglene;Habromyia_lipoflava;Hemicolletes_ruizi;Hymenoptera_ni;Hypodynerus_chiliotus;Hypsochila_wagenknecti;Isepeolus_niveiventris;Lepidoptera_ni;Liphanthus_sabulosus;Lithurgomma_wagenknechti;Lycophlaeba_lugubris;Megachile_semirufa;Mesonychium_gayi;Panurgineae_sp;Phulia_nymphula;Prosopochaeta_caliginosa;Pseudolucia_chilensis;Ruizantheda_mutabilis;Ruiziella_luctuosa;Scaeva_melanostoma;Scaptia_atra;Svastrides_melanura;Tapinotaspis_herbsti;Tapinotaspis_caerulea;Tatochila_mercedis;Tatochila_blanchardii;Troch_ni;Truphoecus_bellus;Villa _durvillei;Villa_gayi;Villa_guttapennis;Villa_hypoxantha;Villa_semifuscata;Villa_sp;Villa_arenarius ;Xanthocolletes_sicheli;Xanthocolletes_incahuasi;Yramea_lathonoides;Megachile_sp1;Bibionidae_sp1;Bibionidae_sp2;Coleoptera_ni;Spathipalpus_philippii;Vibrissomyia_sp;Villa_verdensis;Hypodynerus_sp3;Chilicola_sp;Bombyllidae_ni;Tachinidae_ni;Vespidae_ni;Tabanidae_ni;Caenohalictus_sp2;Caenohalictus_sp3;Megachile_sp2;Sarcophagidae_ni;Xanthocolletes_sp;Hypodynerus_sp2;Muscidae_sp;Agromyzidae_sp1;Agromyzidae_sp2;Anthomyiidae_sp2;Centris_sp;Liphanthus_sp2;Anthomyiidae_sp4;Chaetodemoticus_chilensis
Alstromemeria_pallida;0;1;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Hippeastrum_uniflorum;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Leucocoryne_ixioides;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Leucocoryne_pauciflora;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Nothoscordum_andinum;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Rhodophiala_montana;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Tristagama_bivalve;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Tristagama_nivale;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Tristagama_sessile;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Berberis_empetrifolia;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0
