;Alloscirtetica_rufitarsis;Alloscirtetica_sp;Andinus_venustus;Anthidium_funereum;Anthidium_sp;Ateloglutus_sp;Auca_coctei-pales;Bombus_dahlbomii;Caenohalictus_sp;Centris_nigerrima;Centris_cineraria;Colletes_fulvipes;Colletes_sp;Dasybasis_sp1;Diptera_ni;Etcheverrius_chilensis;Faunula_leucoglene;Gayella_reedi;Habromyia_lipoflava;Hymenoptera_ni;Hypodynerus_chiliotus;Lepidoptera_ni;Lycophlaeba_lugubris;Megachile_semirufa;Panurgineae_sp;Phulia_nymphula;Prosopochaeta_caliginosa;Pseudolucia_chilensis;Scaeva_melanostoma;Tatochila_mercedis;Tatochila_blanchardii;Troch_ni;Villa_flavicura;Villa_gayi;Villa_hypoxantha;Villa_semifuscata;Villa_sp ;Villa_arenarius;Yramea_lathonoides;Yramea_modesta;Megachile_sp1;Bombylliidae_ni;Tachinidae_ni;Coleoptera_sp;Spathipalpus_philippii;Vibrissomyia_sp;Villa_verdensis ;Sarcophagidae_ni;Hypodynerus _sp3;Chilicola sp.;Bibionidae_sp1;Anthomyiidae_ni;Vespidae_ni;Tabanidae_ni;Hypodynerus_sp2;Megachile_sp2;Megachile_sp4;Megachile_sp5;Agromyzidae_sp1;Agromyzidae_sp2;Anthomyiidae_sp2;Centris_cana
Nothoscordum_andinum;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Rhodophiala_montana;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Tristagama_nivale;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Berberis_empetrifolia;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Nastanthus_spathulatus;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Cerastium_arvense;0;0;0;0;0;0;0;1;1;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Cerastium_montioides;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Chaetanthera_euphrasioides;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;1;1;1;1;1;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Chaetanthera_pusilla;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Chuquiraga_oppositifolia;0;0;1;0;0;0;1;1;0;0;0;0;0;0;1;1;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
