;Halictus_sp;Sepsis_thoracica;Agrotis_ipsilon;Bombus_ruderatus;Colias_crocea;Musca_domestica;Apis_mellifera;Lucilia_sericata;Lasius_niger;Anothomyia_pluvialis;Calliphora_vemitoria;Eristalix_tenax
Azorina_vidalii;98;51;0;9;9;23;89;0;37;0;13;0
Crithmum_maritimum;0;87;0;0;0;83;0;93;0;0;0;12
Solidago_sempervivens;141;0;22;0;0;0;0;0;0;0;0;0
Beta_vulgaris;0;8;0;0;0;0;0;0;0;0;0;0
Daucus_carota;11;0;0;0;0;102;0;8;0;0;0;0
Silene_vulgaris;7;30;0;0;0;0;0;0;0;0;0;0
Chamomilla_suaveolens;21;0;0;0;0;42;0;0;0;23;0;0
Lotus_corniculatus;0;0;0;47;21;0;9;0;0;0;0;0
Freesia_refracta;0;0;0;11;12;0;0;0;0;0;0;0
Reseda_luteola;11;0;0;0;0;0;9;0;0;0;0;0
