Specie,Kingdom,Role,Degree,Sum(connections strength),Networks presence
"Adela cuprella","Animals","Pollinator",1,1,2
"Adia cinerella ","Animals","Pollinator",1,1,2
"Ammophila pubescens","Animals","Pollinator",1,1,1
"Anarta myrtilli","Animals","Pollinator",2,2,2
"Anarta sp1 M_PL_047","Animals","Pollinator",1,1,1
"Andrena barbilabris","Animals","Pollinator",1,1,1
"Andrena clarkella","Animals","Pollinator",2,2,2
"Andrena fulva","Animals","Pollinator",3,3,2
"Andrena fuscipes","Animals","Pollinator",1,1,2
"Andrena haemorrhoa","Animals","Pollinator",5,5,3
"Andrena lapponica","Animals","Pollinator",2,2,3
"Andrena nigroaenea","Animals","Pollinator",3,3,3
"Andrena sp1 M_PL_047","Animals","Pollinator",3,3,1
"Andrena tarsata","Animals","Pollinator",1,1,2
"Andrena wilkella","Animals","Pollinator",1,1,3
"Anoplius sp1 M_PL_047","Animals","Pollinator",2,2,1
"Apis mellifera","Animals","Pollinator",13,13,123
"Aplotarsus incanus","Animals","Pollinator",1,1,2
"Arge ustulata","Animals","Pollinator",1,1,1
"Athous subfuscus","Animals","Pollinator",1,1,2
"Autographa bractea","Animals","Pollinator",1,1,2
"Bellardia vulgaris","Animals","Pollinator",3,3,2
"Bibio lanigerus","Animals","Pollinator",1,1,2
"Bombus bohemicus","Animals","Pollinator",4,4,2
"Bombus cryptarum","Animals","Pollinator",1,1,1
"Bombus jonellus","Animals","Pollinator",6,6,2
"Bombus lapidarius","Animals","Pollinator",4,4,9
"Bombus lucorum","Animals","Pollinator",8,8,7
"Bombus muscorum","Animals","Pollinator",1,1,2
"Bombus pascuorum","Animals","Pollinator",8,8,10
"Bombus pratorum","Animals","Pollinator",3,3,7
"Bombus rupestris","Animals","Pollinator",2,2,1
"Bombus sp1 M_PL_047","Animals","Pollinator",7,7,1
"Bombus sp2 M_PL_047","Animals","Pollinator",6,6,1
"Bombus terrestris","Animals","Pollinator",1,1,11
"Calameuta pallipes","Animals","Pollinator",2,2,2
"Calliopum aeneum","Animals","Pollinator",1,1,1
"Callophrys rubi","Animals","Pollinator",3,3,4
"Cephalops obtusinervis","Animals","Pollinator",1,1,1
"Cerceris arenaria","Animals","Pollinator",3,3,4
"Cerceris rybyensis","Animals","Pollinator",1,1,1
"Cheilosia albitarsis","Animals","Pollinator",1,1,4
"Cheilosia urbana","Animals","Pollinator",1,1,1
"Chrysomela collaris","Animals","Pollinator",1,1,2
"Chrysotoxum arcuatum","Animals","Pollinator",1,1,1
"Chrysotoxum bicinctum","Animals","Pollinator",1,1,3
"Chrysotoxum fasciatum","Animals","Pollinator",4,4,1
"Coenosia femoralis","Animals","Pollinator",1,1,2
"Coenosia means","Animals","Pollinator",3,3,2
"Coenosia sp1 M_PL_047","Animals","Pollinator",1,1,1
