Specie,Kingdom,Role,Degree,Sum(connections strength),Networks presence
"Aclonempis longipes","Animals","Pollinator",2,2,1
"Alliopsis sp1 M_PL_049","Animals","Pollinator",1,1,1
"Alliopsis sp2 M_PL_049","Animals","Pollinator",1,1,1
"Alliopsis sp3 M_PL_049","Animals","Pollinator",1,1,1
"Alloestylus sudeticus","Animals","Pollinator",2,2,1
"Anaspis frontalis","Animals","Pollinator",2,2,4
"Anaspis rufilabris ","Animals","Pollinator",1,1,3
"Anthobium minutum","Animals","Pollinator",3,3,1
"Anthobium ophthalmicum","Animals","Pollinator",1,1,1
"Anthobium torquratum","Animals","Pollinator",1,1,1
"Aphantopus hyperantus","Animals","Pollinator",18,18,3
"Apion apricans","Animals","Pollinator",1,1,1
"Apion flavipes","Animals","Pollinator",1,1,3
"Apis mellifera","Animals","Pollinator",5,5,123
"Apocrita sp1 M_PL_049","Animals","Pollinator",2,2,1
"Athalia lineolata","Animals","Pollinator",3,3,1
"Athalia sp1 M_PL_049","Animals","Pollinator",2,2,1
"Azelia triquetra","Animals","Pollinator",1,1,1
"Bombus agrorum","Animals","Pollinator",11,11,1
"Bombus hortorum","Animals","Pollinator",2,2,7
"Bombus hypnorum","Animals","Pollinator",2,2,2
"Bombus lucorum","Animals","Pollinator",9,9,7
"Bombus pratorum","Animals","Pollinator",7,7,7
"Bombus terestis","Animals","Pollinator",7,7,1
"Bombylius major","Animals","Pollinator",1,1,8
"Brachicoma devia","Animals","Pollinator",3,3,1
"Calameuta filiformis","Animals","Pollinator",1,1,1
"Calocoris norvegicus","Animals","Pollinator",3,3,1
"Calocoris sexguttatus","Animals","Pollinator",2,2,1
"Cateretes pedicularius","Animals","Pollinator",10,10,1
"Cetonia aurata","Animals","Pollinator",1,1,2
"Cheilosia nigripes","Animals","Pollinator",1,1,1
"Cheilosia pagana","Animals","Pollinator",6,6,2
"Cheilosia proxima","Animals","Pollinator",1,1,1
"Cheilosia pubera","Animals","Pollinator",2,2,1
"Cheilosia variabilis","Animals","Pollinator",1,1,1
"Chloromyia formosa ","Animals","Pollinator",3,3,2
"Chloropis sp1 M_PL_049","Animals","Pollinator",1,1,1
"Chloropsis sp1 M_PL_049","Animals","Pollinator",2,2,1
"Chrysogaster solstitialis","Animals","Pollinator",4,4,3
"Chrysops pictus","Animals","Pollinator",1,1,1
"Chrysotoxum bicinetum","Animals","Pollinator",1,1,1
"Conioscinella frontella","Animals","Pollinator",1,1,1
"Craspedochoeata sp1 M_PL_049","Animals","Pollinator",2,2,1
"Crossocerus affinis","Animals","Pollinator",1,1,1
"Cynthia cardui","Animals","Pollinator",3,3,1
"Dasyphora cyanicolor","Animals","Pollinator",3,3,1
"Dasytes plumbeus ","Animals","Pollinator",3,3,4
"Delia sp1 M_PL_049","Animals","Pollinator",2,2,1
"Delia sp2 M_PL_049","Animals","Pollinator",1,1,1
"Delia sp3 M_PL_049","Animals","Pollinator",1,1,1
"Delia sp4 M_PL_049","Animals","Pollinator",1,1,1
"Diptera sp7 M_PL_049","Animals","Pollinator",1,1,1
"Discocerina obscurella","Animals","Pollinator",2,2,1
"Egle sp1 M_PL_049","Animals","Pollinator",1,1,1
"Empis aestiva","Animals","Pollinator",11,11,2
"Empis albinervis","Animals","Pollinator",6,6,1
"Empis nigripes","Animals","Pollinator",1,1,1
"Empis nuntia","Animals","Pollinator",2,2,2
"Empis pennipes","Animals","Pollinator",2,2,1
"Empis rustica","Animals","Pollinator",7,7,1
"Episyrphus balteatus","Animals","Pollinator",24,24,17
"Eristalis interrupta","Animals","Pollinator",13,13,2
"Eristalis intricaria","Animals","Pollinator",2,2,3
"Eristalis pertinax","Animals","Pollinator",2,2,5
"Fannia fuscula","Animals","Pollinator",2,2,1
"Fannia pallitibia","Animals","Pollinator",1,1,1
"Fannia polycheta","Animals","Pollinator",1,1,1
"Fannia rondanii","Animals","Pollinator",1,1,1
"Fannia sp1 M_PL_049","Animals","Pollinator",1,1,1
"Gastroidea viridula","Animals","Pollinator",1,1,1
"Gorytes Campestris","Animals","Pollinator",1,1,1
"Grammoptra ruficornis","Animals","Pollinator",1,1,1
"Graphomya maculata","Animals","Pollinator",1,1,7
"Graphomya picta","Animals","Pollinator",1,1,1
"Gymnetron veronicae","Animals","Pollinator",1,1,1
"Hadrodemus m-flavum","Animals","Pollinator",1,1,1
"Haematopota pluvialis","Animals","Pollinator",1,1,1
"Halictus calceatus","Animals","Pollinator",1,1,1
"Halictus leucopus","Animals","Pollinator",2,2,1
"Halictus quadrinotatus","Animals","Pollinator",4,4,1
"Helophilus hybridus","Animals","Pollinator",7,7,1
"Helophilus pendulus","Animals","Pollinator",6,6,4
"Helophilus trivittatus","Animals","Pollinator",1,1,4
"Hercostomus germanus","Animals","Pollinator",2,2,1
"Hercostomus nigripennis","Animals","Pollinator",2,2,1
"Heteronychia haemorrhoa","Animals","Pollinator",1,1,1
"Heteronychia vagens","Animals","Pollinator",1,1,1
"Hilara brevistyla","Animals","Pollinator",1,1,1
"Hilarella stictica","Animals","Pollinator",1,1,1
"Holoclera nigripennis","Animals","Pollinator",9,9,1
"Hydrothassa marginella","Animals","Pollinator",1,1,1
"Hylemya sp1 M_PL_049","Animals","Pollinator",1,1,1
"Hylemya sp2 M_PL_049","Animals","Pollinator",1,1,1
"Hylemya sp3 M_PL_049","Animals","Pollinator",1,1,1
"Hylotoma ciliaris","Animals","Pollinator",1,1,1
"Inachis io","Animals","Pollinator",1,1,5
"Ischyrosyrphys laternarius","Animals","Pollinator",1,1,1
"Judolia cerambyciformis","Animals","Pollinator",1,1,1
"Laria loti","Animals","Pollinator",1,1,1
"Lepidoptera sp31 M_PL_049","Animals","Pollinator",1,1,1
"Lepidoptera sp32 M_PL_049","Animals","Pollinator",3,3,1
"Lepidoptera sp33 M_PL_049","Animals","Pollinator",1,1,1
"Lepidoptera sp36 M_PL_049","Animals","Pollinator",5,5,1
"Lepidoptera sp37 M_PL_049","Animals","Pollinator",1,1,1
"Lepidoptera sp38 M_PL_049","Animals","Pollinator",2,2,1
"Lepidoptera sp39 M_PL_049","Animals","Pollinator",2,2,1
"Lepidoptera sp4 M_PL_049","Animals","Pollinator",1,1,1
"Lepidoptera sp5 M_PL_049","Animals","Pollinator",1,1,1
"Leptopterna dolabrata","Animals","Pollinator",1,1,1
"Limnobaris T-album","Animals","Pollinator",1,1,1
"Limnophora riparia","Animals","Pollinator",3,3,1
"Limnophora triangular","Animals","Pollinator",2,2,1
"Liriomyza sp1 M_PL_049","Animals","Pollinator",1,1,1
"Lophosceles Cinereiventris","Animals","Pollinator",1,1,1
"Lucilia caesar","Animals","Pollinator",1,1,2
"Lucilia sericata","Animals","Pollinator",1,1,17
"Lucilia silvarum","Animals","Pollinator",3,3,1
"Lygus lucorum","Animals","Pollinator",2,2,1
"Macropis labiata","Animals","Pollinator",2,2,1
"Maniola jurtina","Animals","Pollinator",7,7,10
"Melanostoma mellinum","Animals","Pollinator",5,5,8
"Melanostoma scalare","Animals","Pollinator",7,7,12
"Meligethes aeneus","Animals","Pollinator",22,22,3
"Meligethes Coeruleovirens","Animals","Pollinator",4,4,1
"Melinda gentilis","Animals","Pollinator",2,2,1
"Melinda viridicyanea","Animals","Pollinator",5,5,1
"Meliscaeva cinectella","Animals","Pollinator",1,1,1
"Morellia aenescens","Animals","Pollinator",4,4,3
"Morellis simplex","Animals","Pollinator",1,1,1
"Myathropa florea","Animals","Pollinator",3,3,2
"Nabis ferus","Animals","Pollinator",1,1,1
"Neoascia obliqua","Animals","Pollinator",3,3,1
"Neoascia podagrica","Animals","Pollinator",6,6,1
"Neoascia tenur","Animals","Pollinator",3,3,2
"Ochlodes venata ","Animals","Pollinator",1,1,2
"Onesia floralis","Animals","Pollinator",4,4,1
"Onesia sp1 M_PL_049","Animals","Pollinator",1,1,1
"Orthelia caesarion","Animals","Pollinator",1,1,1
"Orthops kalmi","Animals","Pollinator",1,1,1
"Oscinella hortensis","Animals","Pollinator",1,1,1
"Oscinella vastator","Animals","Pollinator",2,2,2
"Parasyrphus lineola","Animals","Pollinator",1,1,3
"Parhelophilus versicolor","Animals","Pollinator",1,1,1
"Phaonia exoleta","Animals","Pollinator",1,1,1
"Phaonia incana","Animals","Pollinator",4,4,3
"Phorbia sp1 M_PL_049","Animals","Pollinator",1,1,1
"Phorbia sp2 M_PL_049","Animals","Pollinator",1,1,1
"Phorbia sp3 M_PL_049","Animals","Pollinator",1,1,1
"Phyllobius urticae","Animals","Pollinator",1,1,1
"Picromerus bidens","Animals","Pollinator",1,1,1
"Pieris napa","Animals","Pollinator",12,12,1
"Platycheirus cyaneus","Animals","Pollinator",24,24,3
"Platycheirus peltatus","Animals","Pollinator",6,6,2
"Platycheirus scutatus","Animals","Pollinator",1,1,3
"Platycherius sp1 M_PL_049","Animals","Pollinator",1,1,1
"Poletes steini","Animals","Pollinator",1,1,1
"Pollenia pediculata","Animals","Pollinator",3,3,1
"Pollenia rudis","Animals","Pollinator",1,1,4
"Polyommatus icarus ","Animals","Pollinator",3,3,9
"Pseudonapomyza sp1 M_PL_049","Animals","Pollinator",1,1,1
"Pyrophaena rosarum","Animals","Pollinator",1,1,3
"Rhagonycha fulva","Animals","Pollinator",5,5,4
"Rhamphomyia hirtula","Animals","Pollinator",1,1,1
"Rhingia campestris","Animals","Pollinator",8,8,5
"Rhinoncus perpendicularis","Animals","Pollinator",1,1,1
"Saldula sp1 M_PL_049","Animals","Pollinator",1,1,1
"Sarcophaga sp1 M_PL_049","Animals","Pollinator",7,7,1
"Senotainia conica","Animals","Pollinator",1,1,1
"Sepsis cynipsea","Animals","Pollinator",2,2,3
"Sepsis flavimana","Animals","Pollinator",1,1,1
"Sepsis fulgens","Animals","Pollinator",1,1,1
"Sphaerophoria scripta","Animals","Pollinator",4,4,10
"Sphaerophoria taenata","Animals","Pollinator",4,4,1
"Sphegina sp1 M_PL_049","Animals","Pollinator",1,1,1
"Stenocorus meridianus","Animals","Pollinator",2,2,1
"Stenotus binotatus","Animals","Pollinator",2,2,1
"Strangalia melanura","Animals","Pollinator",3,3,1
"Strangalia Quadrifasciata","Animals","Pollinator",2,2,1
"Stratiomya potamidao","Animals","Pollinator",1,1,1
"Strophosomus melanogrammus","Animals","Pollinator",1,1,1
"Syritta pipiens","Animals","Pollinator",2,2,12
"Syrphus ribesii","Animals","Pollinator",5,5,7
"Syrphus vitripennis ","Animals","Pollinator",4,4,8
"Tachinus fimetarius","Animals","Pollinator",1,1,1
"Tetanocera silvatica","Animals","Pollinator",1,1,1
"Thrypticus bellus","Animals","Pollinator",1,1,1
"Thymelicus sylvestris","Animals","Pollinator",4,4,5
"Tricimba cincta","Animals","Pollinator",1,1,1
"Tropidia scita","Animals","Pollinator",1,1,1
"Unidentified sp1 M_PL_049","Animals","Pollinator",1,1,1
"Unidentified sp10 M_PL_049","Animals","Pollinator",4,4,1
"Unidentified sp11 M_PL_049","Animals","Pollinator",1,1,1
"Unidentified sp12 M_PL_049","Animals","Pollinator",1,1,1
"Unidentified sp13 M_PL_049","Animals","Pollinator",1,1,1
"Unidentified sp14 M_PL_049","Animals","Pollinator",1,1,1
"Unidentified sp15 M_PL_049","Animals","Pollinator",2,2,1
"Unidentified sp16 M_PL_049","Animals","Pollinator",1,1,1
"Unidentified sp17 M_PL_049","Animals","Pollinator",1,1,1
"Unidentified sp18 M_PL_049","Animals","Pollinator",1,1,1
"Unidentified sp19 M_PL_049","Animals","Pollinator",1,1,1
"Unidentified sp2 M_PL_049","Animals","Pollinator",2,2,1
"Unidentified sp20 M_PL_049","Animals","Pollinator",2,2,1
"Unidentified sp21 M_PL_049","Animals","Pollinator",1,1,1
"Unidentified sp22 M_PL_049","Animals","Pollinator",1,1,1
