Specie,Kingdom,Role,Degree,Sum(connections strength),Networks presence
"Amegilla canifrons","Animals","Pollinator",2,2,2
"Amegilla quadrifasciata","Animals","Pollinator",3,3,4
"Amegilla sp1 M_PL_050","Animals","Pollinator",3,3,1
"Anthophora alluardii","Animals","Pollinator",1,1,2
"Anthophora orotavae","Animals","Pollinator",3,3,2
"Apis mellifera","Animals","Pollinator",2,2,123
"Camponotus rufoglaucus","Animals","Pollinator",7,7,2
"Coleoptera sp15 M_PL_050","Animals","Pollinator",1,1,1
"Diptera sp18 M_PL_050","Animals","Pollinator",1,1,1
"Diptera sp19 M_PL_050","Animals","Pollinator",1,1,1
"Diptera sp20 M_PL_050","Animals","Pollinator",1,1,1
"Diptera sp21 M_PL_050","Animals","Pollinator",1,1,1
"Diptera sp4 M_PL_050","Animals","Pollinator",3,3,1
"Diptera sp7 M_PL_050","Animals","Pollinator",2,2,1
"Eucera gracilipes","Animals","Pollinator",7,7,3
"Gallotia galloti","Animals","Pollinator",1,1,1
"Hylaeus sp1 M_PL_050","Animals","Pollinator",3,3,1
"Hymenoptera sp10 M_PL_050","Animals","Pollinator",1,1,1
"Hymenoptera sp13 M_PL_050","Animals","Pollinator",1,1,1
"Hymenoptera sp14 M_PL_050","Animals","Pollinator",1,1,1
"Hymenoptera sp9 M_PL_050","Animals","Pollinator",2,2,1
"Lasioglossum evylaeus","Animals","Pollinator",8,8,2
"Lucilia sp1 M_PL_050","Animals","Pollinator",2,2,1
"Periploca laevigata","Animals","Plant",4,4,1
"Sphecodes marginatus ","Animals","Pollinator",6,6,3
"Thysanoptera sp17 M_PL_050","Animals","Pollinator",1,1,1
"Unidentified sp1 M_PL_050","Animals","Pollinator",5,5,1
"Unidentified sp11 M_PL_050","Animals","Pollinator",1,1,1
"Unidentified sp12 M_PL_050","Animals","Pollinator",1,1,1
"Unidentified sp16 M_PL_050","Animals","Pollinator",1,1,1
"Unidentified sp2 M_PL_050","Animals","Pollinator",4,4,1
"Unidentified sp22 M_PL_050","Animals","Pollinator",1,1,1
"Unidentified sp3 M_PL_050","Animals","Pollinator",3,3,1
"Unidentified sp5 M_PL_050","Animals","Pollinator",2,2,1
"Unidentified sp6 M_PL_050","Animals","Pollinator",2,2,1
"Unidentified sp8 M_PL_050","Animals","Pollinator",2,2,1
"Argyranthemum frutescencs","Plants","Plant",10,10,1
"Ceballosia fruticosa","Plants","Plant",2,2,2
"Convolvulus sp1 M_PL_050","Plants","Plant",10,10,1
"Echium aculeatum","Plants","Plant",2,2,2
"Echium bonnetii","Plants","Plant",5,5,1
"Euphorbia canariensis","Plants","Plant",8,8,2
"Euphorbia obtusifolia","Plants","Plant",17,17,2
"Fagonia albiflora","Plants","Plant",1,1,2
"Lavandula buchii","Plants","Plant",8,8,2
"Lotus sp1 M_PL_050","Plants","Plant",1,1,1
"Noechamaelea pulverulenta","Plants","Plant",1,1,1
"Parolinea intermedia","Plants","Plant",11,11,1
"Plocama pendula","Plants","Plant",6,6,2
