Specie,Kingdom,Role,Degree,Sum(connections strength),Networks presence
"Allograpta exotica","Animals","Pollinator",1,1,1
"Allograpta hortensis","Animals","Pollinator",7,98,2
"Anthaxia sp1 M_PL_051","Animals","Pollinator",2,53,1
"Bombus dahlbomii","Animals","Pollinator",10,1449,5
"Bombus ruderatus","Animals","Pollinator",3,196,4
"Caenohalictus sp1 M_PL_051","Animals","Pollinator",1,48,1
"Caenohalictus sp2 M_PL_051","Animals","Pollinator",1,1,1
"Camponotus sp1 M_PL_051","Animals","Pollinator",1,27,1
"Chalepogenus caeruleus","Animals","Pollinator",1,14,2
"Chilicola sp1 M_PL_051","Animals","Pollinator",1,7,1
"Chilicola sp2 M_PL_051","Animals","Pollinator",1,2,1
"Chilicola sp3 M_PL_051","Animals","Pollinator",1,1,1
"Coleoptera sp23 M_PL_051","Animals","Pollinator",2,2,1
"Coleoptera sp24 M_PL_051","Animals","Pollinator",1,2,1
"Coleoptera sp33 M_PL_051","Animals","Pollinator",1,1,1
"Coleoptera sp34 M_PL_051","Animals","Pollinator",1,1,1
"Coleoptera sp35 M_PL_051","Animals","Pollinator",1,1,1
"Coleoptera sp36 M_PL_051","Animals","Pollinator",1,1,1
"Coleoptera sp8 M_PL_051","Animals","Pollinator",2,10,1
"Colletes seminitidus","Animals","Pollinator",4,122,1
"Corynura prothysteres","Animals","Pollinator",3,6,1
"Corynura sp1 M_PL_051","Animals","Pollinator",1,1,1
"Diptera sp19 M_PL_051","Animals","Pollinator",1,3,1
"Diptera sp28 M_PL_051","Animals","Pollinator",1,2,1
"Diptera sp41 M_PL_051","Animals","Pollinator",1,1,1
"Diptera sp42 M_PL_051","Animals","Pollinator",1,1,1
"Diptera sp43 M_PL_051","Animals","Pollinator",1,1,1
"Diptera sp44 M_PL_051","Animals","Pollinator",1,1,1
"Evylaeus sp1 M_PL_051","Animals","Pollinator",2,7,1
"Heteroptera sp45 M_PL_051","Animals","Pollinator",1,1,1
"Heterosarus sp1 M_PL_051","Animals","Pollinator",2,30,1
"Hymenoptera sp51 M_PL_051","Animals","Pollinator",1,1,1
"Hymenoptera sp52 M_PL_051","Animals","Pollinator",1,1,1
"Lepidoptera sp5 M_PL_051","Animals","Pollinator",1,16,1
