Specie,Kingdom,Role,Degree,Sum(connections strength),Networks presence
"Aldrichina grahami","Animals","Pollinator",1,1,2
"Allobaccha apicalis","Animals","Pollinator",1,1,1
"Allobaccha sp1 M_PL_053","Animals","Pollinator",1,1,1
"Ammophila sabulosa","Animals","Pollinator",4,4,1
"Ampelophaga rubiginosa","Animals","Pollinator",1,1,1
"Anaspis sp1 M_PL_053","Animals","Pollinator",1,1,1
"Anaspis sp2 M_PL_053","Animals","Pollinator",1,1,1
"Andrena benefica","Animals","Pollinator",1,1,3
"Andrena dentata","Animals","Pollinator",3,3,3
"Andrena halictoides","Animals","Pollinator",1,1,3
"Andrena hikosana ","Animals","Pollinator",1,1,3
"Andrena kaguya","Animals","Pollinator",2,2,3
"Andrena Knuthi","Animals","Pollinator",3,3,5
"Andrena komachi ","Animals","Pollinator",3,3,3
"Andrena longitibialis","Animals","Pollinator",4,4,3
"Andrena mikado","Animals","Pollinator",4,4,1
"Andrena minutula","Animals","Pollinator",2,2,3
"Andrena okabei","Animals","Pollinator",1,1,1
"Andrena prostomias","Animals","Pollinator",1,1,1
"Andrena sp1 M_PL_053","Animals","Pollinator",1,1,1
"Andrena taraxaci","Animals","Pollinator",2,2,2
"Andrena watasei","Animals","Pollinator",4,4,2
"Anechura japonica","Animals","Pollinator",1,1,1
"Angelica cartilagino-marginata","Animals","Plant",1,1,1
"Angelica longeradiata","Animals","Plant",1,1,1
"Anomala octiescoctata","Animals","Pollinator",1,1,1
"Anthemus maculielytris","Animals","Pollinator",1,1,1
"Anthemus magnius","Animals","Pollinator",2,2,1
"Apis cerana ","Animals","Pollinator",2,2,4
"Apis mellifera","Animals","Pollinator",11,11,123
"Apoderus erythrogaster","Animals","Pollinator",1,1,1
"Argyronome ruslana","Animals","Pollinator",1,1,1
"Athousius sp1 M_PL_053","Animals","Pollinator",1,1,1
"Aulacophora nigripennis ","Animals","Pollinator",2,2,3
"Baccha maculata ","Animals","Pollinator",1,1,3
"Balataea gracilis","Animals","Pollinator",1,1,1
"Baris dispilota","Animals","Pollinator",8,8,1
"Betasyrphus serarius","Animals","Pollinator",5,5,1
"Bibio aneuretus","Animals","Pollinator",1,1,1
"Bibio gracilipalpus","Animals","Pollinator",4,4,1
"Bibio simulans","Animals","Pollinator",1,1,1
"Bibio sp1 M_PL_053","Animals","Pollinator",3,3,1
"Bibio sp2 M_PL_053","Animals","Pollinator",1,1,1
"Bibio sp3 M_PL_053","Animals","Pollinator",1,1,1
"Bibio sp4 M_PL_053","Animals","Pollinator",1,1,1
"Bibio sp5 M_PL_053","Animals","Pollinator",1,1,1
"Bombus ardens","Animals","Pollinator",9,9,5
"Bombus diversus","Animals","Pollinator",13,13,3
"Bombus ignitus","Animals","Pollinator",10,10,4
"Bombylius major","Animals","Pollinator",4,4,8
"Byturus sp1 M_PL_053","Animals","Pollinator",2,2,1
"Byturus sp2 M_PL_053","Animals","Pollinator",1,1,1
"Campiglossa hirayamae","Animals","Pollinator",1,1,1
"Camponotus japonicus","Animals","Pollinator",4,4,2
"Campsomeriella annulata","Animals","Pollinator",1,1,1
"Campsomeris prismatica","Animals","Pollinator",5,5,1
"Ceratina flavipes ","Animals","Pollinator",7,7,5
"Ceratina iwatai","Animals","Pollinator",1,1,3
"Ceratina japonica ","Animals","Pollinator",15,15,5
"Ceratina megastigmata ","Animals","Pollinator",7,7,3
"Cheilosia sp1 M_PL_053","Animals","Pollinator",2,2,1
"Cheilosia sp2 M_PL_053","Animals","Pollinator",2,2,1
"Cheilosia sp3 M_PL_053","Animals","Pollinator",1,1,1
