Specie,Kingdom,Role,Degree,Sum(connections strength),Networks presence
"Agrypnus binodulusllis ","Animals","Pollinator",1,1,1
"Ammophila clavus ","Animals","Pollinator",1,1,1
"Andrena benefica","Animals","Pollinator",1,1,3
"Andrena brassicae ","Animals","Pollinator",1,1,2
"Andrena japonica ","Animals","Pollinator",2,2,1
"Andrena Knuthi","Animals","Pollinator",3,15,5
"Andrena komachi ","Animals","Pollinator",1,2,3
"Andrena opacifovea opacifovea","Animals","Pollinator",4,5,3
"Andrena protomias ","Animals","Pollinator",4,29,2
"Andrena yamamotoi ","Animals","Pollinator",2,2,2
"Anomala albopilosa ","Animals","Pollinator",1,1,1
"Anterhynchium flavomarginatum micado ","Animals","Pollinator",2,2,1
"Anthaxia Proteus ","Animals","Pollinator",2,15,1
"Anthidium septemspinosum ","Animals","Pollinator",3,73,1
"Anthocris scolymus ","Animals","Pollinator",1,1,1
"Anthophora pilipes villosula ","Animals","Pollinator",3,4,2
"Anthrenus verbasci ","Animals","Pollinator",18,290,2
"Apis cerana japonica ","Animals","Pollinator",23,92,2
"Apis mellifera","Animals","Pollinator",15,47,123
"Araneidae sp18 M_PL_054","Animals","Pollinator",1,2,1
"Araneidae sp19 M_PL_054","Animals","Pollinator",1,2,1
"Araneidae sp20 M_PL_054","Animals","Pollinator",1,2,1
"Araneidae sp36 M_PL_054","Animals","Pollinator",1,1,1
"Araneidae sp37 M_PL_054","Animals","Pollinator",1,1,1
"Araneidae sp38 M_PL_054","Animals","Pollinator",1,1,1
"Araneidae sp39 M_PL_054","Animals","Pollinator",1,1,1
"Araneidae sp40 M_PL_054","Animals","Pollinator",1,1,1
"Araneidae sp41 M_PL_054","Animals","Pollinator",1,1,1
"Araneidae sp42 M_PL_054","Animals","Pollinator",1,1,1
"Araneidae sp43 M_PL_054","Animals","Pollinator",1,1,1
"Araneidae sp44 M_PL_054","Animals","Pollinator",1,1,1
"Araneidae sp45 M_PL_054","Animals","Pollinator",1,1,1
"Araneidae sp46 M_PL_054","Animals","Pollinator",1,1,1
"Araneidae sp47 M_PL_054","Animals","Pollinator",1,1,1
"Araneidae sp48 M_PL_054","Animals","Pollinator",1,1,1
"Araneidae sp49 M_PL_054","Animals","Pollinator",1,1,1
"Araneidae sp50 M_PL_054","Animals","Pollinator",1,1,1
