Specie,Kingdom,Role,Degree,Sum(connections strength),Networks presence
"Acanthosoma denticauda ","Animals","Pollinator",1,1,1
"Actina jezoensis ","Animals","Pollinator",1,1,2
"Adelphocoris triannulatus ","Animals","Pollinator",1,5,2
"Agelasa nigriceps ","Animals","Pollinator",1,2,1
"Agelastica coerulea ","Animals","Pollinator",1,1,2
"Ahlber ferra ","Animals","Pollinator",1,1,1
"Allantus nigrocaeleus ","Animals","Pollinator",1,1,1
"Alysson cameroni ","Animals","Pollinator",2,2,1
"Ampedus vestitdus ","Animals","Pollinator",1,1,1
"Andrena aburana ","Animals","Pollinator",1,1,2
"Andrena akitsushimae","Animals","Pollinator",2,9,2
"Andrena brassicae ","Animals","Pollinator",1,1,2
"Andrena dentata","Animals","Pollinator",3,7,3
"Andrena halictoides","Animals","Pollinator",4,7,3
"Andrena hebes ","Animals","Pollinator",2,7,1
"Andrena hikosana ","Animals","Pollinator",1,1,3
"Andrena ishiharai","Animals","Pollinator",1,1,2
"Andrena kaguya","Animals","Pollinator",6,8,3
"Andrena minutula","Animals","Pollinator",11,29,3
"Andrena mitakensis ","Animals","Pollinator",1,1,1
"Andrena miyamotoi","Animals","Pollinator",1,2,2
"Andrena nawai ","Animals","Pollinator",1,1,1
"Andrena opacifovea opacifovea","Animals","Pollinator",1,2,3
"Andrena parathoracica ","Animals","Pollinator",1,1,1
"Andrena protomias ","Animals","Pollinator",1,22,2
"Andrena sublevigata","Animals","Pollinator",1,1,2
"Andrena subopaca ","Animals","Pollinator",1,1,1
"Andrena tsukubana ","Animals","Pollinator",1,34,2
"Andrena watasei","Animals","Pollinator",3,5,2
"Andrena yamamotoi ","Animals","Pollinator",1,1,2
"Angelasa nigriceps ","Animals","Pollinator",1,1,1
"Anthophora pilipes villosula ","Animals","Pollinator",1,2,2
"Apis cerana japonica ","Animals","Pollinator",17,56,2
"Apoderus rubidus ","Animals","Pollinator",1,1,1
"Araneidae sp129 M_PL_057","Animals","Pollinator",1,1,1
"Araneidae sp130 M_PL_057","Animals","Pollinator",1,1,1
"Araneidae sp131 M_PL_057","Animals","Pollinator",1,1,1
