Specie,Kingdom,Role,Degree,Sum(connections strength),Networks presence
"Agapostemon virescens","Animals","Pollinator",1,1,1
"Andrena banksi","Animals","Pollinator",1,1,1
"Andrena confederata","Animals","Pollinator",1,2,1
"Andrena hilaris","Animals","Pollinator",1,1,1
"Andrena imitatrix","Animals","Pollinator",1,1,2
"Andrena perplexa","Animals","Pollinator",1,3,1
"Andrena spiraeana","Animals","Pollinator",1,1,2
"Andrena vicina","Animals","Pollinator",1,2,3
"Anthophora abrupta","Animals","Pollinator",1,1,1
"Apis mellifera","Animals","Pollinator",2,8,123
"Augochlora pura","Animals","Pollinator",21,205,3
"Augochlorella aurata","Animals","Pollinator",10,57,1
"Augochloropsis metallica","Animals","Pollinator",5,11,1
"Bombus auricomus","Animals","Pollinator",1,1,1
"Bombus bimaculatus","Animals","Pollinator",5,16,2
"Bombus griseocollis","Animals","Pollinator",6,65,2
"Bombus impatiens","Animals","Pollinator",11,110,2
"Bombus perplexus","Animals","Pollinator",2,8,2
"Ceratina calcarata","Animals","Pollinator",21,113,2
"Ceratina sp1 M_PL_073","Animals","Pollinator",5,9,1
"Ceratina strenua","Animals","Pollinator",4,4,1
"Coelioxys sayi","Animals","Pollinator",3,5,2
"Colletes thoracicus","Animals","Pollinator",1,5,1
"Halictus confusus","Animals","Pollinator",2,2,4
"Hylaeus sp1 M_PL_073","Animals","Pollinator",2,12,1
"Lasioglossum birkmani","Animals","Pollinator",4,8,1
"Lasioglossum cressonii","Animals","Pollinator",2,4,1
"Lasioglossum ephialtum","Animals","Pollinator",1,1,1
"Lasioglossum fuscipenne","Animals","Pollinator",3,3,1
"Lasioglossum hitchensi","Animals","Pollinator",1,1,1
"Lasioglossum imitatum","Animals","Pollinator",2,9,1
"Lasioglossum macoupinens","Animals","Pollinator",2,4,1
"Lasioglossum oblongum","Animals","Pollinator",1,1,1
"Lasioglossum obscurum","Animals","Pollinator",6,13,1
"Lasioglossum quebecense","Animals","Pollinator",1,1,1
"Lasioglossum sp1 M_PL_073","Animals","Pollinator",5,5,1
"Lasioglossum subviridatum","Animals","Pollinator",1,1,1
"Lasioglossum tegulare","Animals","Pollinator",2,3,1
"Lasioglossum weemsi","Animals","Pollinator",2,2,1
"Megachile mendica","Animals","Pollinator",10,13,2
"Melissodes bimaculata","Animals","Pollinator",1,1,1
"Ptilothrix bombiformus","Animals","Pollinator",3,26,1
"Apocynum cannabinum","Plants","Plant",5,10,2
"Asclepias syriaca","Plants","Plant",7,58,2
"Calystegia sepium","Plants","Plant",3,4,3
"Campsis radicans","Plants","Plant",1,1,1
"Cephalanthus occidentalis","Plants","Plant",16,79,2
"Commelina erecta","Plants","Plant",2,4,3
"Conium maculatum","Plants","Plant",13,30,2
"Erysimum cheiranthoides","Plants","Plant",4,7,1
"Eupatorium coelestinum","Plants","Plant",4,12,2
"Eupatorium purpureum","Plants","Plant",6,21,2
"Helianthus decapetalus","Plants","Plant",4,9,1
"Hibiscus laevis","Plants","Plant",9,43,1
"Hypericum prolificum","Plants","Plant",5,45,1
"Lapsana communis","Plants","Plant",7,17,4
"Lindernia dubia","Plants","Plant",5,16,1
"Lycopus rubellus","Plants","Plant",3,8,1
"Lysimachia nummularia","Plants","Plant",1,1,1
"Oxalis stricta","Plants","Plant",5,7,2
"Polygonum amphibium","Plants","Plant",2,10,3
"Polymnia uvedalia","Plants","Plant",4,60,1
"Rudbeckia hirta","Plants","Plant",2,4,2
"Rudbeckia laciniata","Plants","Plant",6,40,2
"Satchys tenuifolia","Plants","Plant",5,18,1
"Scrophularia marilandica","Plants","Plant",5,34,2
"Solanum carolinense","Plants","Plant",3,28,2
"Solidago sp1 M_PL_073","Plants","Plant",3,21,1
"Symphiotrichum lanceolatum","Plants","Plant",7,23,1
"Verbena hastata","Plants","Plant",6,59,2
"Verbena urticifolia","Plants","Plant",10,56,1
"Verbesina alternifolia","Plants","Plant",4,15,1
