Plant species visited,Family,Plant species codes
Acacia bahiensis Benth.,Mimosaceae,AB
Alternanthera brasiliana (L.) Kuntze,Amaranthaceae,AT
Anacardium occidentale L.,Anacardiaceae,AO
Boerhavia coccinia Mill.,Nyctaginaceae,BC
Caesalpinia pyramidalis Tul.,Caesalpiniaceae,CP
Capparis jacobinae Moric.,Capparaceae,CJ
Capparis yco (Mart.) Eichl.,Capparaceae,CY
Cardiospermum corindum L.,Sapindaceae,CC
Cereus peruvianus (L.) Mill.,Cactaceae,CV
Chaetocalyx scandens (L.) Urban,Fabaceae,CS
Chamaecrista belemii (I. & B.) I. & B.,Caesalpiniaceae,CB
Chlorophora tinctoria (L.) Gaud.,Moraceae,CT
Cordia aﬀ. globosa (Jacq.) H.B. & K.,Boraginaceae,CG
Cordia latiloba I.M. Johnston,Boraginaceae,CL
Croton echioides Baill.,Euphorbiaceae,CE
Echinodorus subulatus Griseb,Alismataceae,ES
Erythroxylon catingae Plowman,Erythroxylaceae,EC
Eugenia rosea DC,Myrtaceae,ER
Evolvulus glomeratus Nees & Mart.,Convolvulaceae,EG
Gomphrena holosericea Moq,Amaranthaceae,GH
Herissantia crispa (L.) Briz.,Malvaceae,HC
Herissantia tiubae (K. Sch.) Briz.,Malvaceae,HT
Hydrocleis nymphaeoides Buch,Limnocharitaceae,HN
Jacquemontia sp.,Convolvulaceae,JA
Jatropha mollissima (Pohl) Baill.,Euphorbiaceae,JM
Lippia pohliana Schau.,Verbenaceae,LP
Melochia tomentosa L.,Sterculiaceae,MT
Mimosa arenosa (Willd.) Poir.,Mimosaceae,MA
Mollugo verticillata L.,Molluginaceae,MV
Nymphoides indica (L.) Kuntze,Menyanthaceae,NI
Opuntia palmadora Britton & Rose,Cactaceae,OP
Oxalis sp.,Oxalidaceae,OX
Passiflora foetida L.,Passifloraceae,PF
Peltogyne pauciflora Benth,Caesalpiniaceae,PP
Poeppigia procera Presl.,Caesalpiniaceae,PO
Portulaca elatior Mart.,Portulacaceae,PE
Portulaca marginata H.B. & K.,Portulacaceae,PM
Rhaphiodon echinus (Nees. & Mart.) Schrad ,Lamiaceae,RE
Senna spectabilis (DC.) I. & B.,Caesalpiniaceae,SS
Sida galheirensis Ulbr,Malvaceae,SG
Sida sp.,Malvaceae,SI
Sidastrum paniculatum (L.) Fryxell,Malvaceae,SD
Sideroxylon obtusifolium (R. & S.) Penn.,Sapotaceae,SO
Solanum gardnerii Sendtn,Solanaceae,SL
Solanum paniculatum L.,Solanaceae,SP
Stigmaphyllon auriculatum (Cav.) A. Juss. ,Malpighiaceae,SA
Syagrus vagans (Bondar) A.D. Hawkes.,Arecaceae,SV
Tabebuia heptaphylla (Vell.) Toledo,Bignoniaceae,TH
Ziziphus cotinifolia Reiss.,Rhamnaceae,ZC
