"...1","Amazilia_fimbriata","Aphantochroa_cirrhochloris","Clytolaema_rubricauda","Glaucis_hirsuta","Leucochloris_albicollis","Phaethornis_eurynome","Phaethornis_squalidus","Rhamphodon_naevius","Thalurania_glaucopis","Heliconius_erato","Heliconius_ethilla","Heliconius_nattereri","Heliconius_numato","Heliconius_sara","Oleria_aquata","Paracalystos_sp","Saliana_triangularis","Strymon_oreala","Bombus_morio","Epicharis_obscura","Euglossa_chalybeata","Euglossa_sp","Trigona_fulviventris"
"Aechmea_araneosa",0.3,0,0,0,0,1.3,1.1,0.5,2,1.9,4.2,3.9,2.2,0,0,0,0,0,0,0,0,1.1,1.9
"Aechmea_bromeliifolia",0,0,0,0.3,0,0.6,0.8,1.5,1.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Aechmea_mutica",0,0,0,0,0,2.5,1.2,0,0.9,0,0,0,0,0,0,0,0.7,0,0,0,0,0,1
"Aechmea_nudicaulis",0,0,0,0,0,0.5,0,0,0,0.5,0,0.8,0,0.3,0,0,0,0,0,0,0,0,0
"Aechmea_pineliana",0,0.5,0,0,0,0,0.3,0.9,1.5,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"Aechmea_triangularis",1.8,0,0,0,0,0,0,1.1,0.9,0,0,0.3,0,0,0.3,0,0,0.2,0,0,0,0,0.2
"Aechmea_victoriana",1,0,0,0,0,0.9,0,0.4,0.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2
"Billbergia_amoena",0,0,0,0,0,3.7,0.9,0,0,0,0.3,0,0,0,0,0.2,0,0,0.2,0,0,0.2,0
"Canistrum_triangulare",0,0.7,0,0,0,0,0,1.1,0.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Neoregelia_magdalaenae",2.3,0,0,0,0,0.2,0.41,1.3,2.2,0,0,0,0,0,0,0,0,0,0,0,0,0.7,0
"Neoregelia_sp",0,0,0,0,0,0,0.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0.9,0.6,0
"Nidularium_cariacicaense",0,0,0,0,0,1.1,0.8,0.7,0,0,0,0,0,0,0,0,0,0,0.1,0,0,0,0
"Nidularium_procerum",0,0,0,0,0,1.1,0,0.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Portea_petropolitana",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Quesnelia_strobilispica",1,0,0,0,0,0.8,0.6,0.3,0.6,0,0,0,0,0,0,0,0,0,0.3,0,0,0,0.6
"Tillandsia_geminifolia",1,0,0,0,0,0.7,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Vriesea_gracilior",0,0,0,0,0,0.7,0.7,0.3,0,0,0,0.3,0,0,0,0,0,0,0,0,0,0,0.3
"Vriesea_psittacina",0,0,0,0,2,1.2,1.2,1.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Vriesea_simplex",0,0,0,0,0,0.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Acanthostachys_strobilaceae",0,0,0,0,0,0,0,0,0,0,0,0.3,0.7,0,0,0,0,0,0,0,0,0,0
"Aechmea_lingulata",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0
"Tillandsia_tenuifolia",0,0,0,0,0,0,0,0,0,0.4,0,0.3,0.3,0,0,0,0,0,0,0,0,0,2
