;Acalyptrate_sp;Achaea_finita;Acopsis_viridicans;Aganais_borbonica;Agrostis_atritegulator;Ahasverus_advena;Allograpta_nasuta;Allograpta_sp1;Allograpta_sp2;Anthomyia_faciata;Apis_mellifera;Atherigona_sp1;Bactrocera_cucurbitae;Brachymyrmex_sp ;Calcidoidae_sp1;Campopleginae_sp1;Cephonodes_trochilus;Cerambycidae_sp1;Cerambycidae_sp3;Ceratitis_roas;Chaetocnema_sp1;Cheloninae_sp1;Cheloninae_sp2;Chironomidae_sp1;Chrysomya_megacephala;Cicadellidae_sp2;Condica_capensis;Conocephalus_sp1;Cryptinae_sp;Dasytinae_sp1;Dioxyna_sororcula;Diptera_sp1;Dolichopodidae_sp1;Drosophila_sp1;Drosophila_sp2;Drosophila_sp3;Dysauxes_florida;Eilema_squalida;Episyrphus_sp;Eristalinus_flaveolus;Eumolpinae_sp1;Fannia_pusio;Foudia_madagascariense;Gelechioidea_sp1;Goniurellia_or_Dectodes_sp;Graphomya_maculata;Henotesia_narcissus;Hippotion_eson;Homoneura_quadrivittata;Homoneura_sp2;Homoneura_sp3;Hyadina_sp ;Hydrillodes_sp;Hyperaspis_hottentota;Ischiodon_aegyptius;Lauxania_sp;Lecithoceridae_sp1;Lecithoceridae_sp2;Leptotes_pirithous;Limnophora_quaterna;Limonia_(Dycranomia)sp;Limoniidae_sp;Lygaeidae_sp1;Lygaeidae_sp4;Lygaeidae_sp5;Lygistorrhina_sp;Macroglossum_milvus;Mauritiborium_undulatus;Melanagromyza_sojae;Melanostoma_annulipes;Melanostoma_bituberculatum;Miridae_sp1;Mordellidae_sp1;Mordellidae_sp2;Musca_domestica_Linnaeus;Mythimna_sp1;Nacoleia_sp1;Nacoleia_sp2;Nogodinidae_sp;Nyctemera_insulare;Ophyra_capensis;Orchisia_costata;Ornidia_obesa;Orthellia_albigena;Pachycerina_crinicornis;Paleorhiza_sp1;Panara_naso;Papillio_manlius;Paragus_borbonicus;Pelecophora_intemipta;Peribaea_sp;Phalanta_phalantha;Pheidole_megacephala;Phelsuma_cepediana;Phorinia_sp;Polistes_hebraeus;Psilopa_iceryae;Psyllidae_sp1;Psyllidae_sp2;Pteromalidae_sp1;Pterophoridae_sp1;Pycnonotus_jocosus;Remigia_frugalis;Sapromyza_sp;Sarcophaga_arno;Sarrothripinae_sp;Scatopsidae_sp;Scirtidae_sp1;Scirtidae_sp2;Scolia_carniflex;Scolia_oryctophaga;Scopariinae_sp;Sepsis_lateralis;Simulium_(Byssodon) _sp2;Simulium_sp1;Siphona_sp;Spilogona_sp ;Spodoptera_littoralis;Stomorhina_lunata;Stomoxys_calcitrans;Stomoxys_niger;Strictopterinae_sp1;Syritta_nigrofemorata;Syritta_sp;Tarundia_servillei;Technomyrmex_albipes;Tettigoniidae_sp1;Thelairodrino_sp;Trichoplusia_indicator;Trirhithrum_sp;Villa_unifasciata;Zaprionus_tuberculatus;Zaprionus_vittiger;Zizeeria_knysa;Zosterops_mauritianus
Agauria_salicifolia;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,60;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,97;0,24;0,00;0,00;0,00;0,00;0,00;0,00;0,15;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,17;0,17;0,00;0,00;0,00;0,33;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
Antidesma_madagascariense;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,33;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,33;0,17;0,00;0,00;0,00;0,00;0,00;0,15;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,33;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;2,73;0,00;0,25;0,00;0,00;0,17;0,00;0,00;0,00;0,00;0,00;0,00;0,56;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,33;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,62;0,00;0,07;0,00;0,00;0,00;0,00;0,65;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
Antirhea_borbonica;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,10;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,13;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,02;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,18;0,00;0,00;0,00;0,00;0,00;0,00;5,49;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,08;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,08;0,00;0,00;0,00;0,00;0,00;0,14;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,06;0,00;0,00;0,00;0,00;0,00;0,08;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
Aphloia_theiformis;0,00;0,00;0,00;0,00;0,00;0,00;0,14;0,00;0,17;0,00;12,93;0,00;0,00;4,78;0,00;0,00;0,00;0,00;0,11;0,00;0,00;0,27;0,00;0,00;0,76;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,13;0,00;0,00;0,00;0,00;0,50;1,59;0,00;0,54;0,00;0,00;0,00;0,00;0,04;0,00;0,00;0,12;0,00;0,00;0,00;0,00;0,08;0,00;0,14;0,00;0,04;0,09;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;2,90;0,00;0,00;0,00;0,00;2,89;0,00;1,83;0,41;0,00;0,25;0,21;0,00;0,19;0,00;0,64;0,00;0,16;0,00;0,33;0,37;0,00;0,00;0,00;0,00;0,50;0,89;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,11;0,08;0,00;0,00;0,00;0,00;0,00;0,00;0,00;9,02;0,83;0,94;0,00;0,23;0,00;0,00;9,42;0,00;0,00;0,00;0,00;1,27;0,00;0,00;0,00;0,57
Badula_insularis;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,05;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,06;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,08;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,08;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,34;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,06;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,72;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,06;0,00;0,00;0,00;0,05;0,00
Badula_platiphylla;0,00;0,00;0,00;0,00;0,00;0,13;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,83;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,22;0,06;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,40;0,00;0,00;0,00;0,00;0,00;0,00;0,14;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
Bakerella_hoyifolia_ssp_bojeri;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,42;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,40;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;2,86;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
Bertiera_zaluzania ;0,00;0,00;0,00;0,00;0,00;0,00;0,26;0,00;0,00;0,00;2,44;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,92;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,17;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,10;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,14;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,23;0,00;0,15;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,17;0,00;0,00;0,00;0,00;0,00;0,00;1,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,19
Calophyllum_eputamen_var_eputamen;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;1,46;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;3,80;0,00;0,00;0,00;0,20;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,40;0,40;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,29;0,00;0,00;0,50;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,29;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,69;0,00;0,00;0,00;0,00;0,00;0,00;0,40;0,00;0,00;0,00;0,00;0,40;0,00;0,00;0,00;0,00
Casearia_coriacea;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,14;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;5,83;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
