"","Agapostemon angelicus/texanus","Bombus mixtus","Halictus tripartitus","Hoplitis fulgida","Hoplitis robusta","Hylaeus personatellus","Lasioglossum (Dialictus) aff. knereri","Lasioglossum (Dialictus) hudsoniellum","Lasioglossum (Dialictus) lazulis","Lasioglossum (Dialictus) mixed spp.","Lasioglossum (Dialictus) ruidosense","Lasioglossum inconditum","Lasioglossum sp. 1","Melissodes confusus","Osmia spp.","Panurginus ineptus","Panurginus spp.","Andrena medionitens","Andrena salicifloris","Andrena sp. 2","Andrena sp. 3","Andrena sp. A","Andrena sp. C","Bombus appositus","Bombus bifarius","Bombus californicus","Bombus flavifrons","Bombus melanopygus","Bombus nevadensis","Bombus occidentalis","Bombus rufocinctus","Bombus sylvicola","Colletes fulgidus","Dufourea fimbriata","Dufourea maura","Halictus ligatus","Hylaeus annulatus","Lasioglossum (Dialictus) pruinosum","Lasioglossum (Dialictus) semicaeruleum","Lasioglossum (Dialictus) tenax","Lasioglossum sisymbrii","Lasioglossum sp.","Megachile frigida","Megachile inermis","Megachile melanophaea","Megachile relativa","Osmia bucephala","Osmia sp. A","Osmia sp. B","Panurginus cressoniellus","Pseudopanurgus bakeri","Pseudopanurgus didirupa","Sphecodes sp.","Andrena amphibola","Andrena angustitarsata","Andrena cyanophila","Andrena sp. 9","Andrena thaspii","Andrena topazana","Andrena vicinoides","Augochlorella aurata","Coelioxys sodalis","Colletes nigrifrons","Halictus virgatellus","Hylaeus modestus","Lasioglossum (Dialictus) pacatum","Lasioglossum aff. boreale","Lasioglossum foxii","Osmia inermis","Osmia pusilla","Osmia sp. D","Osmia sp. E","Osmia subaustralis","Bombus insularis","Colletes sp.","Epeolus sp.","Hoplitis albifrons","Hylaeus annullatus","Lasioglossum (Dialictus) perpunctatum","Lasioglossum (Hemihalictus) spp.","Lasioglossum heterorhinum","Megachile pugnata","Nomada spp.","Stelis nitida","Apis mellifera","Halictus confusus","Osmia nigriventris","Osmia sp. C","Osmia sp. F","Stelis sp.","Anthophora bomboides","Anthophora montana","Anthophora terminalis","Anthophora urbana","Bombus fernaldae","Lasioglossum (Hemihalictus) sp.","Melissodes sp. 1","Osmia paradisica","Andrena crategi","Andrena sp. 5","Colletes spp.","Hylaeus basalis","Hylaeus coloradensis"
"Achillea millefolium",3,2,0,0,0,1,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,1,0,0,0,0,1,0,0,0,0,0,0,0,4,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Antennaria rosea",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Campanula rotundifolia",6,4,0,0,0,0,0,0,0,1,1,0,0,3,1,0,0,0,0,0,0,0,0,0,11,0,5,0,0,0,4,1,0,1,8,0,0,0,0,8,0,3,2,0,22,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0
"Castilleja miniata",0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Cymopterus lemmonii",0,0,0,0,0,5,2,0,3,2,10,1,0,0,3,4,0,0,4,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,2,1,0,19,2,10,0,0,0,1,1,0,0,1,0,0,1,0,3,2,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
"Dieteria bigelovii",1,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,3,0,0,0,2,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Erigeron eximius",0,2,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,1,8,1,3,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"Erysimum capitatum",0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Fragaria virginiana",0,0,0,0,0,0,2,1,0,0,2,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Gentianella acuta",0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0
