site,year,date,codigo.p,no.esp.p,codigo.i,no.esp.i,obs.time,no.fl.obs,no.fl.visit,observer
V4,2006,2006-11-13,ela.ang,p0001,NA,NA,09:10,60,0,Beni
V4,2006,2006-11-06,ela.ang,p0001,bom.opi,i0002,10:18,190,11,Nachu
V4,2006,2006-11-06,ela.ang,p0001,bom.opi,i0002,10:18,190,4,Nachu
V4,2006,2006-11-13,ela.ang,p0001,api.mel,i0070,11:26,60,26,Beni
V4,2006,2006-11-13,ela.ang,p0001,bom.opi,i0002,11:39,70,8,Beni
V4,2006,2006-11-06,ela.ang,p0001,bom.opi,i0002,10:18,190,5,Nachu
V1,2008,2008-11-11,zuc.pun,p0003,cen.bre,i0007,08:35:00,700,1,Nachu
V1,2011,2011-11-08,zuc.pun,p0003,NA,NA,13:00,100,0,enzo
V4,2011,2011-10-28,zuc.pun,p0003,cen.bre,i0007,13:04,40,1,nachu
V1,2011,2011-11-08,zuc.pun,p0003,cop.ari,i0044,11:22,500,2,nachu
V1,2011,2011-11-04,zuc.pun,p0003,col.cog,i0169,09:35,110,1,silvia
V1,2007,2007-11-20,zuc.pun,p0003,api.mel,i0070,14:28,200,3,Nachu
V1,2007,2007-11-27,zuc.pun,p0003,xyl.ord,i0001,07:29,300,6,Nachu
V4,2009,2009-11-09,zuc.pun,p0003,bom.opi,i0002,09:57:00,540,13,nachu
V4,2008,2008-11-07,zuc.pun,p0003,bom.opi,i0002,10:41:00,700,24,Nachu
V4,2009,2009-11-11,zuc.pun,p0003,cen.bre,i0007,12:18:00,640,2,Nachu
V4,2008,2008-10-31,zuc.pun,p0003,api.mel,i0070,10:20:00,1000,2,Nachu
V4,2009,2009-11-04,zuc.pun,p0003,bom.opi,i0002,10:06:00,700,3,Nachu
V1,2011,2011-11-04,zuc.pun,p0003,aug.sp,i0228,10:00,300,1,silvia
V1,2011,2011-12-20,zuc.pun,p0003,bab.elo,i0075,10:11,200,1,silvia
V4,2009,2009-11-30,zuc.pun,p0003,cop.ari,i0044,09:30:00,120,1,Nachu
V4,2011,2011-11-11,zuc.pun,p0003,aug.sp,i0228,11:40,1000,1,nachu
V4,2009,2009-10-28,zuc.pun,p0003,cen.bre,i0007,09:56:00,90,2,nachu
V4,2010,2010-11-26,zuc.pun,p0003,xyl.ord,i0001,8:31:00,900,7,Nachu
V1,2011,2011-11-04,zuc.pun,p0003,cos.chi,i0077,10:50,136,6,silvia
V1,2011,2011-11-11,zuc.pun,p0003,xyl.ord,i0001,13:10,400,30,nachu
V1,2009,2009-11-05,zuc.pun,p0003,lei.abd,i0030,11:02:00,250,1,Rocio
V1,2008,2008-12-05,zuc.pun,p0003,cen.bre,i0007,11:18:00,300,4,Nachu
V4,2011,2011-11-08,zuc.pun,p0003,api.mel,i0070,10:15,500,13,nachu
V1,2009,2009-12-11,zuc.pun,p0003,amm.sp1,i0126,11:05:00,180,15,Rocio
V3,2006,2006-11-13,zuc.pun,p0003,api.mel,i0070,13:43,200,9,Erica
V1,2009,2009-11-05,zuc.pun,p0003,NA,NA,11:49:00,600,0,Nachu
V1,2009,2009-11-11,zuc.pun,p0003,NA,NA,10:43:00,60,0,Belen
V4,2011,2011-11-18,zuc.pun,p0003,api.mel,i0070,12:00,800,1,silvia
V4,2009,2009-11-09,zuc.pun,p0003,xyl.ord,i0001,10:50:00,400,8,nachu
V1,2011,2011-11-04,zuc.pun,p0003,chi.sp1,i0033,10:00,300,1,silvia
V1,2008,2008-11-04,zuc.pun,p0003,col.lyc,i0170,08:31:00,1200,3,Nachu
V1,2011,2011-11-04,zuc.pun,p0003,NA,NA,11:08,40,3,enzo
V1,2011,2011-11-04,zuc.pun,p0003,xyl.ord,i0001,10:00,300,15,silvia
V4,2011,2011-11-18,zuc.pun,p0003,NA,NA,10:41,300,0,silvia
V1,2008,2008-11-11,zuc.pun,p0003,cen.bre,i0007,08:35:00,700,11,Nachu
V4,2011,2011-11-18,zuc.pun,p0003,api.mel,i0070,12:00,800,1,silvia
V1,2006,2006-11-13,zuc.pun,p0003,cen.bre,i0007,11:30,250,2,Jimena
V1,2008,2008-12-05,zuc.pun,p0003,cen.bre,i0007,10:38:00,68,1,Nachu
V4,2011,2011-11-04,zuc.pun,p0003,api.mel,i0070,11:49,700,4,nachu
V1,2009,2009-11-05,zuc.pun,p0003,cen.bre,i0007,11:02:00,250,5,Rocio
V4,2007,2007-11-27,zuc.pun,p0003,NA,NA,11:45,90,0,Nachu
V4,2011,2011-11-11,zuc.pun,p0003,api.mel,i0070,10:09,300,5,silvia
V4,2008,2008-11-18,zuc.pun,p0003,api.mel,i0070,09:32:00,2000,4,Nachu
V1,2008,2008-11-21,zuc.pun,p0003,bom.opi,i0002,10:19:00,500,1,Nachu
V4,2011,2011-11-18,zuc.pun,p0003,api.mel,i0070,12:00,800,1,silvia
V4,2011,2011-11-11,zuc.pun,p0003,meg.cte,i0015,11:40,1000,6,nachu
V4,2011,2011-11-11,zuc.pun,p0003,dih.sp1,i0031,10:09,300,2,silvia
V4,2006,2006-10-30,zuc.pun,p0003,lepid4,i0082,12:48,55,1,Erica
V1,2010,2010-11-26,zuc.pun,p0003,cen.bre,i0007,12:32:00,90,5,Nachu
V1,2008,2008-11-11,zuc.pun,p0003,cop.ari,i0044,08:35:00,700,1,Nachu
V3,2006,2006-11-13,zuc.pun,p0003,api.mel,i0070,09:40,400,3,Erica
V1,2011,2011-11-29,zuc.pun,p0003,dih.sp1,i0031,10:28,130,2,silvia
V1,2011,2011-11-29,zuc.pun,p0003,cen.bre,i0007,10:37,250,7,silvia
V4,2010,2010-11-19,zuc.pun,p0003,api.mel,i0070,14:03,46,2,silvia
V1,2007,2007-11-08,zuc.pun,p0003,cop.ari,i0044,17:37,500,1,Nachu
V4,2011,2011-11-01,zuc.pun,p0003,aug.sp,i0228,08:40,50,2,enzo
V4,2010,2010-11-10,zuc.pun,p0003,cop.ari,i0044,8:04,300,3,silvia
V4,2011,2011-11-11,zuc.pun,p0003,aug.sp,i0228,11:40,1000,1,nachu
V1,2008,2008-11-04,zuc.pun,p0003,meg.C,i0140,10:08:00,200,2,Nachu
V4,2008,2008-10-31,zuc.pun,p0003,bom.opi,i0002,10:20:00,1000,2,Nachu
V4,2011,2011-11-22,zuc.pun,p0003,NA,NA,11:20,400,0,silvia
V1,2006,2006-11-13,zuc.pun,p0003,coe.jor,i0005,13:35,150,5,Jimena
V1,2011,2011-11-01,zuc.pun,p0003,cop.sp2,i0052,12:41,30,1,enzo
V4,2011,2011-11-18,zuc.pun,p0003,api.mel,i0070,11:46,900,1,silvia
V4,2010,2010-12-10,zuc.pun,p0003,dih.sp1,i0031,8:55,30,1,nachu
V4,2011,2011-10-28,zuc.pun,p0003,cae.sp1,i0022,13:04,40,1,nachu
V1,2010,2010-11-26,zuc.pun,p0003,allo.sp1,i0111,11:52:00,2000,3,Nachu
V4,2011,2011-12-20,zuc.pun,p0003,NA,NA,11:56,400,0,silvia
V4,2010,2010-11-26,zuc.pun,p0003,cop.ari,i0044,7:37:00,54,1,Nachu
V1,2011,2011-11-01,zuc.pun,p0003,allo.sp1,i0111,11:23,300,2,nachu
V1,2009,2009-11-11,zuc.pun,p0003,lei.abd,i0030,10:18:00,200,1,Nachu
V4,2007,2007-11-15,zuc.pun,p0003,api.mel,i0070,09:43,200,7,Nachu
V1,2010,2010-11-10,zuc.pun,p0003,psa.phi,i0100,13:32,500,2,silvia
V1,2010,2010-12-10,zuc.pun,p0003,str.eur,i0131,11:11,4,1,silvia
V1,2009,2009-10-28,zuc.pun,p0003,mes.jen,i0011,11:29:00,10,1,nachu
V1,2009,2009-11-25,zuc.pun,p0003,tac.sp10,i0191,12:09:00,1600,1,nachu
V1,2008,2008-11-11,zuc.pun,p0003,cen.bre,i0007,08:35:00,700,4,Nachu
V1,2009,2009-11-11,zuc.pun,p0003,lei.abd,i0030,10:18:00,200,1,Nachu
V4,2007,2007-11-15,zuc.pun,p0003,xyl.ord,i0001,09:43,200,9,Nachu
V1,2011,2011-11-04,zuc.pun,p0003,col.cog,i0169,10:00,300,1,silvia
V4,2008,2008-10-28,zuc.pun,p0003,zet.sp1,i0037,13:00:00,40,3,Nachu
V1,2007,2007-11-08,zuc.pun,p0003,api.mel,i0070,17:50,400,1,Nachu
V4,2009,2009-11-11,zuc.pun,p0003,bom.opi,i0002,12:18:00,640,3,Nachu
V4,2011,2011-12-02,zuc.pun,p0003,meg.cte,i0015,10:08,30,1,nachu
V4,2007,2007-11-15,zuc.pun,p0003,antho.sp1,i0136,07:34,200,1,Nachu
V1,2009,2009-11-11,zuc.pun,p0003,lei.abd,i0030,10:18:00,200,1,Nachu
V1,2009,2009-11-30,zuc.pun,p0003,NA,NA,13:01:00,40,0,Nachu
V1,2008,2008-11-21,zuc.pun,p0003,dih.sp1,i0031,12:15:00,80,1,Nachu
V4,2008,2008-11-07,zuc.pun,p0003,api.mel,i0070,10:41:00,700,1,Nachu
V4,2011,2011-11-01,zuc.pun,p0003,col.cog,i0169,09:59,400,3,nachu
V1,2008,2008-11-21,zuc.pun,p0003,meg.A,i0003,11:48:00,600,1,Nachu
V4,2011,2011-11-04,zuc.pun,p0003,api.mel,i0070,13:06,700,3,nachu
V4,2011,2011-11-01,zuc.pun,p0003,col.cog,i0169,09:59,400,2,nachu
V4,2011,2011-11-22,zuc.pun,p0003,api.mel,i0070,11:10,400,1,silvia
V4,2008,2008-10-28,zuc.pun,p0003,sva.zeb,i0110,13:00:00,40,4,Nachu
V4,2011,2011-11-18,zuc.pun,p0003,api.mel,i0070,11:46,900,1,silvia
V1,2009,2009-11-09,zuc.pun,p0003,dih.sp1,i0031,12:25:00,60,2,Belen
