"site","Code for collection site."
"year","Year in which spring-summer collection season started."
"date","Date in which flower visit was observed."
"codigo.p","Abbreviation of scientific name of plant species on which observation was recorded."
"no.esp.p","Alphanumeric code for plant species on which observation was recorded."
"codigo.i","Abbreviation of scientific name of insect species recorded."
"no.esp.i","Alphanumeric code for insect species recorded."
"obs.time","Time of day in which 5 min observation period started."
"no.fl.obs","Number of flowers observed to record the visit during the 5 min observation period."
"no.fl.visit","Number of flowers visited by a given insect visitor."
"observer","Name of observer conducting the visitation observation."
