sitio,cuadrante,fecha,no.esp.p,codigo.p,genero.p,especie.p,no.indiv,no.flores,flores.prom.indiv,gpflor.ind,flores.tot,gp.tot
V1,11,2006-10-09,p0035,lar.nit,Larrea,nitida,1,,129,266865,129,34425585
V1,11,2006-10-09,p0075,lyc.sp1,Lycium ,sp.,1,,2,.,2,.
V1,13,2006-10-09,p0075,lyc.sp1,Lycium ,sp.,1,,7,.,7,.
V1,14,2006-10-09,p0035,lar.nit,Larrea,nitida,2,,129,266865,258,68851170
V1,17,2006-10-09,p0035,lar.nit,Larrea,nitida,1,,129,266865,129,34425585
V1,19,2006-10-09,p0035,lar.nit,Larrea,nitida,1,,129,266865,129,34425585
V1,24,2006-10-09,p0035,lar.nit,Larrea,nitida,1,,129,266865,129,34425585
V1,24,2006-10-09,p0075,lyc.sp1,Lycium ,sp.,1,,1,.,1,.
V1,27,2006-10-09,p0025,thy.pen,Thymophylla,pentachaeta var. belenidium,1,4,4,1603704,4,6414816
V1,31,2006-10-09,p0035,lar.nit,Larrea,nitida,0,,129,266865,0,0
V1,33,2006-10-09,p0035,lar.nit,Larrea,nitida,1,,129,266865,129,34425585
V1,37,2006-10-09,p0035,lar.nit,Larrea,nitida,1,,129,266865,129,34425585
V2,1,2006-10-09,p0021,sch.fas,Schinus,aff. fasciculata ,1,,376,40025,376,15049400
V2,4,2006-10-09,p0075,lyc.sp1,Lycium ,sp.,1,,3,.,3,.
V2,15,2006-10-09,p0075,lyc.sp1,Lycium ,sp.,1,,19,.,19,.
V2,18,2006-10-09,p0025,thy.pen,Thymophylla,pentachaeta var. belenidium,1,1,4,1603704,4,6414816
V2,19,2006-10-09,p0025,thy.pen,Thymophylla,pentachaeta var. belenidium,1,1,4,1603704,4,6414816
V3,8,2006-10-09,p0075,lyc.sp1,Lycium ,sp.,1,,19,.,19,.
V3,10,2006-10-09,p0075,lyc.sp1,Lycium ,sp.,1,,30,.,30,.
V3,19,2006-10-09,p0075,lyc.sp1,Lycium ,sp.,1,,2,.,2,.
V1,3,2006-10-16,p0026,alo.gra,Aloyssia ,gratissima ,1,,2280,1984,2280,4523520
V1,7,2006-10-16,p0035,lar.nit,Larrea,nitida,1,,74,266865,74,19748010
V1,13,2006-10-16,p0035,lar.nit,Larrea,nitida,1,,74,266865,74,19748010
V1,14,2006-10-16,p0026,alo.gra,Aloyssia ,gratissima ,1,,2280,1984,2280,4523520
V1,14,2006-10-16,p0035,lar.nit,Larrea,nitida,1,,74,266865,74,19748010
V1,15,2006-10-16,p0035,lar.nit,Larrea,nitida,1,,74,266865,74,19748010
V1,17,2006-10-16,p0035,lar.nit,Larrea,nitida,1,,74,266865,74,19748010
V1,19,2006-10-16,p0035,lar.nit,Larrea,nitida,1,,74,266865,74,19748010
V1,24,2006-10-16,p0007,lyc.ten,Lycium ,tenuispinosum  ,1,,8,159954,8,1279632
V1,27,2006-10-16,p0025,thy.pen,Thymophylla,pentachaeta var. belenidium,1,,4,1603704,4,6414816
V1,28,2006-10-16,p0015,cer.arv,Cerastium ,arvense,10,,3,116667,30,3500010
