"sitio","Code for site in which data were collected."
"cuadrante","Plot within site."
"fecha","Date of sampling."
"no.esp.p","Alphanumeric code for plant species."
"codigo.p","Abbreviation of scientific name of plant species."
"genero.p","Plant genus."
"especie.p","Plant species."
"no.indiv","Number of individuals recorded."
"no.flores","Number of flowers recorded."
"flores.prom.indiv","Mean number of flowers per individual."
"gpflor.ind","Estimate of number of pollen grains on individual."
"flores.tot","Total number of flowers in plot."
"gp.tot","Total number of pollen grains estimated for plot."
