sitio,cuadrante,fecha,no.esp.p,codigo.p,genero.p,especie.p,no.indiv,flores.prom.indiv,gpflor.ind,flores.tot,gp.tot
V4,F3,2007-11-13,p0002,jun.asp,Junellia ,aspera ,1,20,22222,20,444440
V1,F1,2007-10-29,p0003,zuc.pun,Zuccagnia ,punctata ,1,126,17037,126,2146662
V4,F4,2007-10-29,p0003,zuc.pun,Zuccagnia ,punctata ,2,126,17037,252,4293324
V1,F1,2007-11-06,p0003,zuc.pun,Zuccagnia ,punctata ,2,126,17037,252,4293324
V4,F4,2007-11-06,p0003,zuc.pun,Zuccagnia ,punctata ,1,126,17037,126,2146662
V4,F5,2007-11-06,p0003,zuc.pun,Zuccagnia ,punctata ,1,126,17037,126,2146662
V1,F1,2007-11-13,p0003,zuc.pun,Zuccagnia ,punctata ,1,132,17037,132,2248884
V1,F3,2007-11-13,p0003,zuc.pun,Zuccagnia ,punctata ,5,132,17037,660,11244420
V1,F3,2007-11-13,p0003,zuc.pun,Zuccagnia ,punctata ,1,132,17037,132,2248884
V2,F1,2007-11-13,p0003,zuc.pun,Zuccagnia ,punctata ,3,132,17037,396,6746652
V4,F4,2007-11-13,p0003,zuc.pun,Zuccagnia ,punctata ,8,132,17037,1056,17991072
V4,F5,2007-11-13,p0003,zuc.pun,Zuccagnia ,punctata ,4,132,17037,528,8995536
V1,F1,2007-11-20,p0003,zuc.pun,Zuccagnia ,punctata ,3,359,17037,1077,18348849
V1,F2,2007-11-20,p0003,zuc.pun,Zuccagnia ,punctata ,1,359,17037,359,6116283
V1,F3,2007-11-20,p0003,zuc.pun,Zuccagnia ,punctata ,4,359,17037,1436,24465132
V2,F1,2007-11-20,p0003,zuc.pun,Zuccagnia ,punctata ,3,359,17037,1077,18348849
V4,F4,2007-11-20,p0003,zuc.pun,Zuccagnia ,punctata ,6,359,17037,2154,36697698
V4,F5,2007-11-20,p0003,zuc.pun,Zuccagnia ,punctata ,14,359,17037,5026,85627962
V1,F1,2007-11-27,p0003,zuc.pun,Zuccagnia ,punctata ,5,278,17037,1390,23681430
V1,F2,2007-11-27,p0003,zuc.pun,Zuccagnia ,punctata ,1,278,17037,278,4736286
V1,F3,2007-11-27,p0003,zuc.pun,Zuccagnia ,punctata ,2,278,17037,556,9472572
V2,F1,2007-11-27,p0003,zuc.pun,Zuccagnia ,punctata ,1,278,17037,278,4736286
V4,F5,2007-11-27,p0003,zuc.pun,Zuccagnia ,punctata ,1,278,17037,278,4736286
V1,F1,2007-12-04,p0003,zuc.pun,Zuccagnia ,punctata ,1,0,17037,0,0
V1,F2,2007-12-04,p0003,zuc.pun,Zuccagnia ,punctata ,1,0,17037,0,0
V1,F4,2007-11-13,p0004,hel.don,Helenium ,donianum,2,1,1603704,2,3207408
V1,F1,2007-11-20,p0004,hel.don,Helenium ,donianum ,49,1,1603704,49,78581496
V1,F2,2007-11-20,p0004,hel.don,Helenium ,donianum,9,1,1603704,9,14433336
V1,F3,2007-11-20,p0004,hel.don,Helenium ,donianum ,11,1,1603704,11,17640744
V1,F5,2007-11-20,p0004,hel.don,Helenium ,donianum,47,1,1603704,47,75374088
V4,F2,2007-11-20,p0004,hel.don,Helenium ,donianum ,10,1,1603704,10,16037040
V4,F3,2007-11-20,p0004,hel.don,Helenium ,donianum,167,1,1603704,167,267818568
V4,F4,2007-11-20,p0004,hel.don,Helenium ,donianum ,44,1,1603704,44,70562976
V4,F5,2007-11-20,p0004,hel.don,Helenium ,donianum,4,1,1603704,4,6414816
V4,F5,2007-11-20,p0004,hel.don,Helenium ,donianum ,3,1,1603704,3,4811112
V1,F1,2007-11-27,p0004,hel.don,Helenium ,donianum,52,1,1603704,52,83392608
V1,F3,2007-11-27,p0004,hel.don,Helenium ,donianum ,38,1,1603704,38,60940752
