sitio,tra.par,fecha,semana,no.esp.p,codigo.p,genero.p,especie.p,no.ind,no.flores.ind.1,no.flores.ind.2,no.flores.ind.3,no.flores.ind.4,no.flores.ind.5,no.flores.ind.6,no.flores.ind.7,no.flores.ind.8,no.flores.ind.9,no.flores.ind.10,no.flores.ind.11,no.flores.ind.12,no.flores.ind.13,no.flores.ind.14,flores.herb,flores.tot,realizador,comentarios
VQ,13,2008-10-06,1,p0019,aca.ser,Acantholippia ,seriphioides ,30,100,40,18,21,210,37,15,50,140,40,60,340,15,110,.,2563,Sebastián Martín,
VQ,13,2008-10-06,1,p0059,des.sp1,.,.,5,20,10,30,12,30,.,.,.,.,.,.,.,.,.,.,102,Sebastián Martín,
VQ,13,2008-10-06,1,p0059,des.sp1,.,.,20,12,10,.,.,.,.,.,.,.,.,.,.,.,.,.,220,Sebastián Martín,
VQ,13,2008-10-06,1,p0057,ero.cic,Erodium ,cicatarium,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,78,78,Sebastián Martín,
VQ,13,2008-10-06,1,p0071,gla.sp2,.,.,6,12,11,80,50,7,65,.,.,.,.,.,.,.,.,.,225,Sebastián Martín,
VQ,13,2008-10-06,1,p0050,hys.jas,Hysterionica,jassionoide,1,2,.,.,.,.,.,.,.,.,.,.,.,.,.,.,2,Sebastián Martín,
VQ,13,2008-10-06,1,indet,indet,.,.,5,12,6,14,.,.,.,.,.,.,.,.,.,.,.,.,53,Sebastián Martín,
VQ,13,2008-10-06,1,Indet.2,Indet.2,.,.,2,8,25,.,.,.,.,.,.,.,.,.,.,.,.,.,33,Sebastián Martín,
VQ,13,2008-10-06,1,p0036,lec.het,Lecanophora,heterophylla,26,20,11,1,1,1,5,4,1,1,1,3,1,1,21,.,134,Sebastián Martín,
VQ,13,2008-10-06,1,p0069,sen.gil,.,.,3,6,4,13,.,.,.,.,.,.,.,.,.,.,.,.,23,Sebastián Martín,
VQ,13,2008-10-06,1,p0054,sph.min,Spharealcea,miniata,33.25,25,3,5,5,2,32,11,37,6,12,4,7,4,3,.,371,Sebastián Martín,VQ 6/10/08 flatÃ³ medir Plantago (habÃ­a mucho)
VQ,13,2008-10-06,1,p0025,thy.pen,Thymophylla,pentachaeta var. belenidium,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,249,249,Sebastián Martín,
VQ,15,2008-10-06,1,p0057,ero.cic,Erodium ,cicatarium,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,63,63,Jimena Dorado,
VQ,15,2008-10-06,1,p0054,sph.min,Spharealcea,miniata,1,2,.,.,.,.,.,.,.,.,.,.,.,.,.,.,2,Jimena Dorado,
VQ,15,2008-10-06,1,p0025,thy.pen,Thymophylla,pentachaeta var. belenidium,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,126,126,Jimena Dorado,
VQ,16,2008-10-06,1,p0057,ero.cic,Erodium ,cicatarium,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,86,86,Jimena Dorado,
VQ,16,2008-10-06,1,p0071,gla.sp2,.,.,16,4,33,14,17,4,3,7,10,14,10,7,.,.,.,.,179,Jimena Dorado,
VQ,16,2008-10-06,1,p0050,hys.jas,Hysterionica,jassionoide,1,2,.,.,.,.,.,.,.,.,.,.,.,.,.,.,2,Jimena Dorado,
VQ,16,2008-10-06,1,p0036,lec.het,Lecanophora,heterophylla,36,3,1,6,5,2,3,6,2,16,.,.,.,.,.,.,176,Jimena Dorado,
VQ,16,2008-10-06,1,p0054,sph.min,Spharealcea,miniata,7,2,6,1,2,2,1,2,1,.,.,.,.,.,.,.,15,Jimena Dorado,
VQ,16,2008-10-06,1,p0025,thy.pen,Thymophylla,pentachaeta var. belenidium,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,28,28,Jimena Dorado,
VQ,18,2008-10-06,1,p0019,aca.ser,Acantholippia ,seriphioides ,3,10,5,115,.,.,.,.,.,.,.,.,.,.,.,.,130,Jimena Dorado,
VQ,18,2008-10-06,1,p0059,des.sp1,.,.,32,6,8,12,2,2,4,4,2,.,.,.,.,.,.,.,160,Jimena Dorado,
VQ,18,2008-10-06,1,p0057,ero.cic,Erodium ,cicatarium,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,205,205,Jimena Dorado,
VQ,18,2008-10-06,1,p0071,gla.sp2,.,.,6,20,16,45,150,9,94,.,.,.,.,.,.,.,.,.,334,Jimena Dorado,
VQ,18,2008-10-06,1,p0020,hof.ere,Hoffmannseggia  ,eremophila ,3,17,2,5,.,.,.,.,.,.,.,.,.,.,.,.,24,Jimena Dorado,
VQ,18,2008-10-06,1,p0050,hys.jas,Hysterionica,jassionoide,2,8,4,.,.,.,.,.,.,.,.,.,.,.,.,.,12,Jimena Dorado,
VQ,18,2008-10-06,1,p0036,lec.het,Lecanophora,heterophylla,24,1,2,3,3,20,8,13,4,4,.,.,.,.,.,165,165,Jimena Dorado,
VQ,18,2008-10-06,1,p0081,pet.axi,.,.,1,1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,1,Jimena Dorado,
VQ,18,2008-10-06,1,p0079,pol.ste,.,.,12,120,32,88,45,104,24,16,240,40,.,.,.,.,.,.,945,Jimena Dorado,
VQ,18,2008-10-06,1,p0069,sen.gil,.,.,1,13,.,.,.,.,.,.,.,.,.,.,.,.,.,.,13,Jimena Dorado,
VQ,18,2008-10-06,1,p0054,sph.min,Spharealcea,miniata,2,17,11,.,.,.,.,.,.,.,.,.,.,.,.,.,28,Jimena Dorado,
VQ,18,2008-10-06,1,p0025,thy.pen,Thymophylla,pentachaeta var. belenidium,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,1650,1650,Jimena Dorado,
VQ,T1,2008-10-06,1,p0019,aca.ser,Acantholippia ,seriphioides ,1,160,.,.,.,.,.,.,.,.,.,.,.,.,.,.,160,Sebastián Martín,
VQ,T1,2008-10-06,1,p0059,des.sp1,.,.,69,15,25,30,70,15,50,45,20,40,60,.,.,.,.,.,2553,Sebastián Martín,
VQ,T1,2008-10-06,1,p0071,gla.sp2,.,.,41,35,10,3,10,4,70,10,12,12,13,.,.,.,.,.,734,Sebastián Martín,
VQ,T1,2008-10-06,1,p0020,hof.ere,Hoffmannseggia  ,eremophila ,1,2,.,.,.,.,.,.,.,.,.,.,.,.,.,.,2,Sebastián Martín,
VQ,T1,2008-10-06,1,p0036,lec.het,Lecanophora,heterophylla,22,1,1,14,12,12,3,1,1,3,.,.,.,.,.,.,117,Sebastián Martín,
VQ,T1,2008-10-06,1,p0081,pet.axi,.,.,1,1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,1,Sebastián Martín,
VQ,T1,2008-10-06,1,p0066,pha.art,.,.,1,100,.,.,.,.,.,.,.,.,.,.,.,.,.,.,100,Sebastián Martín,
VQ,T1,2008-10-06,1,p0064,pol.sp1,.,.,2,36,1,.,.,.,.,.,.,.,.,.,.,.,.,.,37,Sebastián Martín,
VQ,T1,2008-10-06,1,p0069,sen.gil,.,.,1,2,.,.,.,.,.,.,.,.,.,.,.,.,.,.,2,Sebastián Martín,
VQ,T1,2008-10-06,1,p0025,thy.pen,Thymophylla,pentachaeta var. belenidium,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,800,800,Sebastián Martín,
VQ,T2,2008-10-06,1,p0019,aca.ser,Acantholippia ,seriphioides ,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,15,15,Anahí Miner,
VQ,T2,2008-10-06,1,p0059,des.sp1,.,.,5,1,2,1,2,2,.,.,.,.,.,.,.,.,.,.,8,Anahí Miner,
VQ,T2,2008-10-06,1,p0057,ero.cic,Erodium ,cicatarium,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,10,10,Anahí Miner,
VQ,T2,2008-10-06,1,Indet.3,Indet.3,.,.,7,6,3,4,10,3,2,2,.,.,.,.,.,.,.,.,30,Anahí Miner,
V5,25,2008-10-08,1,p0059,des.sp1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,19,19,Erica Stevani,
V5,25,2008-10-08,1,p0057,ero.cic,Erodium ,cicatarium,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,3,3,Erica Stevani,
V5,25,2008-10-08,1,p0102,lap.red,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,5,5,Erica Stevani,
V5,27,2008-10-08,1,p0057,ero.cic,Erodium ,cicatarium,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,7,7,Erica Stevani,
V5,27,2008-10-08,1,p0025,thy.pen,Thymophylla,pentachaeta var. belenidium,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,2,2,Erica Stevani,
V5,28,2008-10-08,1,Indet.3,.,.,.,1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,20,20,Sebastián Martín,
V5,28,2008-10-08,1,p0026,alo.gra,Aloyssia ,gratissima ,3,.,.,.,.,.,.,.,.,.,.,.,.,.,.,160,160,Sebastián Martín,
V5,28,2008-10-08,1,p0018,bud.men,Buddleja  ,mendozensis ,9,200,50,800,250,700,50,900,300,150,.,.,.,.,.,.,3400,Sebastián Martín,
V5,28,2008-10-08,1,p0059,des.sp1,.,.,7,2,2,2,3,1,1,2,.,.,.,.,.,.,.,.,13,Sebastián Martín,
