sitio,fecha,tra.par,no.esp.p,codigo.p,genero.p,especie.p,no.ind,no.flores_ind,flores.herb,flores.tot,observador,comentarios
V1,2009-09-14,P1,.,Nada,.,.,.,.,.,.,Diego Vázquez,.
V1,2009-09-14,P2,.,Nada,.,.,.,.,.,.,Diego Vázquez,.
V1,2009-09-14,P5,.,Nada,.,.,.,.,.,.,Diego Vázquez,.
V1,2009-09-14,P6,.,Nada,.,.,.,.,.,.,Diego Vázquez,.
V1,2009-09-14,T1,.,Nada,.,.,.,.,.,.,Diego Vázquez,.
V1,2009-09-14,T2,.,Nada,.,.,.,.,.,.,Diego Vázquez,.
V4,2009-09-14,P1,.,Nada,.,.,.,.,.,.,Diego Vázquez,.
V4,2009-09-14,P2,.,Nada,.,.,.,.,.,.,Diego Vázquez,.
V4,2009-09-14,P5,.,Nada,.,.,.,.,.,.,Diego Vázquez,.
V4,2009-09-14,P6,.,Nada,.,.,.,.,.,.,Diego Vázquez,.
V4,2009-09-14,T1,.,Nada,.,.,.,.,.,.,Diego Vázquez,.
V4,2009-09-14,T2,.,Nada,.,.,.,.,.,.,Diego Vázquez,.
V18,2009-09-16,P1,.,Nada,.,.,.,.,.,.,Diego Vázquez,.
V18,2009-09-16,P2,.,Nada,.,.,.,.,.,.,Diego Vázquez,.
V18,2009-09-16,P5,.,Nada,.,.,.,.,.,.,Diego Vázquez,.
V18,2009-09-16,P6,.,Nada,.,.,.,.,.,.,Diego Vázquez,.
V18,2009-09-16,T1,.,Nada,.,.,.,.,.,.,Diego Vázquez,.
V18,2009-09-16,T2,.,Nada,.,.,.,.,.,.,Diego Vázquez,.
V21,2009-09-16,P1,.,Nada,.,.,.,.,.,.,Diego Vázquez,.
V21,2009-09-16,P2,.,Nada,.,.,.,.,.,.,Diego Vázquez,.
V21,2009-09-16,P5,.,Nada,.,.,.,.,.,.,Diego Vázquez,.
V21,2009-09-16,P6,.,Nada,.,.,.,.,.,.,Diego Vázquez,.
V21,2009-09-16,T1,.,Nada,.,.,.,.,.,.,Diego Vázquez,.
V21,2009-09-16,T2,.,Nada,.,.,.,.,.,.,Diego Vázquez,.
V1,2009-09-21,P1,.,.,.,.,.,.,11,11,Belén Maldonado/Nydia Vitale,Falta ingresar al catÃ¡logo
V1,2009-09-21,P2,.,Nada,.,.,.,.,.,.,Belén Maldonado/Nydia Vitale,.
V1,2009-09-21,P5,.,Nada,.,.,.,.,.,.,Belén Maldonado/Nydia Vitale,.
V1,2009-09-21,P6,.,Nada,.,.,.,.,.,.,Belén Maldonado/Nydia Vitale,.
V1,2009-09-21,T1,.,Nada,.,.,.,.,.,.,Belén Maldonado/Nydia Vitale,.
V1,2009-09-21,T2,.,Nada,.,.,.,.,.,.,Belén Maldonado/Nydia Vitale,.
V19,2009-09-21,P1,.,Nada,.,.,.,.,.,.,Diego Vázquez,.
V19,2009-09-21,P2,.,Nada,.,.,.,.,.,.,Diego Vázquez,.
V19,2009-09-21,P5,.,Nada,.,.,.,.,.,.,Diego Vázquez,.
V19,2009-09-21,P6,.,Nada,.,.,.,.,.,.,Diego Vázquez,.
V19,2009-09-21,T1,.,Nada,.,.,.,.,.,.,Diego Vázquez,.
V19,2009-09-21,T2,.,Nada,.,.,.,.,.,.,Diego Vázquez,.
V20,2009-09-21,P1,.,Nada,.,.,.,.,.,.,Diego Vázquez,.
V20,2009-09-21,P2,.,Nada,.,.,.,.,.,.,Diego Vázquez,.
V20,2009-09-21,P5,.,Nada,.,.,.,.,.,.,Diego Vázquez,.
V20,2009-09-21,P6,.,Nada,.,.,.,.,.,.,Diego Vázquez,.
V20,2009-09-21,T1,.,Nada,.,.,.,.,.,.,Diego Vázquez,.
V20,2009-09-21,T2,.,Nada,.,.,.,.,.,.,Diego Vázquez,.
V4,2009-09-21,P1,.,Nada,.,.,.,.,.,.,Belén Maldonado/Nydia Vitale,.
V4,2009-09-21,P6,.,Nada,.,.,.,.,.,.,Belén Maldonado/Nydia Vitale,.
V21,2009-09-24,P1,.,Nada,.,.,.,.,.,.,Diego Vázquez,.
V21,2009-09-24,P2,.,Nada,.,.,.,.,.,.,Diego Vázquez,.
V21,2009-09-24,P5,.,Nada,.,.,.,.,.,.,Diego Vázquez,.
V21,2009-09-24,P6,.,Nada,.,.,.,.,.,.,Diego Vázquez,.
V21,2009-09-24,T1,.,Nada,.,.,.,.,.,.,Diego Vázquez,.
V21,2009-09-24,T2,.,Nada,.,.,.,.,.,.,Diego Vázquez,.
V1,2009-09-28,P2,.,Nada,.,.,.,.,.,.,Belén Maldonado/Nydia Vitale,.
V1,2009-09-28,P5,.,Nada,.,.,.,.,.,.,Belén Maldonado/Nydia Vitale,.
V1,2009-09-28,P6,.,Nada,.,.,.,.,.,.,Belén Maldonado/Nydia Vitale,.
V1,2009-09-28,T1,.,Nada,.,.,.,.,.,.,Belén Maldonado/Nydia Vitale,.
V1,2009-09-28,T2,.,Nada,.,.,.,.,.,.,Belén Maldonado/Nydia Vitale,.
V19,2009-09-28,P1,.,Nada,.,.,.,.,.,.,Diego Vázquez,nieve
V19,2009-09-28,P2,.,Nada,.,.,.,.,.,.,Diego Vázquez,nieve
V19,2009-09-28,P5,.,Nada,.,.,.,.,.,.,Diego Vázquez,nieve
V19,2009-09-28,P6,.,Nada,.,.,.,.,.,.,Diego Vázquez,nieve
V19,2009-09-28,T1,.,Nada,.,.,.,.,.,.,Diego Vázquez,nieve
V19,2009-09-28,T2,.,Nada,.,.,.,.,.,.,Diego Vázquez,nieve
V20,2009-09-28,P1,.,Nada,.,.,.,.,.,.,Diego Vázquez,nieve
V20,2009-09-28,P2,.,Nada,.,.,.,.,.,.,Diego Vázquez,nieve
V20,2009-09-28,P5,.,Nada,.,.,.,.,.,.,Diego Vázquez,nieve
V20,2009-09-28,P6,.,Nada,.,.,.,.,.,.,Diego Vázquez,nieve
V20,2009-09-28,T1,.,Nada,.,.,.,.,.,.,Diego Vázquez,nieve
V20,2009-09-28,T2,.,Nada,.,.,.,.,.,.,Diego Vázquez,nieve
V21,2009-09-28,P1,.,Nada,.,.,.,.,.,.,Diego Vázquez,nieve
V21,2009-09-28,P2,.,Nada,.,.,.,.,.,.,Diego Vázquez,nieve
V21,2009-09-28,P5,.,Nada,.,.,.,.,.,.,Diego Vázquez,nieve
V21,2009-09-28,P6,.,Nada,.,.,.,.,.,.,Diego Vázquez,nieve
V21,2009-09-28,T1,.,Nada,.,.,.,.,.,.,Diego Vázquez,nieve
V21,2009-09-28,T2,.,Nada,.,.,.,.,.,.,Diego Vázquez,nieve
V18,2009-10-05,T2,.,Nada,.,.,.,.,.,.,Diego Vázquez,.
V19,2009-10-05,P1,.,Nada,.,.,.,.,.,.,Diego Vázquez,.
V19,2009-10-05,P4,.,Nada,.,.,.,.,.,.,Diego Vázquez,.
