sitio,fecha,tra.par,no.esp.p,codigo.p,no.ind,no.flores.ind.1,no.flores.ind.2,no.flores.ind.3,no.flores.ind.4,no.flores.ind.5,no.flores.ind.6,no.flores.ind.7,no.flores.ind.8,no.flores.ind.9,no.flores.ind.10,no.flores.ind.11,no.flores.ind.12,no.flores.ind.13,no.flores.ind.14,flores.herb,flores.tot,observador,comentarios
V1,2010-09-14,P1,p0057,ero.cic,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,300,300,Diego,.
V1,2010-09-14,P1,p0105,ver.pol,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,2,2,Diego,.
V1,2010-09-14,P2,.,Nada,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,Nydia,.
V1,2010-09-14,P5,p0011,lyc.chi,2,11,4,.,.,.,.,.,.,.,.,.,.,.,.,.,15,Diego,.
V1,2010-09-14,P5,p0027,bou.spi,1,14,.,.,.,.,.,.,.,.,.,.,.,.,.,.,14,Diego,.
V1,2010-09-14,P5,p0057,ero.cic,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,40,40,Diego,.
V1,2010-09-14,P6,p0057,ero.cic,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,5,5,Nydia,.
V1,2010-09-14,T1,p0057,ero.cic,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,2,2,Diego,.
V1,2010-09-14,T2,p0011,lyc.chi,4,1,8,7,3,.,.,.,.,.,.,.,.,.,.,.,19,Nydia,.
V1,2010-09-14,T2,p0057,ero.cic,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,12,12,Nydia,.
V4,2010-09-14,P1,p0007,lyc.ten,2,12,9,.,.,.,.,.,.,.,.,.,.,.,.,.,21,Nydia,.
V4,2010-09-14,P1,p0011,lyc.chi,3,2,2,1,.,.,.,.,.,.,.,.,.,.,.,.,5,Nydia,.
V4,2010-09-14,P2,.,Nada,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,Diego,.
V4,2010-09-14,P5,p0057,ero.cic,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,55,55,Nydia,.
V4,2010-09-14,P6,.,Nada,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,Diego,.
