sitio,fecha,tra.par,no.esp.p,codigo.p,genero.p,especie.p,no.ind,no.flores.ind.1,no.flores.ind.2,no.flores.ind.3,no.flores.ind.4,no.flores.ind.5,no.flores.ind.6,no.flores.ind.7,no.flores.ind.8,no.flores.ind.9,no.flores.ind.10,no.flores.ind.11,no.flores.ind.12,no.flores.ind.13,no.flores.ind.14,flores.herb,flores.tot,observador,comentarios
V1,2011-09-13,P1,p0057,ero.cic,Erodium ,cicatarium,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,49,49,Diego y Nydia,flores
V1,2011-09-13,P2,.,Nada,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,Diego y Nydia,
V1,2011-09-13,P5,.,Nada,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,Diego y Nydia,
V1,2011-09-13,P6,.,Nada,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,Diego y Nydia,
V1,2011-09-13,T1,.,Nada,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,Diego y Nydia,
V1,2011-09-13,T2,.,Nada,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,Diego y Nydia,
V4,2011-09-13,P1,.,Nada,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,Diego y Nydia,
V4,2011-09-13,P2,.,Nada,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,Diego y Nydia,
V4,2011-09-13,P5,.,Nada,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,Diego y Nydia,
V4,2011-09-13,P6,.,Nada,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,Diego y Nydia,
V4,2011-09-13,T1,.,Nada,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,Diego y Nydia,
V4,2011-09-13,T2,.,Nada,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,Diego y Nydia,
.,2011-10-04,.,p0093,den.rho,Denmoza,rhodocantha,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,Diego,fuera parcela
.,2011-10-04,.,p0035,lar.nit,Larrea,nitida,1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,Diego,una planta con un pinpollo. Fuera parcela
.,2011-10-04,.,p0036,lec.het,Lecanophora,heterophylla,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,Diego,fuera parcela
V1,2011-10-04,P1,p0035,lar.nit,Larrea,nitida,4,10,6,76,230,.,.,.,.,.,.,.,.,.,.,.,322,Diego y Nydia,
V1,2011-10-04,P2,p0019,aca.ser,Acantholippia ,seriphioides ,2,22,25,.,.,.,.,.,.,.,.,.,.,.,.,.,47,Nydia,
V1,2011-10-04,P2,p0046,arj.lon,Arjona,longifolia,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,6,6,Nydia,
V1,2011-10-04,P5,p0035,lar.nit,Larrea,nitida,1,7,.,.,.,.,.,.,.,.,.,.,.,.,.,.,7,Nydia,
V1,2011-10-04,P6,p0019,aca.ser,Acantholippia ,seriphioides ,3,15,10,60,.,.,.,.,.,.,.,.,.,.,.,.,85,Nydia,
V1,2011-10-04,T1,p0019,aca.ser,Acantholippia ,seriphioides ,3,35,10,50,.,.,.,.,.,.,.,.,.,.,.,.,95,Nydia,
V1,2011-10-04,T2,p0019,aca.ser,Acantholippia ,seriphioides ,1,8,.,.,.,.,.,.,.,.,.,.,.,.,.,.,8,Nydia,
V18,2011-10-04,P2,p0019,aca.ser,Acantholippia ,seriphioides ,1,5,.,.,.,.,.,.,.,.,.,.,.,.,.,.,5,Diego,
V18,2011-10-04,P2,p0036,lec.het,Lecanophora,heterophylla,1,2,.,.,.,.,.,.,.,.,.,.,.,.,.,.,2,Diego,
V18,2011-10-04,P2,p0054,sph.min,Sphaeralcea,miniata,2,2,1,.,.,.,.,.,.,.,.,.,.,.,.,.,3,Diego,
V18,2011-10-04,P2,p0012,ver.bon,Verbena,bonariensis ,5,85,65,5,12,14,.,.,.,.,.,.,.,.,.,.,181,Diego,
V18,2011-10-04,P4,p0012,ver.bon,Verbena,bonariensis ,6,12,5,10,4,5,6,.,.,.,.,.,.,.,.,.,42,Diego,
V18,2011-10-04,P6,p0012,ver.bon,Verbena,bonariensis ,1,4,.,.,.,.,.,.,.,.,.,.,.,.,.,.,4,Diego,
V18,2011-10-04,T1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,Diego,
V18,2011-10-04,T2,.,Nada,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,Diego,
V19,2011-10-04,P1,.,Nada,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,Diego,
V19,2011-10-04,P2,.,Nada,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,Diego,
V19,2011-10-04,P5,p0093,den.rho,Denmoza,rhodocantha,1,3,.,.,.,.,.,.,.,.,.,.,.,.,.,.,3,Diego,
V19,2011-10-04,P6,p0020,hof.ere,Hoffmannseggia  ,eremophila ,2,2,3,.,.,.,.,.,.,.,.,.,.,.,.,.,5,Diego,
V19,2011-10-04,T1,.,Nada,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,Diego,
V19,2011-10-04,T2,.,Nada,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,Diego,
V21,2011-10-04,P1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,Diego,
V21,2011-10-04,P1,.,Nada,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,Diego,
V21,2011-10-04,P5,p0093,den.rho,Denmoza,rhodocantha,1,3,.,.,.,.,.,.,.,.,.,.,.,.,.,.,3,Diego,"no fui a P2, T2 y P6 en V21"
V21,2011-10-04,T1,p0093,den.rho,Denmoza,rhodocantha,1,4,.,.,.,.,.,.,.,.,.,.,.,.,.,.,4,Diego,
V4,2011-10-04,P1,p0036,lec.het,Lecanophora,heterophylla,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,1,1,Nydia,
V4,2011-10-04,P1,p0054,sph.min,Sphaeralcea,miniata,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,2,2,Nydia,
