EM_ID,UCMC,Date,Year,Month,Ordinal day,Site,Plot,Plant,Plant species name,Plant common name,Plant family,Insect Order,Insect family,Insect species name,Insect notes,Notes,PA
EM01145,UCMC 0234895,8/20/15,2015,8,232,Elk M.,2,ACHMIL,Achillea millefolium,Common Yarrow,Asteraceae,Hymenoptera,Halictidae,Agapostemon angelicus/texanus,female. can't distunguish species morphologically,,1
EM01144,UCMC 0234894,8/20/15,2015,8,232,Elk M.,4,ACHMIL,Achillea millefolium,Common Yarrow,Asteraceae,Hymenoptera,Halictidae,Agapostemon angelicus/texanus,female. can't distunguish species morphologically,,1
EM01130,UCMC 0234880,8/20/15,2015,8,232,Elk M.,2,ACHMIL,Achillea millefolium,Common Yarrow,Asteraceae,Hymenoptera,Halictidae,Agapostemon angelicus/texanus,male angelicus,,1
EM01423,,7/29/16,2016,7,211,Elk M.,2,ACHMIL,Achillea millefolium,Common Yarrow,Asteraceae,Hymenoptera,Apidae,Bombus bifarius,female,,1
EM01775,,9/20/17,2017,9,263,Elk M.,3,ACHMIL,Achillea millefolium,Common Yarrow,Asteraceae,Hymenoptera,Halictidae,Lasioglossum (Dialictus) aff. knereri,female,,1
EM01464,,8/26/16,2016,8,239,Elk M.,5,ACHMIL,Achillea millefolium,Common Yarrow,Asteraceae,Hymenoptera,Halictidae,Lasioglossum sp.,Lasioglossum (Dialictus) mixed spp.; male,,1
EM02092,,9/22/19,2019,9,265,Elk M.,6,ACHMIL,Achillea millefolium,Common Yarrow,Asteraceae,Hymenoptera,Halictidae,Lasioglossum (Dialictus) aff. knereri,det. JR,,1
EM01570,,6/26/17,2017,6,177,Elk M.,6,ACHMIL,Achillea millefolium,Common Yarrow,Asteraceae,Hymenoptera,Megachilidae,Osmia subaustralis,female,,1
EM01655,,7/31/17,2017,7,212,Elk M.,2,ACHMIL,Achillea millefolium,Common Yarrow,Asteraceae,Hymenoptera,Colletidae,Hylaeus modestus,or affinis; female,,1
EM01680,,8/8/17,2017,8,220,Elk M.,1,ACHMIL,Achillea millefolium,Common Yarrow,Asteraceae,Hymenoptera,Apidae,Bombus mixtus,worker,,1
EM01710,,8/14/17,2017,8,226,Elk M.,5,ACHMIL,Achillea millefolium,Common Yarrow,Asteraceae,Hymenoptera,Halictidae,Lasioglossum sp.,Lasioglossum (Dialictus) mixed spp.; male,,1
