Specie,Kingdom,Role,Degree,Sum(connections strength),Networks presence
"Allograpta nasuta","Animals","Pollinator",1,1,17
"Apis mellifera","Animals","Pollinator",5,35,123
"Brachymyrmex sp1 M_PL_082","Animals","Pollinator",2,18,1
"Chaetocnema sp1 M_PL_082","Animals","Pollinator",6,18,1
"Chrysomya megacephala ","Animals","Pollinator",2,8,25
"Dysauxes florida","Animals","Pollinator",2,5,15
"Episyrphus sp1 M_PL_082","Animals","Pollinator",1,1,1
"Eristalinus flaveolus","Animals","Pollinator",4,13,17
"Hippotion eson","Animals","Pollinator",1,1,4
"Leptotes pirithous","Animals","Pollinator",1,1,11
"Lygaeidae sp1 M_PL_082","Animals","Pollinator",1,1,1
"Macroglossum milvus","Animals","Pollinator",1,1,7
"Melanostoma annulipes","Animals","Pollinator",1,2,17
"Mordellidae sp1 M_PL_082","Animals","Pollinator",1,1,1
"Musca domestica","Animals","Pollinator",8,41,26
"Nacoleia sp1 M_PL_082","Animals","Pollinator",2,2,1
"Ornidia obesa","Animals","Pollinator",1,1,47
"Orthellia albigena ","Animals","Pollinator",1,1,12
"Panara naso","Animals","Pollinator",1,3,14
"Paragus borbonicus","Animals","Pollinator",2,3,15
"Phorinia sp1 M_PL_082","Animals","Pollinator",2,2,1
"Sarcophaga arno ","Animals","Pollinator",2,2,12
"Stomorhina lunata","Animals","Pollinator",2,3,24
"Stomoxys calcitrans","Animals","Pollinator",1,1,15
"Syritta sp1 M_PL_082","Animals","Pollinator",1,1,1
"Technomyrmex albipes ","Animals","Pollinator",3,26,25
"Villa unifasciata","Animals","Pollinator",2,4,13
"Aphloia theiformis","Plants","Plant",14,39,22
"Casearia coriacea","Plants","Plant",4,20,3
"Cordemoya integrifolia","Plants","Plant",1,5,8
"Croton grangeroides","Plants","Plant",3,10,3
"Erythroxylum macrocarpum","Plants","Plant",3,4,11
"Gaertnera sp1 M_PL_082","Plants","Plant",7,13,1
"Labourdonnaisia callophylloides","Plants","Plant",2,9,9
"Molinaea macrantha","Plants","Plant",1,21,2
"Phyllanthus phillyreifolius","Plants","Plant",5,6,8
"Stillingia lineata","Plants","Plant",10,34,20
"Syzygium coriaceum","Plants","Plant",3,23,8
"Syzygium petrinese","Plants","Plant",4,12,5
