"","acal.sp2","acal.sp4","acr.lob","allo.bre","allo.sp1","amm.sp1","ana.ine","ant.fri","ant.oed","ant.rub","ant.vig","antho.sp1","api.mel","arh.bif","ari.sp1","ase.mon","asi.sp1","asi.sp2","aud.sp","aug.sp","bab.elo","bib.sp1","bom.opi","bombil10","bombil11","bombil12","bombil14","bombil15","bombil16","bombil3","bombil5","bombil7","bombil8","bombil9","cae.sp1","cal.sp1","cam.mus","cam.pun","cen.bre","cen.lya","cen.var","cha.sp1","coc.mac","coc.sp1","coc.sp2","coe.chi","coe.jor","coe.sp6","col.ara","col.bic","col.bre","col.cog","col.lyc","com.ful","cop.ari","cop.sp2","cop.sp3","cos.chi","cra.sp1","dia.bar","dia.pat","dia.sp1","dih.sp1","emp.sp1","emp.sp2","epi.sp","eum.sp","exo.sp1","for.sp1","hir.sp1","hypa.sp1","ise.vac","ise.vip","lei.abd","lei.fri","lep.nig","lepid11","lepid12","lepid3","lepid4","lip.ino","lip.nig","lon.rob","lon.sp1","meg.A","meg.C","meg.cte","meg.pse2","mel.coc","mel.sp","mes.jen","muscid2","neu.sp1","nit.sp1","pir.com","pla.sp1","pol.cav","pompil2","psa.phi","psa.ruf","pse.sp","rub.nas","sar.sp1","sci.sp1","sph.sp2","sphecid1","str.eur","sva.bau","sva.bom","sva.zeb","syr.sp1","syr.sp2","syr.sp3","syr.sp5","syr.sp6","tac.sp1","tac.sp10","tac.sp15","tac.sp17","tac.sp5","tac.sp8","tachy.sp","tat.aut","tep.sp1","tep.sp2","thy.sp1","tox.sp1","tri.lat","tri.sp2","vill.sp1","wil.cha","xyl.aug","xyl.ord","xyl.spl","zet.sp1"
"aca.ser",0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,3,45,0,1,0,46,29,0,0,0,0,55,0,6,0,2,0,0,6,0,0,15,0,1,0,0,0,0,0,0,0,0,0,0,0,0,47,35,0,0,0,0,0,5,3,0,5,0,0,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,2,0,0,0,11,0,0,0,0,0,10,0,0,1,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0
"alo.gra",0,0,0,0,0,40,0,0,0,0,0,0,435,0,0,0,1,0,0,44,0,12,5,3,0,0,0,2,0,0,0,0,0,2,14,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,2,0,2,136,408,1,0,0,0,0,0,1,0,0,0,0,19,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,5,1,0,0,0,0,3,0,2,0,0,0,15,0,0,0,11,0,0,0,1,0,47,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,1,0,0
"arg.sub",0,0,0,0,0,0,0,0,0,0,0,0,15,1,0,0,0,0,0,12,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,4,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"arj.lon",0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,3,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
"bou.spi",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,51,0,0,6,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"bre.mic",0,0,0,0,0,0,0,0,0,0,0,0,360,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"bud.men",0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,4,0,11,19,0,16,0,2,0,2,0,0,0,0,0,0,0,0,5,0,4,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,5,87,50,0,3,0,0,0,0,4,0,0,0,0,7,0,4,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,3,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,19,0,0,0,3,0,0,0,0,0,96,1,0,0,0,0,0,0,0,0,0,0,0,4,0,0,1,0,1
"cap.ata",0,0,0,0,0,22,3,0,0,1,0,0,74,0,0,0,0,0,5,39,0,0,54,2,3,0,0,0,0,0,1,4,3,4,0,0,0,0,244,0,0,0,0,0,0,1,0,1,12,2,0,2,2,2,78,7,0,30,0,0,2,0,4,0,0,0,5,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,8,4,3,0,0,13,0,0,0,3,0,1,0,0,0,0,20,0,0,11,147,21,0,0,2,0,1,0,0,0,43,3,0,0,0,0,0,0,0,0,2,0,0,0,0,13,0,144,11,3
"cen.sol",0,0,0,0,0,19,0,0,0,0,0,0,1,0,0,0,0,0,0,11,1,0,11,0,0,0,0,0,0,2,2,0,26,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,5,0,25,0,0,8,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,18,0,0,0,0,0,0,0,0,0,8,0,0,0,24,0,0,0,27,0,0,0,1,0,4,0,0,0,0,0,1,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,1
"cer.arv",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
