;Acalyptrate_sp;Achaea_finita_Guenée;Acopsis_viridicans_Amyot&Serville;Aganais_borbonica _Boisduval;Agrostis_atritegulator_Hampson;Ahasverus_advena_Waltle;Allograpta_nasuta_Marquart;Allograpta_sp1;Allograpta_sp2;Anthomyia_faciata_Walker;Apis_mellifera_Linnaeus;Atherigona_sp1;Bactrocera_cucurbitae_Coquillett;Brachymyrmex_sp ;Calcidoidae_sp1;Campopleginae_sp1;Cephonodes_trochilus_Guého ;Cerambycidae_sp1;Cerambycidae_sp3;Ceratitis_roas_Karsch;Chaetocnema_sp1;Cheloninae_sp1;Cheloninae_sp2;Chironomidae_sp1;Chrysomya_megacephala_Fabricius;Cicadellidae_sp2;Condica_capensis;Conocephalus_sp1;Cryptinae_sp;Dasytinae_sp1;Dioxyna_sororcula_Wiedemann;Diptera_sp1;Dolichopodidae_sp1;Drosophila_sp1;Drosophila_sp2;Drosophila_sp3;Dysauxes_florida_Joan;Eilema_squalida_Viette;Episyrphus_sp._near_circularis_Hull;Eristalinus_flaveolus_Bigot;Eumolpinae_sp1;Fannia_pusio_Wiedemann;Foudia_madagascariense_Linnaeus;Gelechioidea_sp1;Goniurellia_or_Dectodes_sp;Graphomya_maculata_Scopoli;Henotesia_narcissus_Fabricius;Hippotion_eson_Cramer;Homoneura_quadrivittata_Walker;Homoneura_sp2;Homoneura_sp3;Hyadina_sp ;Hydrillodes_sp;Hyperaspis_hottentota_Mulsant;Ischiodon_aegyptius_Wiedemann;Lauxania_sp;Lecithoceridae_sp1;Lecithoceridae_sp2;Leptotes_pirithous_Linnaeus;Limnophora_quaterna_Loew;Limonia_(Dycranomia)sp;Limoniidae_sp;Lygaeidae_sp1;Lygaeidae_sp4;Lygaeidae_sp5;Lygistorrhina_sp;Macroglossum_milvus_Boisduval;Mauritiborium_undulatus;Melanagromyza_sojae_Zehntner;Melanostoma_annulipes_Macquart;Melanostoma_bituberculatum_Loew;Miridae_sp1;Mordellidae_sp1;Mordellidae_sp2;Musca_domestica_Linnaeus;Mythimna_sp1;Nacoleia_sp1;Nacoleia_sp2;Nogodinidae_sp;Nyctemera_insulare_Boisduval;Ophyra_capensis_Wiedemann;Orchisia_costata_Meigen;Ornidia_obesa_Fabricius;Orthellia_albigena_Stein;Pachycerina_crinicornis_Thomson;Paleorhiza_sp1;Panara_naso_Fabricius;Papillio_manlius_Fabricius;Paragus_borbonicus_Macquart;Pelecophora_intemipta_All;Peribaea_sp;Phalanta_phalantha_Drury;Pheidole_megacephala_Fabricius;Phelsuma_cepediana_Merrem;Phorinia_sp;Polistes_hebraeus_Fabricius;Psilopa_iceryae_Cresson;Psyllidae_sp1;Psyllidae_sp2;Pteromalidae_sp1;Pterophoridae_sp1;Pycnonotus_jocosus_Linnaeus;Remigia_frugalis_Fabricius ;Sapromyza_sp_near_nudiuscula_Lamb.;Sarcophaga_arno_Curran ;Sarrothripinae_sp;Scatopsidae_sp;Scirtidae_sp1;Scirtidae_sp2;Scolia_carniflex_Coquillett;Scolia_oryctophaga_Coquillett;Scopariinae_sp;Sepsis_lateralis_Wiedemann;Simulium_(Byssodon) _sp2;Simulium_sp1;Siphona_sp;Spilogona_sp ;Spodoptera_littoralis_Boisduval;Stomorhina_lunata_Fabricius;Stomoxys_calcitrans_Linnaeus;Stomoxys_niger_Macquart;Strictopterinae_sp1;Syritta_nigrofemorata_Macquart;Syritta_sp_(near abyssinica Rondani);Tarundia_servillei_Spinola;Technomyrmex_albipes_Smith;Tettigoniidae_sp1;Thelairodrino_sp;Trichoplusia_indicator_Walker ;Trirhithrum_sp_near_nigerrimum_Bezzi;Villa_unifasciata_Macquart;Zaprionus_tuberculatus_Malloch;Zaprionus_vittiger_Coquillett;Zizeeria_knysa_Trimen;Zosterops_mauritianus_Gmelin
Agauria_salicifolia;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,6000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,9672;0,2400;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,1538;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,1667;0,1667;0,0000;0,0000;0,0000;0,3333;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000
Antidesma_madagascariense;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,3333;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,3333;0,1667;0,0000;0,0000;0,0000;0,0000;0,0000;0,1538;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,3333;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;2,7279;0,0000;0,2500;0,0000;0,0000;0,1667;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,5556;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,3333;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,6190;0,0000;0,0741;0,0000;0,0000;0,0000;0,0000;0,6500;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000
Antirhea_borbonica;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0952;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,1333;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0200;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,1818;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;5,4865;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0800;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0800;0,0000;0,0000;0,0000;0,0000;0,0000;0,1429;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0556;0,0000;0,0000;0,0000;0,0000;0,0000;0,0800;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000
Aphloia_theiformis;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,1435;0,0000;0,1739;0,0000;12,9301;0,0000;0,0000;4,7844;0,0000;0,0000;0,0000;0,0000;0,1111;0,0000;0,0000;0,2667;0,0000;0,0000;0,7623;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,1333;0,0000;0,0000;0,0000;0,0000;0,5000;1,5878;0,0000;0,5357;0,0000;0,0000;0,0000;0,0000;0,0435;0,0000;0,0000;0,1176;0,0000;0,0000;0,0000;0,0000;0,0800;0,0000;0,1429;0,0000;0,0435;0,0870;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;2,8954;0,0000;0,0000;0,0000;0,0000;2,8863;0,0000;1,8298;0,4095;0,0000;0,2500;0,2105;0,0000;0,1853;0,0000;0,6406;0,0000;0,1600;0,0000;0,3275;0,3727;0,0000;0,0000;0,0000;0,0000;0,5036;0,8867;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,1053;0,0769;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;9,0167;0,8273;0,9359;0,0000;0,2333;0,0000;0,0000;9,4202;0,0000;0,0000;0,0000;0,0000;1,2722;0,0000;0,0000;0,0000;0,5686
Badula_insularis;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0526;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0625;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0800;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0800;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,3376;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0625;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,7199;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0625;0,0000;0,0000;0,0000;0,0526;0,0000
Badula_platiphylla;0,0000;0,0000;0,0000;0,0000;0,0000;0,1333;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,8333;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,2222;0,0556;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,4000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,1429;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000
Bakerella_hoyifolia_ssp_bojeri;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,4190;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,4000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;2,8571;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000
Bertiera_zaluzania ;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,2576;0,0000;0,0000;0,0000;2,4364;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,9231;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,1667;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,1000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,1429;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,2333;0,0000;0,1538;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,1667;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,9984;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,1909
Calophyllum_eputamen_var_eputamen;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;1,4603;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;3,8000;0,0000;0,0000;0,0000;0,2000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,4000;0,4000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,2857;0,0000;0,0000;0,5000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,2857;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,6857;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,4000;0,0000;0,0000;0,0000;0,0000;0,4000;0,0000;0,0000;0,0000;0,0000
Casearia_coriacea;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,1429;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;5,8330;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000
