"ID","Abeja","especies","genero","Familia","DIT"
"chaco0611","Colletes.araucariae_0611","Colletes.araucariae","Colletes","Colletidae",2.417
"chaco0611","Caenohalictus.sp_0611","Caenohalictus.sp","Caenohalictus","Halictidae",1.3
"chaco0611","Colletes.bicolor_0611","Colletes.bicolor","Colletes","Colletidae",2.675
"chaco0611","Colletes.cognatus_0611","Colletes.cognatus","Colletes","Colletidae",2.35
"chaco0611","Alloscirtetica.sp1_0611","Alloscirtetica.sp1","Alloscirtetica","Apidae",2.9
"chaco0611","Apis.mellifera_0611","Apis.mellifera","Apis","Apidae",2.9
"chaco0611","Augochloropsis.sp_0611","Augochloropsis.sp","Augochloropsis","Halictidae",2.18
"chaco0611","Dialictus.sp_0611","Dialictus.sp","Dialictus","Halictidae",1.2
"chaco0611","Melissoptila.sp_0611","Melissoptila.sp","Melissoptila","Apidae",2.65
"chaco0611","Svastra.sp_0611","Svastra.sp","Svastra","Apidae",3.54
"M_001","Alloscirtetica.rufitarsis_001","Alloscirtetica.rufitarsis","Alloscirtetica","Apidae",3.36
"M_001","Alloscirtetica.gayi_001","Alloscirtetica.gayi","Alloscirtetica","Apidae",3.102
"M_001","Alloscirtetica.sp_001","Alloscirtetica.sp","Alloscirtetica","Apidae",2.9
"M_001","Anthidium.chilensis_001","Anthidium.chilensis","Anthidium","Megachilidae",1.2
"M_001","Anthidium.decaspilum_001","Anthidium.decaspilum","Anthidium","Megachilidae",3.2
"M_001","Anthidium.funereum_001","Anthidium.funereum","Anthidium","Megachilidae",3.2
"M_001","Anthidium.sp_001","Anthidium.sp","Anthidium","Megachilidae",3.34
"M_001","Cadeguala.occidentalis_001","Cadeguala.occidentalis","Cadeguala","Colletidae",3.3
"M_001","Dialictus.sp_001","Dialictus.sp","Dialictus","Halictidae",1.2
"M_001","Liphanthus.sabulosus_001","Liphanthus.sabulosus","Liphanthus","Andrenidae",1.237
"M_001","Ruizantheda.mutabilis_001","Ruizantheda.mutabilis","Ruizantheda","Halictidae",1.68
"M_001","Colletes.araucariae_001","Colletes.araucariae","Colletes","Colletidae",2.417
"M_001","Caenohalictus.sp_001","Caenohalictus.sp","Caenohalictus","Halictidae",1.3
"M_001","Centris.cineraria_001","Centris.cineraria","Centris","Apidae",5.108
"M_001","Caenohalictus.sp2_001","Caenohalictus.sp2","Caenohalictus","Halictidae",1.3
"M_001","Caenohalictus.sp3_001","Caenohalictus.sp3","Caenohalictus","Halictidae",1.3
"M_001","Bombus.dahlbomii_001","Bombus.dahlbomii","Bombus","Apidae",6.01
"M_001","Anthophora.incerta_001","Anthophora.incerta","Anthophora","Apidae",4.13
"M_001","Centris.nigerrima_001","Centris.nigerrima","Centris","Apidae",4.836
"M_001","Megachile.sp1_001","Megachile.sp1","Megachile","Megachilidae",3.2
"M_001","Megachile.sp2_001","Megachile.sp2","Megachile","Megachilidae",3.2
"M_001","Centris.sp_001","Centris.sp","Centris","Apidae",5.4
"M_001","Colletes.sp_001","Colletes.sp","Colletes","Colletidae",2.9
"M_001","Anthophora.sp_001","Anthophora.sp","Anthophora","Apidae",4.13
"M_002","Caenohalictus.sp_002","Caenohalictus.sp","Caenohalictus","Halictidae",1.3
"M_002","Alloscirtetica.rufitarsis-002","","Alloscirtetica","Apidae",3.36
"M_002","Alloscirtetica.sp_002","Alloscirtetica.sp","Alloscirtetica","Apidae",2.9
"M_002","Anthidium.funereum_002","Anthidium.funereum","Anthidium","Megachilidae",3.2
"M_002","Anthidium.sp_002","Anthidium.sp","Anthidium","Megachilidae",3.34
"M_002","Bombus.dahlbomii_002","Bombus.dahlbomii","Bombus","Apidae",6.01
"M_002","Centris.cineraria_002","Centris.cineraria","Centris","Apidae",5.108
"M_002","Megachile.semirufa_002","Megachile.semirufa","Megachile","Megachilidae",4.19
"M_002","Megachile.sp1_002","Megachile.sp1","Megachile","Megachilidae",3.2
