"plantas","Alloscirtetica.rufitarsis","Alloscirtetica.gayi","Alloscirtetica.sp","Andinus.venustus","Anthidium.chilensis","Anthidium.decaspilum","Anthidium.funereum","Anthidium.gayi","Anthidium.adriani","Anthidium.sp","Anthophora.incerta","Anthophora.sp","Auca.coctei.pales","Bombus.dahlbomii","Cadeguala.occidentalis","Caenohalictus.sp","Caupolicana.dimidiata","Centris.nigerrima","Centris.cineraria","Chilimelissa.sp","Coelioxys.sp","Colletes.fulvipes","Colletes.araucariae","Colletes.sp","Corynura.sp","Dasybasis.sp1","Dasybasis.sp2","Dialictus.sp","Diptera.ni","Elaphroptera.relicta","Eristalis.tenax","Etcheverrius.chilensis","Eurygostomyia.philippii","Faunula.leucoglene","Habromyia.lipoflava","Hemicolletes.ruizi","Hymenoptera.ni","Hypodynerus.chiliotus","Hypsochila.wagenknecti","Isepeolus.niveiventris","Lepidoptera.ni","Liphanthus.sabulosus","Lithurgomma.wagenknechti","Lycophlaeba.lugubris","Megachile.semirufa","Mesonychium.gayi","Panurgineae.sp","Phulia.nymphula","Prosopochaeta.caliginosa","Pseudolucia.chilensis","Ruizantheda.mutabilis","Ruiziella.luctuosa","Scaeva.melanostoma","Scaptia.atra","Svastrides.melanura","Tapinotaspis.herbsti","Tapinotaspis.caerulea","Tatochila.mercedis","Tatochila.blanchardii","Troch.ni","Truphoecus.bellus","Villa..durvillei","Villa.gayi","Villa.guttapennis","Villa.hypoxantha","Villa.semifuscata","Villa.sp","Villa.arenarius","Xanthocolletes.sicheli","Xanthocolletes.incahuasi","Yramea.lathonoides","Megachile.sp1","Bibionidae.sp1","Bibionidae.sp2","Coleoptera.ni","Spathipalpus.philippii","Vibrissomyia.sp","Villa.verdensis","Hypodynerus.sp3","Chilicola.sp","Bombyllidae.ni","Tachinidae.ni","Vespidae.ni","Tabanidae.ni","Caenohalictus.sp2","Caenohalictus.sp3","Megachile.sp2","Sarcophagidae.ni","Xanthocolletes.sp","Hypodynerus.sp2","Muscidae.sp","Agromyzidae.sp1","Agromyzidae.sp2","Anthomyiidae.sp2","Centris.sp","Liphanthus.sp2","Anthomyiidae.sp4","Chaetodemoticus.chilensis"
"Alstromemeria.pallida",0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Hippeastrum.uniflorum",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Leucocoryne.ixioides",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Leucocoryne.pauciflora",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Nothoscordum.andinum",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Rhodophiala.montana",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Tristagama.bivalve",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Tristagama.nivale",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Tristagama.sessile",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Berberis.empetrifolia",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
