"plantas","Alloscirtetica.rufitarsis","Alloscirtetica.sp","Andinus.venustus","Anthidium.funereum","Anthidium.sp","Ateloglutus.sp","Auca.coctei.pales","Bombus.dahlbomii","Caenohalictus.sp","Centris.nigerrima","Centris.cineraria","Colletes.fulvipes","Colletes.sp","Dasybasis.sp1","Diptera.ni","Etcheverrius.chilensis","Faunula.leucoglene","Gayella.reedi","Habromyia.lipoflava","Hymenoptera.ni","Hypodynerus.chiliotus","Lepidoptera.ni","Lycophlaeba.lugubris","Megachile.semirufa","Panurgineae.sp","Phulia.nymphula","Prosopochaeta.caliginosa","Pseudolucia.chilensis","Scaeva.melanostoma","Tatochila.mercedis","Tatochila.blanchardii","Troch.ni","Villa.flavicura","Villa.gayi","Villa.hypoxantha","Villa.semifuscata","Villa.sp","Villa.arenarius","Yramea.lathonoides","Yramea.modesta","Megachile.sp1","Bombylliidae.ni","Tachinidae.ni","Coleoptera.sp","Spathipalpus.philippii","Vibrissomyia.sp","Villa.verdensis","Sarcophagidae.ni","Hypodynerus..sp3","Chilicola.sp","Bibionidae.sp1","Anthomyiidae.ni","Vespidae.ni","Tabanidae.ni","Hypodynerus.sp2","Megachile.sp2","Megachile.sp4","Megachile.sp5","Agromyzidae.sp1","Agromyzidae.sp2","Anthomyiidae.sp2","Centris.cana"
"Nothoscordum.andinum",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Rhodophiala.montana",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Tristagama.nivale",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Berberis.empetrifolia",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Nastanthus.spathulatus",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Cerastium.arvense",0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Cerastium.montioides",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Chaetanthera.euphrasioides",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,1,1,1,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Chaetanthera.pusilla",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Chuquiraga.oppositifolia",0,0,1,0,0,0,1,1,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
