"plantas","Halictus.sp","Sepsis.thoracica","Agrotis.ipsilon","Bombus.ruderatus","Colias.crocea","Musca.domestica","Apis.mellifera","Lucilia.sericata","Lasius.niger","Anothomyia.pluvialis","Calliphora.vemitoria","Eristalix.tenax"
"Azorina.vidalii",98,51,0,9,9,23,89,0,37,0,13,0
"Crithmum.maritimum",0,87,0,0,0,83,0,93,0,0,0,12
"Solidago.sempervivens",141,0,22,0,0,0,0,0,0,0,0,0
"Beta.vulgaris",0,8,0,0,0,0,0,0,0,0,0,0
"Daucus.carota",11,0,0,0,0,102,0,8,0,0,0,0
"Silene.vulgaris",7,30,0,0,0,0,0,0,0,0,0,0
"Chamomilla.suaveolens",21,0,0,0,0,42,0,0,0,23,0,0
"Lotus.corniculatus",0,0,0,47,21,0,9,0,0,0,0,0
"Freesia.refracta",0,0,0,11,12,0,0,0,0,0,0,0
"Reseda.luteola",11,0,0,0,0,0,9,0,0,0,0,0
