"plantas","Phelsuma.ornata","Phalantha.phalantha","Stratiomydae.sp","Xylocopa.fenestrata","Megachile.sp","Protaetia.aurichalcea","Leptotes.pirithous","Borbo.borbonica","Apis.mellifera","Musca.domestica","Syrphid.sp","Lucilia.sp","Ornidia.obesa"
"Gastonia.mauritiana",30,0,16,0,0,15,2,0,149,16,0,16,16
"Dracaena.concinna",33,0,0,0,0,0,0,0,11,0,17,0,0
"Scaevola.sericea",19,0,0,15,15,0,0,0,92,0,0,0,0
"Ipomoea.macrantha",0,0,0,0,0,0,0,0,126,0,0,0,0
"Pemphis.acidula",21,117,11,16,0,0,1,0,103,0,0,0,0
"Hibiscus.tiliaceus",28,0,0,0,0,0,0,0,138,0,0,0,0
"Suriana.maritima",0,0,0,0,13,0,1,0,23,0,0,0,0
"Argusia.argentea",12,0,0,0,0,0,0,0,57,6,6,0,0
"Thespesia.populnea",14,0,7,0,0,0,0,2,69,0,0,0,0
"Morinda.citrifolia",23,0,0,0,0,0,2,0,115,0,0,0,0
"Leucaena.leucocephala",9,0,5,0,0,0,0,0,46,0,0,0,0
"Passiflora.suberosa",7,0,0,0,0,0,0,0,34,0,0,0,0
"Stachytapheta.jamaicencis",0,26,2,0,0,0,1,1,0,0,2,0,0
"Turnera.angustifolia",0,0,1,2,2,0,0,1,0,0,0,0,0
