"plantas","Alipumilio.sp1.M.PL.023","Alloscirtetica.herbsti","Ammophila.sp1.M.PL.023","Anthidium.rubriceps","Apis.mellifera","Arhysosage.bifasciata","Augochloropsis.sp1.M.PL.023","Caenohalictus.sp1.M.PL.023","Caenohalictus.sp2.M.PL.023","Callonychium.mandibulare","Carposcalis.punctulata","Carposcalis.saltana","Centris.muralis","Centris.sp1.M.PL.023","Chalepogenus.caeruleus","Colletes.lycii","Compsomyiops.fulvicrura","Copestylum.aricia","Copestylum.sp1.M.PL.023","Diadasia.patagonica","Dialictus.sp1.M.PL.023","Dialictus.sp2.M.PL.023","Entypus.sp1.M.PL.023","Epicauta.sp1.M.PL.023","Eriopis.conexa","Eristalis.bogotensis","Eristalis.tenax","Hemiptera.sp27.M.PL.023","Hemiptera.sp28.M.PL.023","Hypodinerus.sp1.M.PL.023","Megachile.sp1.M.PL.023","Megachile.sp2.M.PL.023","Microcerella.sp1.M.PL.023","Notiphila.sp1.M.PL.023","Ocyptamus.meridionalis","Oxybelus.sp1.M.PL.023","Prionyx.sp1.M.PL.023","Psaenythia.rufipes","Sappho.sp1.M.PL.023","Scaeva.occidentalis","Svastrides.zebra","Tatochila.sp1.M.PL.023","Thyridanthrax.sp1.M.PL.023","Thysanoptera.sp29.M.PL.023","Toxomerus.sp1.M.PL.023","Unidentified.sp1.M.PL.023","Unidentified.sp10.M.PL.023","Unidentified.sp11.M.PL.023","Unidentified.sp12.M.PL.023","Unidentified.sp13.M.PL.023","Unidentified.sp14.M.PL.023","Unidentified.sp15.M.PL.023","Unidentified.sp16.M.PL.023","Unidentified.sp17.M.PL.023","Unidentified.sp18.M.PL.023","Unidentified.sp19.M.PL.023","Unidentified.sp2.M.PL.023","Unidentified.sp20.M.PL.023","Unidentified.sp21.M.PL.023","Unidentified.sp22.M.PL.023","Unidentified.sp23.M.PL.023","Unidentified.sp24.M.PL.023","Unidentified.sp25.M.PL.023","Unidentified.sp26.M.PL.023","Unidentified.sp3.M.PL.023","Unidentified.sp4.M.PL.023","Unidentified.sp5.M.PL.023","Unidentified.sp6.M.PL.023","Unidentified.sp7.M.PL.023","Unidentified.sp8.M.PL.023","Unidentified.sp9.M.PL.023","Vanessa.cardui"
"Adesmia.retrofracta",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Arjona.patagonica",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"Baccharis.pingraea",0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0
"Discaria.trinervis",1,0,0,0,0,0,1,0,1,0,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,1,0,0,0,0,1,0,0,1,1,0,1,1,1,0,1,1,0,0,1,1,1,0,0,1,0,0,0,1,1,0,1,0,0,0,1,1,0
"Grindelia.chiloensis",0,1,0,0,1,0,0,0,0,1,1,0,0,0,1,0,1,1,1,1,1,1,1,0,1,0,0,0,1,0,1,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,1,1,1,0,1,0,1,0,1,1,0,1,0,1,1,1,0,0,1,1,1,0,1,1
"Hysterionica.jasionoides",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Junellia.tonini",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"Larrea.divaricata",0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Lathyrus.sp1.M.PL.023",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Lecanophora.heterophylla",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
