"plantas","Adalia.deficiens","Allograpta.hortensis","Allograpta.pulchra","Apis.mellifera","Bombus.dahlbomii","Cadeguala.albopilosa","Cadeguala.occipitalis","Caenohalictus.movilicornis","Callideriphus.laetus","Carduelis.barbatus","Chauliognathus.sp1.M.PL.034","Cheilosia.nitescens","Chenoderus.testaceus","Chlamysus.sp1.M.PL.034","Clamirius.apicarius","Corynura.aff..atrovirens","Corynura.aff..lepida","Corynura.corynogastra","Corynura.patagonica","Corynura.rubella","Craspedochaeta.linbinervis","Dasydema.hirtella","Diphaglossa.gayi","Dolichogyna.chilensis","Dolichogyna.nigripes","Dysmorphocellus.sp1.M.PL.034","Elaenia.albiceps","Eristalis.assimilis","Eristalis.elegans","Eristalis.tenax","Eroessa.chilensis","Eurymetopun.obscurum","Eurymetopun.prasinum","Eurymetopun.proteus","Fannia.sp1.M.PL.034","Fannia.sp2.M.PL.034","Fannia.sp3.M.PL.034","Fannia.sp4.M.PL.034","Fannia.sp5.M.PL.034","Fannia.sp6.M.PL.034","Fannia.sp7.M.PL.034","Fazia.bullaephora","Fazia.macquarti","Hylodanacea.binotus","Hylodanacea.elegans","Hypodynerus.sp1.M.PL.034","Hyponotum.kraussei","Lypha.erigonopsidis","Macrometopia.atra","Mecopselaphus.maculicollis","Megalybus.crassus","Melanophthalma.aff..seminigra","Melanostoma.chalconotus","Melanostoma.fenestratus","Melanostoma.lundbladi","Melanostoma.sp1.M.PL.034","Mesograpta.calceolatus","Mesograpta.philippi","Mordella.erythrura","Mordella.luctuosa","Morphodexia.sp1.M.PL.034","Peleteria.filipalpis","Phrygilus.patagonicus","Platynocera.gracilipes","Platynocera.gracilis","Protosialis.chilensis","Rhopalomerus.tenuirostris","Scaptia.horrens","Schizochelus.serratus","Sephanoides.sephaniodes","Stilbosona.cyanea","Syrphus.octomaculatus","Thrypticus.sp1.M.PL.034","Trichophthalma.commutata","Trichophthalma.herbsti","Tropidia.sp1.M.PL.034","Unidentified.sp1.M.PL.034","Unidentified.sp10.M.PL.034","Unidentified.sp11.M.PL.034","Unidentified.sp12.M.PL.034","Unidentified.sp13.M.PL.034","Unidentified.sp14.M.PL.034","Unidentified.sp15.M.PL.034","Unidentified.sp16.M.PL.034","Unidentified.sp17.M.PL.034","Unidentified.sp18.M.PL.034","Unidentified.sp19.M.PL.034","Unidentified.sp2.M.PL.034","Unidentified.sp20.M.PL.034","Unidentified.sp21.M.PL.034","Unidentified.sp22.M.PL.034","Unidentified.sp23.M.PL.034","Unidentified.sp24.M.PL.034","Unidentified.sp25.M.PL.034","Unidentified.sp26.M.PL.034","Unidentified.sp27.M.PL.034","Unidentified.sp28.M.PL.034","Unidentified.sp29.M.PL.034","Unidentified.sp3.M.PL.034","Unidentified.sp30.M.PL.034","Unidentified.sp31.M.PL.034","Unidentified.sp32.M.PL.034","Unidentified.sp33.M.PL.034","Unidentified.sp34.M.PL.034","Unidentified.sp35.M.PL.034","Unidentified.sp36.M.PL.034","Unidentified.sp37.M.PL.034","Unidentified.sp38.M.PL.034","Unidentified.sp39.M.PL.034","Unidentified.sp4.M.PL.034","Unidentified.sp40.M.PL.034","Unidentified.sp41.M.PL.034","Unidentified.sp42.M.PL.034","Unidentified.sp43.M.PL.034","Unidentified.sp44.M.PL.034","Unidentified.sp46.M.PL.034","Unidentified.sp47.M.PL.034","Unidentified.sp48.M.PL.034","Unidentified.sp49.M.PL.034","Unidentified.sp5.M.PL.034","Unidentified.sp50.M.PL.034","Unidentified.sp51.M.PL.034","Unidentified.sp6.M.PL.034","Unidentified.sp7.M.PL.034","Unidentified.sp8.M.PL.034","Unidentified.sp9.M.PL.034","Vanessa.sp1.M.PL.034","Vespula.germanica"
"Amomyrtus.luma",0,0,0,1,1,1,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
"Amomyrtus.meli",1,0,1,1,1,1,0,0,1,0,0,1,1,0,0,0,0,1,1,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,1,1,0,1,1,0,0,0,0,1,0,1,1,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0
"Anagallis.alternifolia",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Asteranthera.ovata",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Berberis.buxifolia",0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Berberis.darwinii",0,0,0,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Caldcluvia.paniculata",0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0
"Embothrium.coccineum",0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Eucryphia.cordifolia",0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,1,0,1,0,1,0,0,0,0,0,1,1,1,1,1,1,0,1,1,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,1,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,1,1,0,0,0,0,0,0,1,0,0,0,0,1,0,1,1,1,0,0,1,0,1,0,0,0,0
"Gaultheria.mucronata",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
