"plantas","Apocrita.sp1.M.PL.037","Bombus.lapidarius","Bombus.lucorum","Bombus.pascuorum","Bombus.terrestris","Ceuthorrhynchus.assimilis","Chrysomela.fastuosa","Diptera.sp13.M.PL.037","Eoseristalis.horticola","Episyrphus.balteatus","Epuraea.depressa.Illiger","Eumerus.tuberculatus","Leptura.rubra","Melanostoma.scalare","Meligethes.sp1.M.PL.037","Mesapamea.secalis","Nemophora.degeerella","Olibrus.aeneus","Pieris.napi","Psithyrus.bohemicus","Scaeva.pyrastri","Strangalia.maculata","Syrphus.ribesii","Syrphus.vitripennis","Thymelicus.sylvestris","Unidentified.sp1.M.PL.037","Unidentified.sp10.M.PL.037","Unidentified.sp11.M.PL.037","Unidentified.sp12.M.PL.037","Unidentified.sp14.M.PL.037","Unidentified.sp15.M.PL.037","Unidentified.sp2.M.PL.037","Unidentified.sp3.M.PL.037","Unidentified.sp4.M.PL.037","Unidentified.sp5.M.PL.037","Unidentified.sp6.M.PL.037","Unidentified.sp7.M.PL.037","Unidentified.sp8.M.PL.037","Unidentified.sp9.M.PL.037","Zygaena.filipendulae"
"Allium.scorodoprasum",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0
"Calystegia.sepium",0,1,0,1,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Cirsium.arvense",1,1,0,1,1,0,0,1,0,0,1,0,0,0,1,0,0,1,1,0,0,1,0,0,1,1,0,0,1,0,0,1,1,0,1,1,0,0,0,0
"Eupatorium.cannabinum",1,1,1,1,1,1,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Juncus.effusus",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,1,0,0
"Lychnis.flos-cuculi",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,1
"Silene.dioica",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
"Sonchus.arvensis",0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,1,0,0,0,0
"Sonchus.palustris",0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0
"Stachys.palustris",0,0,0,1,0,0,1,0,0,1,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0
