"plantas","Amegilla.canifrons","Amegilla.quadrifasciata","Amegilla.sp1.M.PL.058","Andrena.vucana","Anthophora.alluardii","Anthophora.orotavae","Apis.mellifera","Camponotus.rufoglaucus","Coleoptera.sp14.M.PL.058","Coleoptera.sp15.M.PL.058","Coleoptera.sp16.M.PL.058","Coleoptera.sp2.M.PL.058","Coleoptera.sp29.M.PL.058","Coleoptera.sp32.M.PL.058","Coleoptera.sp33.M.PL.058","Coleoptera.sp7.M.PL.058","Cyclyrius.webbianus","Diptera.sp10.M.PL.058","Diptera.sp12.M.PL.058","Diptera.sp19.M.PL.058","Diptera.sp20.M.PL.058","Diptera.sp25.M.PL.058","Diptera.sp26.M.PL.058","Diptera.sp27.M.PL.058","Diptera.sp28.M.PL.058","Eucera.gracilipes","Hylaeus.sp1.M.PL.058","Hymenoptera.sp24.M.PL.058","Lasioglossum.evylaeus","Lucilia.sp1.M.PL.058","Macroglossum.stellatarum","Sphecodes.marginatus","Tachina.canariensis","Thysanoptera.sp1.M.PL.058","Unidentified.sp1.M.PL.058","Unidentified.sp11.M.PL.058","Unidentified.sp13.M.PL.058","Unidentified.sp17.M.PL.058","Unidentified.sp18.M.PL.058","Unidentified.sp21.M.PL.058","Unidentified.sp22.M.PL.058","Unidentified.sp23.M.PL.058","Unidentified.sp3.M.PL.058","Unidentified.sp30.M.PL.058","Unidentified.sp31.M.PL.058","Unidentified.sp34.M.PL.058","Unidentified.sp4.M.PL.058","Unidentified.sp5.M.PL.058","Unidentified.sp6.M.PL.058","Unidentified.sp8.M.PL.058","Unidentified.sp9.M.PL.058"
"Argyranthemum.frutescens",0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,1,0,0,0,1,1,1,1,0,0,0,1,1,1,0,0,0,0,1,0,0,0
"Bituminaria.bituminosa",0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
"Ceballosia.fruticosa",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"Convolvulus.floridus",0,0,1,0,0,0,0,0,1,0,0,1,1,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,1
"Echium.aculeatum",1,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Echium.plantagineum",1,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Euphorbia.canariensis",0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,1,0,0,0,0,0,1,0,1,1,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0
"Euphorbia.obtusifolia",0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,1,0,1,1,0,0,0,0,0,1,1,1,0,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,1,0,1,1
"Fagonia.albiflora",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Galactites.tomentosa",1,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0
"Lavandula.buchii",1,1,1,0,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"Lotus.glaucus",1,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Oxalis.pes-caprae",0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0
"Plocama.pendula",0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0
"Scandix.pecten-veneris",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Sideritis.argosphacelus",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
"Sideritis.nervosa",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
