"plantas","Andreana.sp1.M.PL.046","Apis.mellifera","Asilus.sp1.M.PL.046","Bombus.lapidarius","Bombus.pascuorum","Bombus.terrestris","Cetonia.aurata","Coleoptera.sp4.M.PL.046","Colias.croceus","Diptera.sp11.M.PL.046","Diptera.sp12.M.PL.046","Diptera.sp13.M.PL.046","Diptera.sp15.M.PL.046","Diptera.sp16.M.PL.046","Diptera.sp17.M.PL.046","Diptera.sp18.M.PL.046","Diptera.sp19.M.PL.046","Diptera.sp2.M.PL.046","Diptera.sp21.M.PL.046","Diptera.sp24.M.PL.046","Diptera.sp25.M.PL.046","Diptera.sp26.M.PL.046","Diptera.sp5.M.PL.046","Diptera.sp6.M.PL.046","Diptera.sp7.M.PL.046","Diptera.sp9.M.PL.046","Ichneumonidae.1","Inachis.io","Lepidoptera.sp14.M.PL.046","Lucilia.sp1.M.PL.046","Meligethes.sp1.M.PL.046","Meligethes.sp2.M.PL.046","Musca.sp1.M.PL.046","Pararge.aegeria","Pieris.sp1.M.PL.046","Rhynconycha.sp1.M.PL.046","Unidentified.sp1.M.PL.046","Unidentified.sp10.M.PL.046","Unidentified.sp20.M.PL.046","Unidentified.sp22.M.PL.046","Unidentified.sp23.M.PL.046","Unidentified.sp3.M.PL.046","Unidentified.sp8.M.PL.046","Vespula.sp1.M.PL.046"
"Angelica.archangelica",0,0,1,0,0,1,0,1,0,1,1,0,1,1,1,1,1,1,0,0,1,0,1,1,1,1,0,0,1,1,1,1,1,0,0,1,1,1,1,0,0,1,1,0
"Anthriscus.sylvestris",0,0,0,0,0,0,0,1,0,1,1,0,1,1,1,1,0,1,0,0,0,1,1,1,1,1,0,0,1,1,1,1,1,0,1,0,1,1,0,1,0,1,1,1
"Chamaenerium.angustifolium",1,0,0,0,1,0,0,1,0,0,0,1,1,1,0,0,0,1,0,0,0,0,1,1,1,0,0,1,0,1,1,0,1,0,1,0,1,1,0,0,0,1,0,0
"Cirsium.arvense",0,1,1,1,1,1,1,1,1,1,1,1,0,1,1,0,0,1,0,0,0,0,1,1,1,1,0,0,1,1,1,1,1,1,1,1,1,1,0,0,0,1,1,0
"Cirsium.pratensis",0,0,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,1,1,1,1,0,0,0,1,0,0,1,0,1,1,0
"Epilobium.hirsutum",1,1,1,1,1,1,1,1,1,0,0,1,0,0,1,1,0,1,0,0,0,0,1,1,1,0,0,0,1,1,1,1,1,0,1,0,1,0,0,0,0,1,1,0
"Lathyrus.pratensis",0,0,0,1,1,1,0,1,0,1,1,0,0,0,0,0,0,1,0,0,0,0,1,0,1,1,0,0,1,1,1,1,1,0,0,0,1,1,1,0,1,1,0,0
"Ranunculus.sp1.M.PL.046",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,1,0,0
"Rubus.fruticosus",1,0,0,0,1,1,0,1,0,0,0,1,0,0,0,0,0,1,1,0,0,0,1,1,0,0,0,0,0,1,1,0,0,0,1,0,1,0,0,0,0,1,1,0
"Silene.dioica",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0
"Stachys.sylvatica",1,1,0,1,1,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0
"Torilis.japonica",0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,1,0,1,0,1,0,1,0,0,0,0,1,0,0
"Trfolium.sp1.M.PL.046",0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,1,1,1,1,0,0,0,0,1,0,1,0,1,0,1,0,0,0,0,1,0,0
"Trifolium.arvense",0,1,0,1,1,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,1,0,0,0,0,0,1,0
"Umbellifer.sp1.M.PL.046",0,0,1,0,0,1,0,1,0,1,1,0,1,1,1,1,0,1,0,0,0,0,1,0,1,1,1,0,0,1,1,0,1,0,0,1,1,1,0,0,0,1,1,1
"Unidentified.sp27.M.PL.046",0,1,0,0,0,0,1,1,0,1,1,0,1,0,1,0,0,1,1,0,0,0,1,0,1,1,0,0,1,1,1,1,1,0,0,0,1,1,0,0,0,1,0,0
