"plantas","Adela.cuprella","Adia.cinerella","Ammophila.pubescens","Anarta.myrtilli","Anarta.sp1.M.PL.047","Andrena.barbilabris","Andrena.clarkella","Andrena.fulva","Andrena.fuscipes","Andrena.haemorrhoa","Andrena.lapponica","Andrena.nigroaenea","Andrena.sp1.M.PL.047","Andrena.tarsata","Andrena.wilkella","Anoplius.sp1.M.PL.047","Apis.mellifera","Aplotarsus.incanus","Arge.ustulata","Athous.subfuscus","Autographa.bractea","Bellardia.vulgaris","Bibio.lanigerus","Bombus.bohemicus","Bombus.cryptarum","Bombus.jonellus","Bombus.lapidarius","Bombus.lucorum","Bombus.muscorum","Bombus.pascuorum","Bombus.pratorum","Bombus.rupestris","Bombus.sp1.M.PL.047","Bombus.sp2.M.PL.047","Bombus.terrestris","Calameuta.pallipes","Calliopum.aeneum","Callophrys.rubi","Cephalops.obtusinervis","Cerceris.arenaria","Cerceris.rybyensis","Cheilosia.albitarsis","Cheilosia.urbana","Chrysomela.collaris","Chrysotoxum.arcuatum","Chrysotoxum.bicinctum","Chrysotoxum.fasciatum","Coenosia.femoralis","Coenosia.means","Coenosia.sp1.M.PL.047","Coenosia.tigrina","Colletes.cunicularius","Colletes.succinctus","Conops.flavipes","Conops.quadrifasciatus","Crossocerus.leucostoma","Cynomya.mortuorum","Dasysyrphus.albostriatus","Dasysyrphus.tricinctus","Dilophus.febrilis","Dilophus.humeralis","Dolichovespula.norwegica","Dolichovespula.saxonica","Egle.brevicornis","Egle.minuta","Empis.sp1.M.PL.047","Empis.tessellata","Entomophaga.nigrohalterata","Episyrphus.balteatus","Eristalinus.sepulchralis","Eristalis.arbustorum","Eristalis.interrupta","Eristalis.intricaria","Eristalis.lineata","Eristalis.pertinax","Eristalis.tenax","Ernestia.rudis","Eupeodes.corollae","Eupeodes.nielseni","Formica.fusca","Formica.rufa","Formica.sanguinea","Gonia.picea","Gymnosoma.nudifrons","Halictus.confusus","Hedychrum.nobile","Helophilus.pendulus","Hercostomus.sp1.M.PL.047","Heterostylodes.pratensis","Hydrophoria.lancifer","Hydrotaea.similis","Hylaeus.annularis","Hylaeus.brevicornis","Hylaeus.sp1.M.PL.047","Inachis.io","Lasioglossum.fratellum","Lasioglossum.leucopus","Lasioglossum.leucozonium","Lasioglossum.punctatissimum","Lasioglossum.sexmaculatum","Lasioglossum.sp1.M.PL.047","Lasioglossum.villosulum","Lasiomma.picipes","Leptura.melanura","Leucozona.lucorum","Lucilia.bufonivora","Lycaena.virgaureae","Lycophotia.porphyrea","Megachile.versicolor","Megasyrphus.erraticus","Melanostoma.mellinum","Meligethes.aeneus","Meliscaeva.cinctella","Mellinus.arvensis","Mesochorus.sp1.M.PL.047","Microgaster.sp1.M.PL.047","Micropterix.aruncella","Mimesa.equestris","Morellia.aenescens","Myrmica.ruginodis","Neomyia.cornicina","Nomada.flava","Nomada.panzeri","Nomada.ruficornis","Nomada.rufipes","Nomada.sp1.M.PL.047","Oedemera.lurida","Orthonerva.geniculata","Oxybelus.mandibularis","Parasyrphus.lineola","Phaonia.angelicae","Phaonia.incana","Phaonia.pallida","Phaonia.serva","Phyllopertha.horticola","Platycheirus.cyaneus","Poecilobothrus.nobilitatus","Pollenia.angustigena","Pollenia.rudis","Potosia.cuprea","Prosternon.tessellatum","Rhagonycha.fulva","Rhamphomyia.sp1.M.PL.047","Sarcophaga.sp1.M.PL.047","Scaeva.pyrastri","Scaeva.selenitica","Scatophaga.inquinata","Scatophaga.stercoraria","Sciara.sp1.M.PL.047","Sepsis.cynipsea","Sericomyia.silentis","Sicus.ferrugineus","Sphaerophoria.menthastri.group","Sphaerophoria.philanthus","Sphaerophoria.scripta","Sphaerophoria.sp1.M.PL.047","Sphecodes.ephippius","Sphecodes.geoffrellus","Sphecodes.pellucidus","Sphecodes.sp1.M.PL.047","Syritta.pipiens","Syrphus.ribesii","Syrphus.torvus","Tachina.grossa","Tricholinum.sp1.M.PL.047","Unidentified.sp1.M.PL.047","Unidentified.sp10.M.PL.047","Unidentified.sp11.M.PL.047","Unidentified.sp12.M.PL.047","Unidentified.sp13.M.PL.047","Unidentified.sp14.M.PL.047","Unidentified.sp15.M.PL.047","Unidentified.sp16.M.PL.047","Unidentified.sp2.M.PL.047","Unidentified.sp3.M.PL.047","Unidentified.sp4.M.PL.047","Unidentified.sp5.M.PL.047","Unidentified.sp6.M.PL.047","Unidentified.sp7.M.PL.047","Unidentified.sp8.M.PL.047","Unidentified.sp9.M.PL.047","Vespula.vulgaris","Volucella.bombylans","Zaira.cinerea","Zophomyia.temula","Zygaena.trifolii"
"Calluna.vulgaris",0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,1,0,1,0,1,1,1,0,0,0,0,1,1,0,0,1,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,1,1,1,0,0,0,0,1,0,1,1,0,0,1,0,0,1,0,0,1,1,1,1,1,0,1,0,0,0,0,0,1,0,1,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,1,0,1,1,1,0,1,0,1,1,1,0,1,1,1,1,1,1,0,1,1,0,0,0,1,1,1,1,1,1,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1
"Campanula.rotundifolia",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Empetrum.nigrum",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"Epilobium.angustifolium",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Erica.tetralix",0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"Galium.saxatile",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Genista.anglica",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Hieracium.pilosella",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Hieracium.umbellatum",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Hypochoeris.radicata",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,1,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,1,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
