"plantas","Amegilla.canifrons","Amegilla.quadrifasciata","Amegilla.sp1.M.PL.050","Anthophora.alluardii","Anthophora.orotavae","Apis.mellifera","Camponotus.rufoglaucus","Coleoptera.sp15.M.PL.050","Diptera.sp18.M.PL.050","Diptera.sp19.M.PL.050","Diptera.sp20.M.PL.050","Diptera.sp21.M.PL.050","Diptera.sp4.M.PL.050","Diptera.sp7.M.PL.050","Eucera.gracilipes","Gallotia.galloti","Hylaeus.sp1.M.PL.050","Hymenoptera.sp10.M.PL.050","Hymenoptera.sp13.M.PL.050","Hymenoptera.sp14.M.PL.050","Hymenoptera.sp9.M.PL.050","Lasioglossum.evylaeus","Lucilia.sp1.M.PL.050","Sphecodes.marginatus","Thysanoptera.sp17.M.PL.050","Unidentified.sp1.M.PL.050","Unidentified.sp11.M.PL.050","Unidentified.sp12.M.PL.050","Unidentified.sp16.M.PL.050","Unidentified.sp2.M.PL.050","Unidentified.sp22.M.PL.050","Unidentified.sp3.M.PL.050","Unidentified.sp5.M.PL.050","Unidentified.sp6.M.PL.050","Unidentified.sp8.M.PL.050"
"Argyranthemum.frutescencs",0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,1,1,0,0,1,0,1,1,0,1
"Ceballosia.fruticosa",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
"Convolvulus.sp1.M.PL.050",0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,1,0,1,0,0,0,1,0,1,1
"Echium.aculeatum",0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Echium.bonnetii",0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"Euphorbia.canariensis",0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,1,0,0,0,0,1,1,0,0,1,0,0,0,1,0,0,0,0,0
"Euphorbia.obtusifolia",0,0,0,0,0,0,1,0,1,1,1,1,1,1,0,0,1,1,1,1,0,1,0,1,0,1,0,0,1,1,1,0,0,0,0
"Fagonia.albiflora",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Lavandula.buchii",1,1,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0
"Lotus.sp1.M.PL.050",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Noechamaelea.pulverulenta",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Parolinea.intermedia",1,0,1,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,1,0,1,0,0,0,0,0,1,1,0,0
"Periploca.laevigata",0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0
"Plocama.pendula",0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0
