"plantas","Aldrichina.grahami","Allobaccha.apicalis","Allobaccha.sp1.M.PL.053","Ammophila.sabulosa","Ampelophaga.rubiginosa","Anaspis.sp1.M.PL.053","Anaspis.sp2.M.PL.053","Andrena.benefica","Andrena.dentata","Andrena.halictoides","Andrena.hikosana","Andrena.kaguya","Andrena.Knuthi","Andrena.komachi","Andrena.longitibialis","Andrena.mikado","Andrena.minutula","Andrena.okabei","Andrena.prostomias","Andrena.sp1.M.PL.053","Andrena.taraxaci","Andrena.watasei","Anechura.japonica","Anomala.octiescoctata","Anthemus.maculielytris","Anthemus.magnius","Apis.cerana","Apis.mellifera","Apoderus.erythrogaster","Argyronome.ruslana","Athousius.sp1.M.PL.053","Aulacophora.nigripennis","Baccha.maculata","Balataea.gracilis","Baris.dispilota","Betasyrphus.serarius","Bibio.aneuretus","Bibio.gracilipalpus","Bibio.simulans","Bibio.sp1.M.PL.053","Bibio.sp2.M.PL.053","Bibio.sp3.M.PL.053","Bibio.sp4.M.PL.053","Bibio.sp5.M.PL.053","Bombus.ardens","Bombus.diversus","Bombus.ignitus","Bombylius.major","Byturus.sp1.M.PL.053","Byturus.sp2.M.PL.053","Campiglossa.hirayamae","Camponotus.japonicus","Campsomeriella.annulata","Campsomeris.prismatica","Ceratina.flavipes","Ceratina.iwatai","Ceratina.japonica","Ceratina.megastigmata","Cheilosia.sp1.M.PL.053","Cheilosia.sp2.M.PL.053","Cheilosia.sp3.M.PL.053","Cheilosia.sp4.M.PL.053","Cheilosia.sp5.M.PL.053","Chrysomela.vigintipunctata","Chrysopa.sp1.M.PL.053","Coelioxys.sp1.M.PL.053","Colletes.perforator","Copromyza.sp1.M.PL.053","Crossocerus.sp1.M.PL.053","Cteniopinus.hypocrita","Dalopius.tamui","Delia.sp1.M.PL.053","Delia.sp2.M.PL.053","Delia.sp3.M.PL.053","Delia.sp4.M.PL.053","Delia.sp5.M.PL.053","Dideaides.coquilletti","Dinoptera.minuta","Diptera.sp23.M.PL.053","Drosophila.sp1.M.PL.053","Drosophila.sp2.M.PL.053","Ectinohoplia.obducta","Epistrophe.aino","Episyrphus.balteatus","Epuraea.bergeri","Eristalis.cerealis","Eristalis.tenax","Eucetonia.pilifera","Eumea.sp1.M.PL.053","Eumea.sp2.M.PL.053","Eumerus.sp1.M.PL.053","Eurychaeta.sp1.M.PL.053","Eusphalerum.parallelym","Euthyneura.sp1.M.PL.053","Exosoma.flaviventre","Fabriciana.adippe","Fabriciana.nerippe","Fischeria.sp1.M.PL.053","Formica.japonica","Gambrinus.sp1.M.PL.053","Helophilus.virgatus","Hesperomorpha.hirsuta","Himatium.sp1.M.PL.053","Homoneura.sp1.M.PL.053","Homoneura.sp2.M.PL.053","Hoplia.moerens","Hoplismenus.sp1.M.PL.053","Ichneumon.sp1.M.PL.053","Ichneumon.sp2.M.PL.053","Ivela.auripes","Lasioglossum.apristum","Lasioglossum.baleicum","Lasioglossum.occidens","Lasioglossum.sibiriacum","Lasioglossum.sp1.M.PL.053","Lasioglossum.sp2.M.PL.053","Lasioglossum.sp3.M.PL.053","Lasioglossum.sp4.M.PL.053","Lasioglossum.sp5.M.PL.053","Lasioglossum.sp6.M.PL.053","Lasioglossum.sp7.M.PL.053","Lasioglossum.sp8.M.PL.053","Lasiomma.sp1.M.PL.053","Linnaenya.sp1.M.PL.053","Liriomyza.sp1.M.PL.053","Lycaena.phlaeas","Macroglossum.bombylaus","Macroglossum.sp1.M.PL.053","Macroglossum.stellatarum","Macrolagria.robusticeps","Maculinea.teleius","Manobidia.nipponica","Megacampsomeris.grossa","Megachile.japonica","Megachile.remota","Megachile.tsurugensis","Meigenia.sp1.M.PL.053","Meigenia.sp2.M.PL.053","Melangyna.sp1.M.PL.053","Melanostoma.scalare","Meligethes.sp1.M.PL.053","Meliscaeva.cinctella","Metrioptera.hime","Mikadocantharis.japonica","Minois.dryas","Mordellistena.sp1.M.PL.053","Myrmica.sp1.M.PL.053","Neaitamus.angusticornis","Nemophora.umbripennis","Neope.niphonica","Neptis.sappho","Nomada.asozuana","Nomada.diervillae","Nomada.japonica","Nomada.muinensis","Nomada.mutsuensis","Nomada.sp1.M.PL.053","Nonarthra.cyanea","Ochlodes.ochraceus","Oedemeronia.lucidicollis","Oxycetonia.jucunda","Pachyprotasis.sp1.M.PL.053","Panorpa.trizonata","Papilio.bianor","Papilio.machaon","Paragus.haemorrhous","Paragus.jozanus","Paragus.quadrifasciatus","Paraserica.gricea","Parnara.guttata","Peribaea.sp1.M.PL.053","Phebellia.sp1.M.PL.053","Philopota.nigroaenea","Phyllopertha.diversa","Phytobius.sp1.M.PL.053","Pidonia.hylophila","Pidonia.piziloi","Pieris.melete","Pipunculus.sp1.M.PL.053","Platycheirus.clypeatus","Platycheirus.urakawensis","Podabrus.malthinoides","Polytremis.pellucida","Popillia.japonica","Priocnemis.cyphonota","Prosena.siberita","Prosena.sp1.M.PL.053","Prothemus.ciusianus","Protichneumon.sp1.M.PL.053","Ravinia.sp1.M.PL.053","Rhinoncomimus.sp1.M.PL.053","Rhogogaster.varipes","Scaeva.komabensis","Scirpophaga.sp1.M.PL.053","Sepsis.sp1.M.PL.053","Siphona.sp1.M.PL.053","Sisyropa.sp1.M.PL.053","Sphaerophoria.macrogaster","Sphaerophoria.philanthus","Stomorhina.obsoleta","Sympetrum.frequens","Syrphus.torvus","Syrphus.vitripernis","Tachina.sp1.M.PL.053","Tapinoma.sp1.M.PL.053","Tenthredo.fukaii","Tetralonia.nipponensis","Themus.midas","Thoressa.varia","Trachys.saundersi","Trypherus.nipponicus","Unidentified.sp1.M.PL.053","Unidentified.sp10.M.PL.053","Unidentified.sp11.M.PL.053","Unidentified.sp12.M.PL.053","Unidentified.sp13.M.PL.053","Unidentified.sp14.M.PL.053","Unidentified.sp15.M.PL.053","Unidentified.sp16.M.PL.053","Unidentified.sp17.M.PL.053","Unidentified.sp18.M.PL.053","Unidentified.sp19.M.PL.053","Unidentified.sp2.M.PL.053","Unidentified.sp20.M.PL.053","Unidentified.sp21.M.PL.053","Unidentified.sp22.M.PL.053","Unidentified.sp24.M.PL.053","Unidentified.sp25.M.PL.053","Unidentified.sp26.M.PL.053","Unidentified.sp27.M.PL.053","Unidentified.sp28.M.PL.053","Unidentified.sp29.M.PL.053","Unidentified.sp3.M.PL.053","Unidentified.sp30.M.PL.053","Unidentified.sp31.M.PL.053","Unidentified.sp32.M.PL.053","Unidentified.sp33.M.PL.053","Unidentified.sp34.M.PL.053","Unidentified.sp35.M.PL.053","Unidentified.sp36.M.PL.053","Unidentified.sp37.M.PL.053","Unidentified.sp38.M.PL.053","Unidentified.sp39.M.PL.053","Unidentified.sp4.M.PL.053","Unidentified.sp40.M.PL.053","Unidentified.sp41.M.PL.053","Unidentified.sp42.M.PL.053","Unidentified.sp43.M.PL.053","Unidentified.sp44.M.PL.053","Unidentified.sp45.M.PL.053","Unidentified.sp46.M.PL.053","Unidentified.sp47.M.PL.053","Unidentified.sp48.M.PL.053","Unidentified.sp49.M.PL.053","Unidentified.sp5.M.PL.053","Unidentified.sp50.M.PL.053","Unidentified.sp51.M.PL.053","Unidentified.sp52.M.PL.053","Unidentified.sp53.M.PL.053","Unidentified.sp54.M.PL.053","Unidentified.sp55.M.PL.053","Unidentified.sp56.M.PL.053","Unidentified.sp57.M.PL.053","Unidentified.sp58.M.PL.053","Unidentified.sp59.M.PL.053","Unidentified.sp6.M.PL.053","Unidentified.sp60.M.PL.053","Unidentified.sp61.M.PL.053","Unidentified.sp62.M.PL.053","Unidentified.sp63.M.PL.053","Unidentified.sp64.M.PL.053","Unidentified.sp65.M.PL.053","Unidentified.sp66.M.PL.053","Unidentified.sp67.M.PL.053","Unidentified.sp68.M.PL.053","Unidentified.sp69.M.PL.053","Unidentified.sp7.M.PL.053","Unidentified.sp70.M.PL.053","Unidentified.sp71.M.PL.053","Unidentified.sp72.M.PL.053","Unidentified.sp73.M.PL.053","Unidentified.sp74.M.PL.053","Unidentified.sp75.M.PL.053","Unidentified.sp8.M.PL.053","Unidentified.sp9.M.PL.053","Urophora.sachalinensis","Vanessa.indica","Vespa.simillima","Vespa.tropica","Vibidia.duodecimguttata","Volucella.jeddona","Vuilletus.viridis","Zodion.sp1.M.PL.053","Zypangia.lewisi"
"Abelia.serrata",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Aconitum.japonicum",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Adenophora.triphylla",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Aletris.luteoviridis",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Allium.thunbergii",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Anaphalis.margaritacea",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Angelica.cartilagino-marginata",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Angelica.longeradiata",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Arabis.glabra",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Arisaema.japonicum",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,1,0,1,0,0,0,0,1,1,1,1,1,0,1,0,0,1,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
