"plantas","Agathidinae.sp","Ahasverus.advena.Waltle","Allograpta.nasuta.Marquart","Apis.mellifera.Linnaeus","Atherigona.orientalis.Schiner","Brachymyrmex.sp","Calopsilia.florella.Fabricius","Campopleginae.sp1","Cerambycidae.sp1","Cerambycidae.sp2","Cerambycidae.sp3","Ceratitis.roas.Karsch","Chaetocnema.sp1","Cheloninae.sp1","Cheloninae.sp3","Chrysomya.megacephala.Fabricius","Cixiidae.sp1","Cixiidae.sp2","Cotesia.sp1","Cratopus.psittacus.Faimaire","Cryptocephalinae.sp1","Dasytinae.sp1","Dioxyna.sororcula.Wiedemann","Diptera.sp2","Diptera.sp3","Dysauxes.florida.Joan","Episyrphus.sp.near.circularis.Hull","Eristalinus.flaveolus.Bigot","Eumolpinae.sp2","Eumolpinae.sp3","Eurytonidae.sp1","Fannia.pusio.Wiedemann","Gelechioidea.sp1","Gelechioidea.sp2","Gelechioidea.sp3","Goniurellia.or.Dectodes.sp","Graphomya.maculata.Scopoli","Henotesia.narcissus.Fabricius","Hippotion.eson.Cramer","Homoneura.sp2","Homoneura.sp3","Hydrotaea.fuliginosa.Robineau.Desvoidy","Ischiodon.aegyptius.Wiedemann","Lecithoceridae.sp1","Leptotes.pirithous.Linnaeus","Limnophora.quaterna.Loew","Lygaeidae.sp2","Lygaeidae.sp3","Lygaeidae.sp5","Lygistorrhina.sp","Macroglossum.milvus.Boisduval","Mauritiborium.undulatus","Melanagromyza.sojae.Zehntner","Melanostoma.annulipes.Macquart","Melanostoma.bituberculatum.Loew","Miridae.sp1","Mordellidae.sp1","Mordellidae.sp2","Mordellidae.sp3","Musca.confiscata.Speiser","Musca.domestica.Linnaeus","Nacoleia.sp1","Nacoleia.sp2","Nitidulidae.sp1","Nyctemera.insulare.Boisduval","Ophyra.capensis.Wiedemann","Orchisia.costata.Meigen","Ornidia.obesa.Fabricius","Orthellia.albigena.Stein","Pachycerina.crinicornis.Thomson","Palexorista.sp1","Panara.naso.Fabricius","Paragus.borbonicus.Macquart","Pelecophora.intemipta.All","Phalanta.phalantha.Drury","Pheidole.megacephala.Fabricius","Phelsuma.cepediana.Merrem","Phorinia.sp","Polistes.hebraeus.Fabricius","Psyllidae.sp2","Sapromyza.sp.near..nudiuscula.Lamb","Sarcophaga.arno.Curran","Scatopsidae.sp","Scirtidae.sp1","Scirtidae.sp2","Scolia.carniflex.Coquillett","Scopariinae.sp","Simulium.Byssodon.sp2","Siphona.sp","Stomorhina.lunata.Fabricius","Stomoxys.calcitrans.Linnaeus","Stomoxys.niger.Macquart","Syritta.bulbus.Walker","Syritta.nigrofemorata.Macquart","Syritta.spnear.abyssinica.Rondani","Technomyrmex.albipes.Smith","Thelairodrino.sp","Thysanoplusia.orichalcea.Fabricius","Villa.unifasciata.Macquart","Zosterops.mauritianus.Gmelin"
"Antidesma.madagascariense",0,0,0,0,0,0,0,0,0,0,0,0,0.4,0,0,0,0,0,0,0,0,0,0,0,0,0.0666666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.8,0,0,0.2,0
"Antirhea.borbonica",0,0,0.7307936508,0.08,0,0,0,0,0,0,0,0,0.2105263158,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1111111111,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.866955267,0.4329004329,0,0,0,0,0,0,0.3333333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1111111111,0,0,0,0.1428571429,0,0,0,0,0.2155555556,0
"Aphloia.theiformis",0,0,0.04,4.988034188,0,2.760989011,0,0,0,0,0,0,2.1523809524,0,0,0.2221862348,0,0,0,0,0,0,0,0,0,0.4857142857,0,1.1786148062,0,0,0,0.2,0,0.2222222222,0.2222222222,0,0,0,0,0,0,0,0,0,0,0,0,0.1333333333,0,0,0.1666666667,0,0,2.4721611722,0.5833333333,0,0,0,0.0769230769,0,2.7539579719,0,0,0,0,0.1666666667,0,0,0.3157894737,0.5746031746,0,0.7666666667,0.1052631579,0,0,0,0,0,0.2066666667,0,0.2857142857,0,0,0,0,0,0,0,0,3.2795604396,0.26,0.5714285714,0,0,0,5.2360323887,0,0,0.9166666667,0
"Ardisia.crenate",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Badula.insularis",0,0,0,0,0,0,0,0,0,0,0,0,0.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.8,0,0,0,0
"Badula.platiphylla",0,0,0,0,0,0.6,0,0,0,0,0,0,2.4125188537,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1333333333,0,0,0,0,0,0,0,0,0.1538461538,0
"Bertiera.zaluzania",0,0,0.7371794872,10.808974359,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2871794872,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1666666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1538461538,0,0,0,0.0625,0,0,0,0,0.1666666667,0,0,0,0,0,0,0,0,0.1333333333,0,0,0,0,0,0,0,0,0,0.0625,1.0320512821,0,0,0,0.1538461538,0,5.8884615385,0,0,0,0
"Calophyllum.eputamen.var.eputamen",0,0,0,2.619047619,0,0,0,0,0,0,0,0,0.6666666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.25,0,0,0,0,0,0,0,0,0,0,0,0,0.4166666667,0,0,0,0,0,0,0,0,0,0
"Casearia.coriacea",0,0,0,1.7377005348,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.6614973262,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0909090909,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1176470588,0
"Chassalia.coriacea.var.coriacea",0,0,0.5357142857,0.1333333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.7142857143,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.125,0,1.8574175824,0,0,0,0,0,0,0.3205128205,0,0,0,0,0,0,0,0,0,0,0.1428571429,0,0,0,0,0,0,0,0,0,0
