"plantas","Amazilia.fimbriata","Aphantochroa.cirrhochloris","Clytolaema.rubricauda","Glaucis.hirsuta","Leucochloris.albicollis","Phaethornis.eurynome","Phaethornis.squalidus","Rhamphodon.naevius","Thalurania.glaucopis","Heliconius.erato","Heliconius.ethilla","Heliconius.nattereri","Heliconius.numato","Heliconius.sara","Oleria.aquata","Paracalystos.sp","Saliana.triangularis","Strymon.oreala","Bombus.morio","Epicharis.obscura","Euglossa.chalybeata","Euglossa.sp","Trigona.fulviventris"
"Aechmea.araneosa",0.3,0,0,0,0,1.3,1.1,0.5,2,1.9,4.2,3.9,2.2,0,0,0,0,0,0,0,0,1.1,1.9
"Aechmea.bromeliifolia",0,0,0,0.3,0,0.6,0.8,1.5,1.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Aechmea.mutica",0,0,0,0,0,2.5,1.2,0,0.9,0,0,0,0,0,0,0,0.7,0,0,0,0,0,1
"Aechmea.nudicaulis",0,0,0,0,0,0.5,0,0,0,0.5,0,0.8,0,0.3,0,0,0,0,0,0,0,0,0
"Aechmea.pineliana",0,0.5,0,0,0,0,0.3,0.9,1.5,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"Aechmea.triangularis",1.8,0,0,0,0,0,0,1.1,0.9,0,0,0.3,0,0,0.3,0,0,0.2,0,0,0,0,0.2
"Aechmea.victoriana",1,0,0,0,0,0.9,0,0.4,0.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2
"Billbergia.amoena",0,0,0,0,0,3.7,0.9,0,0,0,0.3,0,0,0,0,0.2,0,0,0.2,0,0,0.2,0
"Canistrum.triangulare",0,0.7,0,0,0,0,0,1.1,0.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Neoregelia.magdalaenae",2.3,0,0,0,0,0.2,0.41,1.3,2.2,0,0,0,0,0,0,0,0,0,0,0,0,0.7,0
"Neoregelia.sp",0,0,0,0,0,0,0.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0.9,0.6,0
"Nidularium.cariacicaense",0,0,0,0,0,1.1,0.8,0.7,0,0,0,0,0,0,0,0,0,0,0.1,0,0,0,0
"Nidularium.procerum",0,0,0,0,0,1.1,0,0.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Portea.petropolitana",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Quesnelia.strobilispica",1,0,0,0,0,0.8,0.6,0.3,0.6,0,0,0,0,0,0,0,0,0,0.3,0,0,0,0.6
"Tillandsia.geminifolia",1,0,0,0,0,0.7,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Vriesea.gracilior",0,0,0,0,0,0.7,0.7,0.3,0,0,0,0.3,0,0,0,0,0,0,0,0,0,0,0.3
"Vriesea.psittacina",0,0,0,0,2,1.2,1.2,1.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Vriesea.simplex",0,0,0,0,0,0.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Acanthostachys.strobilaceae",0,0,0,0,0,0,0,0,0,0,0,0.3,0.7,0,0,0,0,0,0,0,0,0,0
"Aechmea.lingulata",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0
"Tillandsia.tenuifolia",0,0,0,0,0,0,0,0,0,0.4,0,0.3,0.3,0,0,0,0,0,0,0,0,0,2
