"ID","plantas","especie","interaccion"
"M_11.1","Azorina.vidalii","Halictus.sp",98
"M_11.1","Azorina.vidalii","Sepsis.thoracica",51
"M_11.1","Azorina.vidalii","Agrotis.ipsilon",0
"M_11.1","Azorina.vidalii","Bombus.ruderatus",9
"M_11.1","Azorina.vidalii","Colias.crocea",9
"M_11.1","Azorina.vidalii","Musca.domestica",23
"M_11.1","Azorina.vidalii","Apis.mellifera",89
"M_11.1","Azorina.vidalii","Lucilia.sericata",0
"M_11.1","Azorina.vidalii","Lasius.niger",37
"M_11.1","Azorina.vidalii","Anothomyia.pluvialis",0
"M_11.1","Azorina.vidalii","Calliphora.vemitoria",13
"M_11.1","Azorina.vidalii","Eristalix.tenax",0
"M_11.1","Crithmum.maritimum","Halictus.sp",0
"M_11.1","Crithmum.maritimum","Sepsis.thoracica",87
"M_11.1","Crithmum.maritimum","Agrotis.ipsilon",0
"M_11.1","Crithmum.maritimum","Bombus.ruderatus",0
"M_11.1","Crithmum.maritimum","Colias.crocea",0
"M_11.1","Crithmum.maritimum","Musca.domestica",83
"M_11.1","Crithmum.maritimum","Apis.mellifera",0
"M_11.1","Crithmum.maritimum","Lucilia.sericata",93
"M_11.1","Crithmum.maritimum","Lasius.niger",0
"M_11.1","Crithmum.maritimum","Anothomyia.pluvialis",0
"M_11.1","Crithmum.maritimum","Calliphora.vemitoria",0
"M_11.1","Crithmum.maritimum","Eristalix.tenax",12
"M_11.1","Solidago.sempervivens","Halictus.sp",141
"M_11.1","Solidago.sempervivens","Sepsis.thoracica",0
"M_11.1","Solidago.sempervivens","Agrotis.ipsilon",22
"M_11.1","Solidago.sempervivens","Bombus.ruderatus",0
"M_11.1","Solidago.sempervivens","Colias.crocea",0
"M_11.1","Solidago.sempervivens","Musca.domestica",0
"M_11.1","Solidago.sempervivens","Apis.mellifera",0
"M_11.1","Solidago.sempervivens","Lucilia.sericata",0
"M_11.1","Solidago.sempervivens","Lasius.niger",0
"M_11.1","Solidago.sempervivens","Anothomyia.pluvialis",0
"M_11.1","Solidago.sempervivens","Calliphora.vemitoria",0
"M_11.1","Solidago.sempervivens","Eristalix.tenax",0
"M_11.1","Beta.vulgaris","Halictus.sp",0
"M_11.1","Beta.vulgaris","Sepsis.thoracica",8
"M_11.1","Beta.vulgaris","Agrotis.ipsilon",0
"M_11.1","Beta.vulgaris","Bombus.ruderatus",0
