"ID","Abeja","especies","genero","Familia","DIT","Grado","Grado relativo","z_Grado"
"chaco0611","Colletes.araucariae_0611","Colletes.araucariae","Colletes","Colletidae",2.417,6,0.162162162162162,-0.146108842460041
"chaco0611","Centris.brethesi_0611","Centris.brethesi","Centris","Apidae",NA,14,0.378378378378378,0.855780362980238
"chaco0611","Caenohalictus.sp_0611","Caenohalictus.sp","Caenohalictus","Halictidae",1.3,12,0.324324324324324,0.605308061620168
"chaco0611","Colletes.bicolor_0611","Colletes.bicolor","Colletes","Colletidae",2.675,2,0.0540540540540541,-0.64705344518018
"chaco0611","Colletes.brethesi_0611","Colletes.brethesi","Colletes","Colletidae",NA,3,0.0810810810810811,-0.521817294500145
"chaco0611","Colletes.cognatus_0611","Colletes.cognatus","Colletes","Colletidae",2.35,8,0.216216216216216,0.104363458900029
"chaco0611","Megachile.leucographa_0611","Megachile.leucographa","Megachile","Megachilidae",NA,16,0.432432432432432,1.10625266434031
"chaco0611","Megachile.nigella_0611","Megachile.nigella","Megachile","Megachilidae",NA,8,0.216216216216216,0.104363458900029
"chaco0611","Megachile.obscurior_0611","Megachile.obscurior","Megachile","Megachilidae",NA,13,0.351351351351351,0.730544212300203
"chaco0611","Megachile.pseudocentron_0611","Megachile.pseudocentron","Megachile","Megachilidae",NA,3,0.0810810810810811,-0.521817294500145
"chaco0611","Xylocopa.atamisquensis_0611","Xylocopa.atamisquensis","Xylocopa","Apidae",NA,15,0.405405405405405,0.981016513660273
"chaco0611","Leioproctus.abdominalis_0611","Leioproctus.abdominalis","Leioproctus","Colletidae",NA,2,0.0540540540540541,-0.64705344518018
"chaco0611","Leioproctus.friesei_0611","Leioproctus.friesei","Leioproctus","Colletidae",NA,4,0.108108108108108,-0.39658114382011
"chaco0611","Xylocopa.augusti_0611","Xylocopa.augusti","Xylocopa","Apidae",NA,1,0.027027027027027,-0.772289595860215
"chaco0611","Centris.lyngbyei_0611","Centris.lyngbyei","Centris","Apidae",NA,5,0.135135135135135,-0.271344993140076
"chaco0611","Bombus.opifex_0611","Bombus.opifex","Bombus","Apidae",NA,18,0.486486486486487,1.35672496570038
"chaco0611","Colletes.lycii_0611","Colletes.lycii","Colletes","Colletidae",NA,6,0.162162162162162,-0.146108842460041
"chaco0611","Xylocopa.splendidula_0611","Xylocopa.splendidula","Xylocopa","Apidae",NA,10,0.27027027027027,0.354835760260099
"chaco0611","Alloscirtetica.brethesi_0611","Alloscirtetica.brethesi","Alloscirtetica","Apidae",NA,3,0.0810810810810811,-0.521817294500145
"chaco0611","Alloscirtetica.sp1_0611","Alloscirtetica.sp1","Alloscirtetica","Apidae",2.9,3,0.0810810810810811,-0.521817294500145
"chaco0611","AnAnthidium.inerme_0611","AnAnthidium.inerme","AnAnthidium","Megachilidae",NA,4,0.108108108108108,-0.39658114382011
"chaco0611","Anthidium.friesei_0611","Anthidium.friesei","Anthidium","Megachilidae",NA,3,0.0810810810810811,-0.521817294500145
"chaco0611","Anthidium.rubripes_0611","Anthidium.rubripes","Anthidium","Megachilidae",NA,5,0.135135135135135,-0.271344993140076
"chaco0611","Anthidium.vigintipunctatum_0611","Anthidium.vigintipunctatum","Anthidium","Megachilidae",NA,3,0.0810810810810811,-0.521817294500145
"chaco0611","Apis.mellifera_0611","Apis.mellifera","Apis","Apidae",2.9,24,0.648648648648649,2.10814186978059
"chaco0611","Arhysosage.bifasciata_0611","Arhysosage.bifasciata","Arhysosage","andrenidae",NA,6,0.162162162162162,-0.146108842460041
"chaco0611","Augochloropsis.sp_0611","Augochloropsis.sp","Augochloropsis","Halictidae",2.18,34,0.918918918918919,3.36050337658093
"chaco0611","Calliopsini_sp1_0611","Calliopsini","","Andrenidae",NA,1,0.027027027027027,-0.772289595860215
"chaco0611","Centris.vardyorum_0611","Centris.vardyorum","Centris","Apidae",NA,1,0.027027027027027,-0.772289595860215
"chaco0611","Diadasia.baraderensis_0611","Diadasia.baraderensis","Diadasia","Apidae",NA,1,0.027027027027027,-0.772289595860215
"chaco0611","Diadasia.patagonica_0611","Diadasia.patagonica","Diadasia","Apidae",NA,11,0.297297297297297,0.480071910940134
"chaco0611","Dialictus.sp_0611","Dialictus.sp","Dialictus","Halictidae",1.2,37,1,3.73621182862104
"chaco0611","Liphantus.inornatus_0611","Liphantus.inornatus","Liphantus","Andrenidae",NA,1,0.027027027027027,-0.772289595860215
"chaco0611","Liphantus.nigritus_0611","Liphantus.nigritus","Liphantus","Andrenidae",NA,1,0.027027027027027,-0.772289595860215
"chaco0611","Lonchopria.robertsi_0611","Lonchopria.robertsi","Lonchopria","Colletidae",NA,6,0.162162162162162,-0.146108842460041
"chaco0611","Lonchopria.sp_0611","Lonchopria.sp","Lonchopria","Colletidae",NA,1,0.027027027027027,-0.772289595860215
"chaco0611","Melectoides.cockerelli_0611","Melectoides.cockerelli","Melectoides","Apidae",NA,1,0.027027027027027,-0.772289595860215
"chaco0611","Melissoptila.sp_0611","Melissoptila.sp","Melissoptila","Apidae",2.65,1,0.027027027027027,-0.772289595860215
"chaco0611","Mesonychium.jenseni_0611","Mesonychium.jenseni","Mesonychium","Apidae",NA,8,0.216216216216216,0.104363458900029
"chaco0611","Psaenythia.philantoides_0611","Psaenythia.philantoides","Psaenythia","Andrenidae",NA,6,0.162162162162162,-0.146108842460041
"chaco0611","Psaenythia.rufipes_0611","Psaenythia.rufipes","Psaenythia","Andrenidae",NA,9,0.243243243243243,0.229599609580064
"chaco0611","Pseudagapostemon.sp_0611","Pseudagapostemon.sp","Pseudagapostemon","Halictidae",NA,13,0.351351351351351,0.730544212300203
"chaco0611","Svastrides.bauni_0611","Svastrides.bauni","Svastrides","Apidae",NA,1,0.027027027027027,-0.772289595860215
"chaco0611","Svastra.sp_0611","Svastra.sp","Svastra","Apidae",3.54,2,0.0540540540540541,-0.64705344518018
"chaco0611","Svastrides.zebra_0611","Svastrides.zebra","Svastrides","Apidae",NA,4,0.108108108108108,-0.39658114382011
"chaco0611","Trichothurgus.laticeps_0611","Trichothurgus.laticeps","Trichothurgus","Megachilidae",NA,2,0.0540540540540541,-0.64705344518018
"chaco0611","Trichoturgus.sp2_0611","Trichoturgus.sp2","Trichoturgus","Megachilidae",NA,1,0.027027027027027,-0.772289595860215
"chaco0611","Willinkapis.chalybaea_0611","Willinkapis.chalybaea","Willinkapis","Colletidae",NA,5,0.135135135135135,-0.271344993140076
"M_001","Alloscirtetica.rufitarsis_001","Alloscirtetica.rufitarsis","Alloscirtetica","Apidae",3.36,3,0.1875,-0.23302042772804
"M_001","Alloscirtetica.gayi_001","Alloscirtetica.gayi","Alloscirtetica","Apidae",3.102,2,0.125,-0.478636554252191
"M_001","Alloscirtetica.sp_001","Alloscirtetica.sp","Alloscirtetica","Apidae",2.9,9,0.5625,1.24067633141686
"M_001","Anthidium.chilensis_001","Anthidium.chilensis","Anthidium","Megachilidae",1.2,8,0.5,0.995060204892712
"M_001","Anthidium.decaspilum_001","Anthidium.decaspilum","Anthidium","Megachilidae",3.2,4,0.25,0.0125956987961102
"M_001","Anthidium.funereum_001","Anthidium.funereum","Anthidium","Megachilidae",3.2,7,0.4375,0.749444078368562
"M_001","Anthidium.gayi_001","Anthidium.gayi","Anthidium","Megachilidae",NA,5,0.3125,0.258211825320261
"M_001","Anthidium.adriani_001","Anthidium.adriani","Anthidium","Megachilidae",NA,1,0.0625,-0.724252680776341
"M_001","Anthidium.sp_001","Anthidium.sp","Anthidium","Megachilidae",3.34,1,0.0625,-0.724252680776341
"M_001","Cadeguala.occidentalis_001","Cadeguala.occidentalis","Cadeguala","Colletidae",3.3,4,0.25,0.0125956987961102
"M_001","Caupolicana.dimidiata_001","Caupolicana.dimidiata","Caupolicana","Apidae",NA,1,0.0625,-0.724252680776341
"M_001","Chilimelissa.sp_001","Chilimelissa.sp","Chilimelissa","Colletidae",NA,1,0.0625,-0.724252680776341
"M_001","Corynura.sp_001","Corynura.sp","Corynura","Halictidae",NA,1,0.0625,-0.724252680776341
"M_001","Dialictus.sp_001","Dialictus.sp","Dialictus","Halictidae",1.2,1,0.0625,-0.724252680776341
"M_001","Liphanthus.sabulosus_001","Liphanthus.sabulosus","Liphanthus","Andrenidae",1.237,3,0.1875,-0.23302042772804
"M_001","Panurgineae.sp_001","Panurgineae.sp","Panurgineae","Andrenidae",NA,6,0.375,0.503827951844411
"M_001","Ruizantheda.mutabilis_001","Ruizantheda.mutabilis","Ruizantheda","Halictidae",1.68,2,0.125,-0.478636554252191
"M_001","Svastrides.melanura_001","Svastrides.melanura","Svastrides","apidae",NA,1,0.0625,-0.724252680776341
