ID,Latitud,Longitud
chaco0611,-32.53,-68.95
M_001,-33.28,-70.27
M_002,-33.28,-70.27
M_003,-33.28,-70.27
M_004,46.55,-66.07
M_005,38.84178,-105.0438
M_006,52.76,1.58
M_007,52.41,1.1
M_008,28.22,-16.63
M_009,68.35,18.5
M_010,74.5,-20.5
M_012,28.12784,-17.24891
M_013,-29.62,30.13
M_014,81.82,-71.3
M_015,38.01,23.64
M_016,37.02,-6.55
M_017,51.57,-2.59
M_018,56.23874,9.973652
M_019,-36.45,148.27
M_020,-36.45,148.27
M_020,81.82,-71.3
M_021,35.33,135.75
M_022,-34.17,-69.7
M_023,-33,-69.28
M_024,75,-114.9667
M_025,36.08,-79
M_026,-0.5,-90.5
M_027,-42.95,171.5667
M_028,-43.03,171.78
M_029,-43.1,171.72
M_030,8.93,-67.42
M_031,5.58,-61.72
M_032,40.13,-88.17
M_033,45.4,-75.5
M_034,-42,-73.58
M_035,17.92,-76.19
M_036,39.46667,-31.22722
M_037,56.25,9.97
M_038,56.24,9.99
M_039,28.26861,-16.60556
M_040,18.35,-77.65
M_041,15.52,-61.47
M_042,-0.949194,-90.97722
M_043,56.24,9.95
M_044,28.38,129.49
M_046,56.07,10.23
M_047,56.07,9.27
M_049,56.07,10.22
M_050,28.27,-16.61
M_051,-41.08,-71.53
M_053,33.4,131.5
M_054,35.03,135.78
M_055,35.65,136.08
M_056,35.58,138.38
M_057,35.17,135.87
M_058,42.3,3.24
M_059,-8.51,-37.2
M_061,-4.67,55.43
M_062,39.27896,-89.89688
M_072,-37.84201,-58.358571
M_073,38.96955,-77.17637
M_11.1,-20.35,57.55
M_11.2,-20.35,57.55
M_Kahe,-25.4,-48.9667
M_kbcontrol2009,-20.7,57.7333
M_kbrest2009,-20.7,57.7333
M_res_1521,40.03,-105.5405
M_Var2012,-19.936,-40.6
Santos_2010,-12.7,-39.7667
