"Family","Genus","sp.armonizado","DIT.final"
"Halictidae","Agapostemon","Agapostemon splendens",2.38
"Halictidae","Agapostemon","Agapostemon texanus",2.04
"Halictidae","Agapostemon","Agapostemon virescens",2.308
"Apidae","Alloscirtetica","Alloscirtetica gayi",3.102
"Apidae","Alloscirtetica","Alloscirtetica rufitarsis",3.36
"Apidae","Amegilla","Amegilla albigena",3.12
"Apidae","Amegilla","Amegilla canifrons",5.38
"Apidae","Amegilla","Amegilla fasciata",3.95
"Apidae","Amegilla","Amegilla garrula",4.45
"Apidae","Amegilla","Amegilla ochroleuca",3.82
"Apidae","Amegilla","Amegilla quadrifasciata",4.02
"Apidae","Amegilla","Amegilla savignyi",3.86
"Apidae","Ammobates","Ammobates oraniensis",2.1
"Andrenidae","Andrena","Andrena alfkenella",1.47
"Andrenidae","Andrena","Andrena alleghaniensis",1.44
"Andrenidae","Andrena","Andrena arabis",2.1
"Andrenidae","Andrena","Andrena assimilis",3.29
"Andrenidae","Andrena","Andrena athenensis",2.3
"Andrenidae","Andrena","Andrena barbilabris",2.32
"Andrenidae","Andrena","Andrena bicolor",2.01
"Andrenidae","Andrena","Andrena bicolorata",2.83
"Andrenidae","Andrena","Andrena bimaculata",2.71
"Andrenidae","Andrena","Andrena canohirta",1.5
"Andrenidae","Andrena","Andrena carlini",2.9
"Andrenidae","Andrena","Andrena carolina",2.09
"Andrenidae","Andrena","Andrena chrysosceles",1.87
"Andrenidae","Andrena","Andrena cinereophila",1.99
"Andrenidae","Andrena","Andrena clarkella",2.97
"Andrenidae","Andrena","Andrena combaella",2.12
"Andrenidae","Andrena","Andrena concinna",2.67
"Andrenidae","Andrena","Andrena crassana",1.45
"Andrenidae","Andrena","Andrena crataegi",1.81
"Andrenidae","Andrena","Andrena cressoni",2.06
"Andrenidae","Andrena","Andrena distinguenda",1.56
"Andrenidae","Andrena","Andrena dunningi",2.64
"Andrenidae","Andrena","Andrena erigeniae",2.1
"Andrenidae","Andrena","Andrena flavipes",2.36
"Andrenidae","Andrena","Andrena forbesii",2.2
"Andrenidae","Andrena","Andrena fulva",2.72
"Andrenidae","Andrena","Andrena fulvitarsis",2
"Andrenidae","Andrena","Andrena fuscipes",2.21
"Andrenidae","Andrena","Andrena grossella",2.28
"Andrenidae","Andrena","Andrena haemorrhoa",2.49
"Andrenidae","Andrena","Andrena haemorrhoa japonibia",2.54
"Andrenidae","Andrena","Andrena hattorfiana",2.71
"Andrenidae","Andrena","Andrena hesperia",1.92
"Andrenidae","Andrena","Andrena hispania",2.95
"Andrenidae","Andrena","Andrena humilis",2.25
"Andrenidae","Andrena","Andrena hyemala",1.27
"Andrenidae","Andrena","Andrena imitatrix",4.49
"Andrenidae","Andrena","Andrena impunctata",1.24
"Andrenidae","Andrena","Andrena japonica",1.22
"Andrenidae","Andrena","Andrena japonicum",1.22
"Andrenidae","Andrena","Andrena kriechbaumeri",2.1
"Andrenidae","Andrena","Andrena lamiana",1.31
"Andrenidae","Andrena","Andrena lapponica",2.54
"Andrenidae","Andrena","Andrena longitibialis",1.59
"Andrenidae","Andrena","Andrena mandibularis",1.87
"Andrenidae","Andrena","Andrena melanochroa",1.7
"Andrenidae","Andrena","Andrena minutula",1.42
"Andrenidae","Andrena","Andrena miranda",1.9
"Andrenidae","Andrena","Andrena miserabilis",1.7
"Andrenidae","Andrena","Andrena mocsaryi",2.19
"Andrenidae","Andrena","Andrena mucronata",2.84
"Andrenidae","Andrena","Andrena nana",1.64
"Andrenidae","Andrena","Andrena nasonii",1.59
"Andrenidae","Andrena","Andrena nigroaenea",2.84
"Andrenidae","Andrena","Andrena nitida",2.9
"Andrenidae","Andrena","Andrena nivalis",2.69
"Andrenidae","Andrena","Andrena nobilis",2.66
"Andrenidae","Andrena","Andrena nubecula",1.17
"Andrenidae","Andrena","Andrena optata",2.37
"Andrenidae","Andrena","Andrena oralis",1.96
"Andrenidae","Andrena","Andrena panurgimorpha",1.98
"Andrenidae","Andrena","Andrena panurgina",1.69
"Andrenidae","Andrena","Andrena personata",1.2
"Andrenidae","Andrena","Andrena pilipes",3.21
