"Familia","Family.x","Family.y","genero","especie_genero","DIT.final.final"
"Halictidae",NA,NA,"Agapostemon","Agapostemon splendens",2.38
"Halictidae",NA,NA,"Agapostemon","Agapostemon texanus",2.04
"Apidae",NA,NA,"Alloscirtetica","Alloscirtetica gayi",3.102
"Apidae",NA,NA,"Alloscirtetica","Alloscirtetica rufitarsis",3.36
"Apidae","Apidae",NA,"Amegilla","Amegilla albigena",3.12
NA,NA,NA,NA,"Amegilla canifrons",5.38
"Apidae","Apidae",NA,"Amegilla","Amegilla fasciata",3.95
"Apidae","Apidae",NA,"Amegilla","Amegilla quadrifasciata",4.02
NA,NA,NA,NA,"Amegilla quadrifasciata",4.02
NA,NA,NA,NA,"Ammobates oraniensis",2.1
"Andrenidae","Andrenidae",NA,"Andrena","Andrena alfkenella",1.47
"Andrenidae",NA,NA,"Andrena","Andrena alleghaniensis",1.44
"Andrenidae",NA,NA,"Andrena","Andrena arabis",2.1
NA,NA,NA,NA,"Andrena assimilis",3.29
NA,NA,NA,NA,"Andrena athenensis",2.3
"Andrenidae","Andrenidae",NA,"Andrena","Andrena barbilabris",2.32
"Andrenidae","Andrenidae",NA,"Andrena","Andrena bicolor",2.01
NA,NA,NA,NA,"Andrena bicolorata",2.83
"Andrenidae","Andrenidae",NA,"Andrena","Andrena bimaculata",2.71
"Andrenidae",NA,NA,"Andrena","Andrena carlini",2.9
"Andrenidae",NA,NA,"Andrena","Andrena carolina",2.09
"Andrenidae","Andrenidae",NA,"Andrena","Andrena chrysosceles",1.87
NA,NA,NA,NA,"Andrena cinereophila",1.99
"Andrenidae","Andrenidae",NA,"Andrena","Andrena clarkella",2.97
"Andrenidae","Andrenidae",NA,"Andrena","Andrena combaella",2.12
NA,NA,NA,NA,"Andrena concinna",2.67
NA,NA,NA,NA,"Andrena crassana",1.45
"Andrenidae",NA,NA,"Andrena","Andrena crataegi",1.81
"Andrenidae",NA,NA,"Andrena","Andrena cressoni",2.06
NA,NA,NA,NA,"Andrena distinguenda",1.56
"Andrenidae",NA,NA,"Andrena","Andrena dunningi",2.64
"Andrenidae",NA,NA,"Andrena","Andrena erigeniae",2.1
"Andrenidae","Andrenidae",NA,"Andrena","Andrena flavipes",2.36
"Andrenidae",NA,NA,"Andrena","Andrena forbesii",2.2
"Andrenidae","Andrenidae",NA,"Andrena","Andrena fulva",2.72
NA,NA,NA,NA,"Andrena fulvitarsis",2
"Andrenidae","Andrenidae",NA,"Andrena","Andrena fuscipes",2.21
NA,NA,NA,NA,"Andrena grossella",2.28
"Andrenidae","Andrenidae",NA,"Andrena","Andrena haemorrhoa",2.49
"Andrenidae",NA,NA,"Andrena","Andrena haemorrhoa japonibia",2.54
"Andrenidae","Andrenidae",NA,"Andrena","Andrena hattorfiana",2.71
NA,NA,NA,NA,"Andrena hesperia",1.92
"Andrenidae",NA,NA,"Andrena","Andrena hispania",2.95
NA,NA,NA,NA,"Andrena humilis",2.25
NA,NA,NA,NA,"Andrena hyemala",1.27
"Andrenidae",NA,NA,"Andrena","Andrena imitatrix",4.49
NA,NA,NA,NA,"Andrena impunctata",1.24
"Andrenidae",NA,NA,"Andrena","Andrena japonica",1.22
"Andrenidae",NA,NA,"Andrena","Andrena japonicum",1.22
NA,NA,NA,NA,"Andrena kriechbaumeri",2.1
NA,NA,NA,NA,"Andrena lamiana",1.31
"Andrenidae","Andrenidae",NA,"Andrena","Andrena lapponica",2.54
"Andrenidae",NA,NA,"Andrena","Andrena longitibialis",1.59
"Andrenidae",NA,NA,"Andrena","Andrena mandibularis",1.87
"Andrenidae",NA,NA,"Andrena","Andrena melanochroa",1.7
"Andrenidae","Andrenidae",NA,"Andrena","Andrena minutula",1.42
"Andrenidae",NA,NA,"Andrena","Andrena miranda",1.9
"Andrenidae",NA,NA,"Andrena","Andrena miserabilis",1.7
NA,NA,NA,NA,"Andrena mocsaryi",2.19
NA,NA,NA,NA,"Andrena mucronata",2.84
"Andrenidae","Andrenidae",NA,"Andrena","Andrena nana",1.64
"Andrenidae",NA,NA,"Andrena","Andrena nasonii",1.59
"Andrenidae","Andrenidae",NA,"Andrena","Andrena nigroaenea",2.84
"Andrenidae",NA,NA,"Andrena","Andrena nivalis",2.69
NA,NA,NA,NA,"Andrena nobilis",2.66
"Andrenidae",NA,NA,"Andrena","Andrena nubecula",1.17
NA,NA,NA,NA,"Andrena optata",2.37
NA,NA,NA,NA,"Andrena oralis",1.96
NA,NA,NA,NA,"Andrena panurgimorpha",1.98
NA,NA,NA,NA,"Andrena panurgina",1.69
"Andrenidae",NA,NA,"Andrena","Andrena personata",1.2
"Andrenidae",NA,NA,"Andrena","Andrena pruni",2.5
"Andrenidae",NA,NA,"Andrena","Andrena rugosa",2.07
NA,NA,NA,NA,"Andrena rugothorace",1.45
NA,NA,NA,NA,"Andrena schmiedeknechti",2.56
NA,NA,NA,NA,"Andrena schulzi",1.32
NA,NA,NA,NA,"Andrena scita",2.9
"Andrenidae","Andrenidae",NA,"Andrena","Andrena simontornyella",1.38
"Andrenidae",NA,NA,"Andrena","Andrena spiraeana",1.94
"Andrenidae","Andrenidae",NA,"Andrena","Andrena subopaca",1.39
"Andrenidae","Andrenidae",NA,"Andrena","Andrena taraxaci",2.17
NA,NA,NA,NA,"Andrena tarsata",1.71
NA,NA,NA,NA,"Andrena tomora",1.38
"Andrenidae","Andrenidae",NA,"Andrena","Andrena ventricosa",1.72
"Andrenidae",NA,NA,"Andrena","Andrena vicina",2.54
"Andrenidae",NA,NA,"Andrena","Andrena violae",2.3
"Andrenidae",NA,NA,"Andrena","Andrena w scripta",1.74
NA,NA,NA,NA,"Andrena westensis",2.3
"Andrenidae","Andrenidae",NA,"Andrena","Andrena wilkella",2.36
NA,NA,NA,NA,"Anthidiellum strigatum",2.32
"Megachilidae",NA,NA,"Anthidiellum","Anthidiellum strigatum luteum",2.44
"Megachilidae",NA,NA,"Anthidium","Anthidium chilensis",1.2
"Megachilidae",NA,NA,"Anthidium","Anthidium chubuti",3.69
NA,NA,NA,NA,"Anthidium dalmaticum",3.02
"Megachilidae",NA,NA,"Anthidium","Anthidium decaspilum",3.2
NA,NA,NA,NA,"Anthidium florentinum",3.92
"Megachilidae",NA,NA,"Anthidium","Anthidium funereum",3.2
"Megachilidae","Megachilidae",NA,"Anthidium","Anthidium manicatum",3.51
"Megachilidae","Megachilidae",NA,"Anthidium","Anthidium septemspinosum",3.5
NA,NA,NA,NA,"Anthidium taeniatum",2.56
