"Genero.original","Genero.especie","Orden.GBIF","Familia.GBIF","Genero.GBIF","genero.es.igual"
"Abelia","Abelia.grandiflora","Dipsacales","Caprifoliaceae","Abelia",TRUE
"Abelia","Abelia.sp1.M.PL.054","Dipsacales","Caprifoliaceae","Abelia",TRUE
"Abelia","Abelia.serrata","Dipsacales","Caprifoliaceae","Abelia",TRUE
"Abelmoschus","Abelmoschus.manihot","Malvales","Malvaceae","Abelmoschus",TRUE
"Abutilon","Abutilon.terminale","Malvales","Malvaceae","Bastardia",FALSE
"Abutilon","Abutilon.terminale","Malvales","Malvaceae","Abutilon",TRUE
"Abutilon","Abutilon.theophrasti","Malvales","Malvaceae","Bastardia",FALSE
"Abutilon","Abutilon.theophrasti","Malvales","Malvaceae","Abutilon",TRUE
"Abutilon","Abutilon.depauperatum","Malvales","Malvaceae","Bastardia",FALSE
"Abutilon","Abutilon.depauperatum","Malvales","Malvaceae","Abutilon",TRUE
"Acacia","Acacia.insulae-iacobi","Fabales","Fabaceae","Acacia",TRUE
"Acacia","Acacia.macracantha","Fabales","Fabaceae","Acacia",TRUE
"Acaena","Acaena.pinnatifida","Rosales","Rosaceae","Acaena",TRUE
"Acanthostachys","Acanthostachys.strobilaceae","Poales","Bromeliaceae","Acanthostachys",TRUE
"Acanthus","Acanthus.spinosus","Lamiales","Acanthaceae","Acanthus",TRUE
"Acer","Acer.ukurunduense","Sapindales","Sapindaceae","Acer",TRUE
"Acer","Acer.shirasawanum","Sapindales","Sapindaceae","Acer",TRUE
"Acer","Acer.rufinerve","Sapindales","Sapindaceae","Acer",TRUE
"Acer","Acer.saccharinum","Sapindales","Sapindaceae","Acer",TRUE
"Acer","Acer.insulae","Sapindales","Sapindaceae","Acer",TRUE
"Acer","Acer.japonicum","Sapindales","Sapindaceae","Acer",TRUE
"Acer","Acer.carpinifolium","Sapindales","Sapindaceae","Acer",TRUE
"Acer","Acer.negundo","Sapindales","Sapindaceae","Acer",TRUE
"Achillea","Achillea.alpina.","Asterales","Asteraceae","Achillea",TRUE
"Achillea","Achillea.millefolium","Asterales","Asteraceae","Achillea",TRUE
"Achyranthes","Achyranthes.bidentata","Caryophyllales","Amaranthaceae","Achyranthes",TRUE
"Achyrocline","Achyrocline.satureoides","Asterales","Asteraceae","Achyrocline",TRUE
"Aciphylla","Aciphylla.glacialis",NA,NA,"Aciphylla",TRUE
"Aciphylla","Aciphylla.glacialis","Apiales","Apiaceae","Aciphylla",TRUE
"Aciphylla","Aciphylla.scott-thompsoni",NA,NA,"Aciphylla",TRUE
"Aciphylla","Aciphylla.scott-thompsoni","Apiales","Apiaceae","Aciphylla",TRUE
"Aciphylla","Aciphylla.simplicifolia",NA,NA,"Aciphylla",TRUE
"Aciphylla","Aciphylla.simplicifolia","Apiales","Apiaceae","Aciphylla",TRUE
"Aciphylla","Aciphylla.subflavellata",NA,NA,"Aciphylla",TRUE
"Aciphylla","Aciphylla.subflavellata","Apiales","Apiaceae","Aciphylla",TRUE
"Aconitum","Aconitum.japonicum","Ranunculales","Ranunculaceae","Aconitum",TRUE
"Aconitum","Aconitum.senanense","Ranunculales","Ranunculaceae","Aconitum",TRUE
"Aconitum","Aconitum.columbianum","Ranunculales","Ranunculaceae","Aconitum",TRUE
"Aconitum","Aconitum.japonicum.montanum","Ranunculales","Ranunculaceae","Aconitum",TRUE
"Actea","Actea.alba",NA,NA,NA,TRUE
"Actinidia","Actinidia.arguta","Ericales","Theaceae","Actinidia",TRUE
"Actinidia","Actinidia.arguta","Ericales","Actinidiaceae","Actinidia",TRUE
"Actinidia","Actinidia.rufa","Ericales","Theaceae","Actinidia",TRUE
"Actinidia","Actinidia.rufa","Ericales","Actinidiaceae","Actinidia",TRUE
"Actinomeris","Actinomeris.alternifolia",NA,NA,NA,TRUE
"Adenocarpus","Adenocarpus.foliosus","Fabales","Fabaceae","Adenocarpus",TRUE
"Adenocarpus","Adenocarpus.viscosus","Fabales","Fabaceae","Adenocarpus",TRUE
"Adenocaulon","Adenocaulon.himalaicum","Asterales","Asteraceae","Adenocaulon",TRUE
"Adenophora","Adenophora.triphylla","Asterales","Campanulaceae","Adenophora",TRUE
"Adesmia","Adesmia.glomerula","Fabales","Fabaceae","Adesmia",TRUE
"Adesmia","Adesmia.aconcaguensis","Fabales","Fabaceae","Adesmia",TRUE
"Adesmia","Adesmia.brachysemon","Fabales","Fabaceae","Adesmia",TRUE
"Adesmia","Adesmia.conferta","Fabales","Fabaceae","Adesmia",TRUE
"Adesmia","Adesmia.exilis","Fabales","Fabaceae","Adesmia",TRUE
"Adesmia","Adesmia.radicifolia","Fabales","Fabaceae","Adesmia",TRUE
"Adesmia","Adesmia.montana","Fabales","Fabaceae","Adesmia",TRUE
"Adesmia","Adesmia.incana","Fabales","Fabaceae","Adesmia",TRUE
"Adesmia","Adesmia.haemisphaerica","Fabales","Fabaceae","Adesmia",TRUE
"Adesmia","Adesmia.capitellata","Fabales","Fabaceae","Adesmia",TRUE
"Adesmia","Adesmia.retrofracta","Fabales","Fabaceae","Adesmia",TRUE
"Aechmea","Aechmea.paniculigera","Poales","Bromeliaceae","Aechmea",TRUE
"Aechmea","Aechmea.bromeliifolia","Poales","Bromeliaceae","Aechmea",TRUE
"Aechmea","Aechmea.lingulata","Poales","Bromeliaceae","Aechmea",TRUE
"Aechmea","Aechmea.cylindrata","Poales","Bromeliaceae","Aechmea",TRUE
"Aechmea","Aechmea.mutica","Poales","Bromeliaceae","Aechmea",TRUE
"Aechmea","Aechmea.nudicaulis","Poales","Bromeliaceae","Aechmea",TRUE
"Aechmea","Aechmea.pineliana","Poales","Bromeliaceae","Aechmea",TRUE
"Aechmea","Aechmea.araneosa","Poales","Bromeliaceae","Aechmea",TRUE
"Aechmea","Aechmea.triangularis","Poales","Bromeliaceae","Aechmea",TRUE
"Aechmea","Aechmea.victoriana","Poales","Bromeliaceae","Aechmea",TRUE
"Aeginetia","Aeginetia.indica","Lamiales","Orobanchaceae","Aeginetia",TRUE
"Aegopodium","Aegopodium.podagraria","Apiales","Apiaceae","Aegopodium",TRUE
"Aeschynomene","Aeschynomene.pratensis","Fabales","Fabaceae","Aeschynomene",TRUE
"Aeschynomene","Aeschynomene.indica","Fabales","Fabaceae","Aeschynomene",TRUE
"Aesculus","Aesculus.hippocastanum","Sapindales","Sapindaceae","Aesculus",TRUE
"Aesculus","Aesculus.glabra","Sapindales","Sapindaceae","Aesculus",TRUE
"Aesculus","Aesculus.sylvatica","Sapindales","Sapindaceae","Aesculus",TRUE
"Aesculus","Aesculus.turbinata","Sapindales","Sapindaceae","Aesculus",TRUE
"Aesculus","Aesculus.camea","Sapindales","Sapindaceae","Aesculus",TRUE
"Aetheorrina","Aetheorrina.bulbosa",NA,NA,NA,TRUE
"Aethusa","Aethusa.cynapium","Apiales","Apiaceae","Aethusa",TRUE
"Agastache","Agastache.scrophulariaefolia","Lamiales","Lamiaceae","Agastache",TRUE
"Agastache","Agastache.nepetoides","Lamiales","Lamiaceae","Agastache",TRUE
"Agauria","Agauria.salicifolia",NA,NA,NA,TRUE
"Ageratum","Ageratum.houstonianum","Asterales","Asteraceae","Ageratum",TRUE
"Ageratum","Ageratum.houstonianum","Lamiales","Scrophulariaceae","Ageratum",TRUE
"Ageratum","Ageratum.conyzoides","Asterales","Asteraceae","Ageratum",TRUE
"Ageratum","Ageratum.conyzoides","Lamiales","Scrophulariaceae","Ageratum",TRUE
"Ageretina","Ageretina.adenophora",NA,NA,NA,TRUE
"Agrimonia","Agrimonia.striata","Rosales","Rosaceae","Agrimonia",TRUE
"Agrimonia","Agrimonia.striata","Rosales","Rosaceae","Eupatorium",FALSE
"Agrimonia","Agrimonia.eupatoria","Rosales","Rosaceae","Agrimonia",TRUE
