"ID","plantas","especie","interaccion","Especie.planta"
"M_040","Unidentified.sp13.M.PL.040","Adelpha.abyla",1,"Unidentified sp13 M PL 040"
"M_040","Unidentified.sp13.M.PL.040","Apis.mellifera",6,"Unidentified sp13 M PL 040"
"M_040","Unidentified.sp13.M.PL.040","Camponotus.hannani",2,"Unidentified sp13 M PL 040"
"M_040","Unidentified.sp13.M.PL.040","Centris.sp2.M.PL.040",4,"Unidentified sp13 M PL 040"
"M_040","Unidentified.sp13.M.PL.040","Crematogaster.steinheili",6,"Unidentified sp13 M PL 040"
"M_040","Unidentified.sp13.M.PL.040","Euglossa.jamaicensis",1,"Unidentified sp13 M PL 040"
"M_040","Unidentified.sp13.M.PL.040","Mellisuga.minima",3,"Unidentified sp13 M PL 040"
"M_040","Unidentified.sp13.M.PL.040","Trochilus.polytmus.polytmus",6,"Unidentified sp13 M PL 040"
"M_040","Unidentified.sp13.M.PL.040","Wasmannia.auropunctata",5,"Unidentified sp13 M PL 040"
"M_040","Unidentified.sp13.M.PL.040","Xylocopa.sp1.M.PL.040",1,"Unidentified sp13 M PL 040"
"M_040","Unidentified.sp14.M.PL.040","Camponotus.hannani",49,"Unidentified sp14 M PL 040"
"M_040","Unidentified.sp14.M.PL.040","Crematogaster.steinheili",26,"Unidentified sp14 M PL 040"
"M_040","Unidentified.sp14.M.PL.040","Diptera.sp1.M.PL.040",1,"Unidentified sp14 M PL 040"
"M_040","Unidentified.sp14.M.PL.040","Paraphrissopoda.chrysostoma",1,"Unidentified sp14 M PL 040"
"M_040","Unidentified.sp14.M.PL.040","Unidentified.sp1.M.PL.040",1,"Unidentified sp14 M PL 040"
"M_040","Unidentified.sp14.M.PL.040","Unidentified.sp11.M.PL.040",4,"Unidentified sp14 M PL 040"
"M_040","Unidentified.sp14.M.PL.040","Unidentified.sp12.M.PL.040",3,"Unidentified sp14 M PL 040"
"M_040","Unidentified.sp15.M.PL.040","Agapostemon.sp1.M.PL.040",5,"Unidentified sp15 M PL 040"
"M_040","Unidentified.sp15.M.PL.040","Apis.mellifera",1,"Unidentified sp15 M PL 040"
"M_040","Unidentified.sp15.M.PL.040","Camponotus.hannani",2,"Unidentified sp15 M PL 040"
"M_040","Unidentified.sp15.M.PL.040","Centris.sp2.M.PL.040",23,"Unidentified sp15 M PL 040"
"M_040","Unidentified.sp15.M.PL.040","Euglossa.jamaicensis",1,"Unidentified sp15 M PL 040"
"M_040","Unidentified.sp15.M.PL.040","Xylocopa.sp1.M.PL.040",2,"Unidentified sp15 M PL 040"
"M_040","Unidentified.sp16.M.PL.040","Coereba.flaveola",1,"Unidentified sp16 M PL 040"
"M_040","Unidentified.sp16.M.PL.040","Euglossa.jamaicensis",3,"Unidentified sp16 M PL 040"
"M_040","Unidentified.sp16.M.PL.040","Trochilus.polytmus.polytmus",1,"Unidentified sp16 M PL 040"
"M_040","Unidentified.sp17.M.PL.040","Trochilus.polytmus.polytmus",1,"Unidentified sp17 M PL 040"
"M_040","Unidentified.sp17.M.PL.040","Unidentified.sp1.M.PL.040",1,"Unidentified sp17 M PL 040"
"M_040","Unidentified.sp17.M.PL.040","Unidentified.sp2.M.PL.040",1,"Unidentified sp17 M PL 040"
"M_040","Unidentified.sp18.M.PL.040","Apis.mellifera",3,"Unidentified sp18 M PL 040"
"M_040","Unidentified.sp18.M.PL.040","Xylocopa.sp1.M.PL.040",2,"Unidentified sp18 M PL 040"
"M_040","Unidentified.sp19.M.PL.040","Camponotus.hannani",7,"Unidentified sp19 M PL 040"
"M_040","Unidentified.sp19.M.PL.040","Camponotus.subdepilis",5,"Unidentified sp19 M PL 040"
"M_040","Unidentified.sp20.M.PL.040","Camponotus.subdepilis",1,"Unidentified sp20 M PL 040"
"M_040","Unidentified.sp20.M.PL.040","Crematogaster.steinheili",4,"Unidentified sp20 M PL 040"
"M_040","Unidentified.sp21.M.PL.040","Crematogaster.steinheili",30,"Unidentified sp21 M PL 040"
"M_040","Unidentified.sp21.M.PL.040","Wasmannia.auropunctata",78,"Unidentified sp21 M PL 040"
"M_040","Unidentified.sp22.M.PL.040","Xylocopa.sp1.M.PL.040",2,"Unidentified sp22 M PL 040"
"M_040","Unidentified.sp23.M.PL.040","Wasmannia.auropunctata",46,"Unidentified sp23 M PL 040"
"M_041","Unidentified.sp21.M.PL.041","Allosmaitia.piplea",3,"Unidentified sp21 M PL 041"
"M_041","Unidentified.sp21.M.PL.041","Apis.mellifera",3,"Unidentified sp21 M PL 041"
"M_041","Unidentified.sp21.M.PL.041","Electrostrymon.angerona",3,"Unidentified sp21 M PL 041"
"M_041","Unidentified.sp21.M.PL.041","Unidentified.sp16.M.PL.041",3,"Unidentified sp21 M PL 041"
"M_041","Unidentified.sp21.M.PL.041","Unidentified.sp17.M.PL.041",2,"Unidentified sp21 M PL 041"
"M_041","Unidentified.sp21.M.PL.041","Unidentified.sp2.M.PL.041",5,"Unidentified sp21 M PL 041"
"M_041","Unidentified.sp21.M.PL.041","Unidentified.sp3.M.PL.041",14,"Unidentified sp21 M PL 041"
"M_041","Unidentified.sp21.M.PL.041","Unidentified.sp4.M.PL.041",17,"Unidentified sp21 M PL 041"
"M_041","Unidentified.sp21.M.PL.041","Unidentified.sp5.M.PL.041",2,"Unidentified sp21 M PL 041"
"M_041","Unidentified.sp21.M.PL.041","Unidentified.sp7.M.PL.041",1,"Unidentified sp21 M PL 041"
"M_046","Umbellifer.sp1.M.PL.046","Asilus.sp1.M.PL.046",1,"Umbellifer sp1 M PL 046"
"M_046","Umbellifer.sp1.M.PL.046","Bombus.terrestris",1,"Umbellifer sp1 M PL 046"
"M_046","Umbellifer.sp1.M.PL.046","Coleoptera.sp4.M.PL.046",1,"Umbellifer sp1 M PL 046"
"M_046","Umbellifer.sp1.M.PL.046","Diptera.sp11.M.PL.046",1,"Umbellifer sp1 M PL 046"
"M_046","Umbellifer.sp1.M.PL.046","Diptera.sp12.M.PL.046",1,"Umbellifer sp1 M PL 046"
"M_046","Umbellifer.sp1.M.PL.046","Diptera.sp15.M.PL.046",1,"Umbellifer sp1 M PL 046"
"M_046","Umbellifer.sp1.M.PL.046","Diptera.sp16.M.PL.046",1,"Umbellifer sp1 M PL 046"
"M_046","Umbellifer.sp1.M.PL.046","Diptera.sp17.M.PL.046",1,"Umbellifer sp1 M PL 046"
"M_046","Umbellifer.sp1.M.PL.046","Diptera.sp18.M.PL.046",1,"Umbellifer sp1 M PL 046"
"M_046","Umbellifer.sp1.M.PL.046","Diptera.sp2.M.PL.046",1,"Umbellifer sp1 M PL 046"
"M_046","Umbellifer.sp1.M.PL.046","Diptera.sp5.M.PL.046",1,"Umbellifer sp1 M PL 046"
"M_046","Umbellifer.sp1.M.PL.046","Diptera.sp7.M.PL.046",1,"Umbellifer sp1 M PL 046"
"M_046","Umbellifer.sp1.M.PL.046","Diptera.sp9.M.PL.046",1,"Umbellifer sp1 M PL 046"
"M_046","Umbellifer.sp1.M.PL.046","Ichneumonidae.1",1,"Umbellifer sp1 M PL 046"
"M_046","Umbellifer.sp1.M.PL.046","Lucilia.sp1.M.PL.046",1,"Umbellifer sp1 M PL 046"
"M_046","Umbellifer.sp1.M.PL.046","Meligethes.sp1.M.PL.046",1,"Umbellifer sp1 M PL 046"
"M_046","Umbellifer.sp1.M.PL.046","Musca.sp1.M.PL.046",1,"Umbellifer sp1 M PL 046"
"M_046","Umbellifer.sp1.M.PL.046","Rhynconycha.sp1.M.PL.046",1,"Umbellifer sp1 M PL 046"
"M_046","Umbellifer.sp1.M.PL.046","Unidentified.sp1.M.PL.046",1,"Umbellifer sp1 M PL 046"
"M_046","Umbellifer.sp1.M.PL.046","Unidentified.sp10.M.PL.046",1,"Umbellifer sp1 M PL 046"
"M_046","Umbellifer.sp1.M.PL.046","Unidentified.sp3.M.PL.046",1,"Umbellifer sp1 M PL 046"
"M_046","Umbellifer.sp1.M.PL.046","Unidentified.sp8.M.PL.046",1,"Umbellifer sp1 M PL 046"
"M_046","Umbellifer.sp1.M.PL.046","Vespula.sp1.M.PL.046",1,"Umbellifer sp1 M PL 046"
"M_046","Unidentified.sp27.M.PL.046","Apis.mellifera",1,"Unidentified sp27 M PL 046"
"M_046","Unidentified.sp27.M.PL.046","Cetonia.aurata",1,"Unidentified sp27 M PL 046"
"M_046","Unidentified.sp27.M.PL.046","Coleoptera.sp4.M.PL.046",1,"Unidentified sp27 M PL 046"
"M_046","Unidentified.sp27.M.PL.046","Diptera.sp11.M.PL.046",1,"Unidentified sp27 M PL 046"
"M_046","Unidentified.sp27.M.PL.046","Diptera.sp12.M.PL.046",1,"Unidentified sp27 M PL 046"
"M_046","Unidentified.sp27.M.PL.046","Diptera.sp15.M.PL.046",1,"Unidentified sp27 M PL 046"
"M_046","Unidentified.sp27.M.PL.046","Diptera.sp17.M.PL.046",1,"Unidentified sp27 M PL 046"
"M_046","Unidentified.sp27.M.PL.046","Diptera.sp2.M.PL.046",1,"Unidentified sp27 M PL 046"
"M_046","Unidentified.sp27.M.PL.046","Diptera.sp21.M.PL.046",1,"Unidentified sp27 M PL 046"
"M_046","Unidentified.sp27.M.PL.046","Diptera.sp5.M.PL.046",1,"Unidentified sp27 M PL 046"
"M_046","Unidentified.sp27.M.PL.046","Diptera.sp7.M.PL.046",1,"Unidentified sp27 M PL 046"
"M_046","Unidentified.sp27.M.PL.046","Diptera.sp9.M.PL.046",1,"Unidentified sp27 M PL 046"
"M_046","Unidentified.sp27.M.PL.046","Lepidoptera.sp14.M.PL.046",1,"Unidentified sp27 M PL 046"
"M_046","Unidentified.sp27.M.PL.046","Lucilia.sp1.M.PL.046",1,"Unidentified sp27 M PL 046"
"M_046","Unidentified.sp27.M.PL.046","Meligethes.sp1.M.PL.046",1,"Unidentified sp27 M PL 046"
"M_046","Unidentified.sp27.M.PL.046","Meligethes.sp2.M.PL.046",1,"Unidentified sp27 M PL 046"
"M_046","Unidentified.sp27.M.PL.046","Musca.sp1.M.PL.046",1,"Unidentified sp27 M PL 046"
"M_046","Unidentified.sp27.M.PL.046","Unidentified.sp1.M.PL.046",1,"Unidentified sp27 M PL 046"
"M_046","Unidentified.sp27.M.PL.046","Unidentified.sp10.M.PL.046",1,"Unidentified sp27 M PL 046"
"M_046","Unidentified.sp27.M.PL.046","Unidentified.sp3.M.PL.046",1,"Unidentified sp27 M PL 046"
"M_075.2","Tambourissa.peltata","Drosophila.AF8.sp3",0.29,"Tambourissa peltata"
"M_075.2","Tambourissa.peltata","Graphomya.AF8.maculata",0.4,"Tambourissa peltata"
"M_075.2","Tambourissa.peltata","Henotesia.AF8.narcissus",0.4,"Tambourissa peltata"
"M_075.2","Tambourissa.peltata","Zaprionus.AF8.tuberculatus",1.09,"Tambourissa peltata"
"M_075.2","Xyris.sp","Conocephalus.AF8.sp1",0.13,"Xyris sp"
"M_075.2","Xyris.sp","Paragus.AF8.borbonicus",0.2,"Xyris sp"
"M_079","Acantholippia.seriphioides","Ammophila.sp",20,"Acantholippia seriphioides"
"M_079","Acantholippia.seriphioides","Audre.sp",3,"Acantholippia seriphioides"
"M_079","Acantholippia.seriphioides","Augochloropsis.sp",45,"Acantholippia seriphioides"
"M_079","Acantholippia.seriphioides","Bibionidae.sp",1,"Acantholippia seriphioides"
"M_079","Acantholippia.seriphioides","Exoprosopa.sp1",46,"Acantholippia seriphioides"
"M_079","Acantholippia.seriphioides","Exoprosopa.sp2",29,"Acantholippia seriphioides"
"M_079","Acantholippia.seriphioides","Chrysanthrax.sp2",55,"Acantholippia seriphioides"
"M_079","Acantholippia.seriphioides","Parasystoechus.sp",6,"Acantholippia seriphioides"
"M_079","Acantholippia.seriphioides","Bombyliidae.sp9",2,"Acantholippia seriphioides"
"M_079","Acantholippia.seriphioides","Camponotus.mus",6,"Acantholippia seriphioides"
"M_079","Acantholippia.seriphioides","Centris.lyngbyei",15,"Acantholippia seriphioides"
"M_079","Acantholippia.seriphioides","Chaetocrania.sp",1,"Acantholippia seriphioides"
"M_079","Acantholippia.seriphioides","Copestilum.aricia",47,"Acantholippia seriphioides"
"M_079","Acantholippia.seriphioides","Copestilum.sp2",35,"Acantholippia seriphioides"
"M_079","Acantholippia.seriphioides","Diabrotica.sp",5,"Acantholippia seriphioides"
"M_079","Acantholippia.seriphioides","Dialictus.sp",3,"Acantholippia seriphioides"
"M_079","Acantholippia.seriphioides","Empididae.sp2",5,"Acantholippia seriphioides"
"M_079","Acantholippia.seriphioides","Chrysanthrax.sp1",22,"Acantholippia seriphioides"
"M_079","Acantholippia.seriphioides","Sarcophagidae.sp1",2,"Acantholippia seriphioides"
"M_079","Acantholippia.seriphioides","Strymon.eurytulus",2,"Acantholippia seriphioides"
"M_079","Acantholippia.seriphioides","Syrphus.sp1",11,"Acantholippia seriphioides"
"M_079","Acantholippia.seriphioides","Tachinidae.sp10",10,"Acantholippia seriphioides"
"M_079","Acantholippia.seriphioides","Tachinidae.sp5",1,"Acantholippia seriphioides"
"M_079","Acantholippia.seriphioides","Villa.sp",8,"Acantholippia seriphioides"
"M_079","Aloyssia.gratissima","Ammophila.sp",40,"Aloyssia gratissima"
"M_079","Aloyssia.gratissima","Apis.mellifera",435,"Aloyssia gratissima"
"M_079","Aloyssia.gratissima","Asilidae.sp1",1,"Aloyssia gratissima"
"M_079","Aloyssia.gratissima","Augochloropsis.sp",44,"Aloyssia gratissima"
"M_079","Aloyssia.gratissima","Bibionidae.sp",12,"Aloyssia gratissima"
"M_079","Aloyssia.gratissima","Bombus.opifex",5,"Aloyssia gratissima"
"M_079","Aloyssia.gratissima","Exoprosopa.sp1",3,"Aloyssia gratissima"
"M_079","Aloyssia.gratissima","Bombyliidae.sp15",2,"Aloyssia gratissima"
"M_079","Aloyssia.gratissima","Bombyliidae.sp9",2,"Aloyssia gratissima"
"M_079","Aloyssia.gratissima","Caenohalictus.sp",14,"Aloyssia gratissima"
"M_079","Aloyssia.gratissima","Chaetocrania.sp",9,"Aloyssia gratissima"
"M_079","Aloyssia.gratissima","Colletes.cognatus",2,"Aloyssia gratissima"
"M_079","Aloyssia.gratissima","Compsomyiops.fulvicrura",2,"Aloyssia gratissima"
"M_079","Aloyssia.gratissima","Copestilum.aricia",136,"Aloyssia gratissima"
"M_079","Aloyssia.gratissima","Copestilum.sp2",408,"Aloyssia gratissima"
"M_079","Aloyssia.gratissima","Copestilum.sp3",1,"Aloyssia gratissima"
"M_079","Aloyssia.gratissima","Dialictus.sp",1,"Aloyssia gratissima"
"M_079","Aloyssia.gratissima","Chrysanthrax.sp1",19,"Aloyssia gratissima"
"M_079","Aloyssia.gratissima","Hirmoneura.sp",3,"Aloyssia gratissima"
"M_079","Aloyssia.gratissima","Megachile.leucographa",6,"Aloyssia gratissima"
"M_079","Aloyssia.gratissima","Pyrgus.communis",5,"Aloyssia gratissima"
"M_079","Aloyssia.gratissima","Platycheirus.sp",1,"Aloyssia gratissima"
"M_079","Aloyssia.gratissima","Pseudagapostemon.sp",3,"Aloyssia gratissima"
"M_079","Aloyssia.gratissima","Sarcophagidae.sp1",2,"Aloyssia gratissima"
"M_079","Aloyssia.gratissima","Strymon.eurytulus",15,"Aloyssia gratissima"
"M_079","Aloyssia.gratissima","Syrphus.sp1",11,"Aloyssia gratissima"
"M_079","Aloyssia.gratissima","Syrphidae.sp6",1,"Aloyssia gratissima"
"M_079","Aloyssia.gratissima","Tachinidae.sp10",47,"Aloyssia gratissima"
"M_079","Aloyssia.gratissima","Tatochila.autodice",6,"Aloyssia gratissima"
"M_079","Aloyssia.gratissima","Xylocopa.atamisquensis",1,"Aloyssia gratissima"
"M_079","Argemone.subfusiformis","Apis.mellifera",15,"Argemone subfusiformis"
"M_079","Argemone.subfusiformis","Arhysosage.bifasciata",1,"Argemone subfusiformis"
"M_079","Argemone.subfusiformis","Augochloropsis.sp",12,"Argemone subfusiformis"
"M_079","Argemone.subfusiformis","Bombus.opifex",2,"Argemone subfusiformis"
"M_079","Argemone.subfusiformis","Cosmosatyrus.chilensis",1,"Argemone subfusiformis"
"M_079","Argemone.subfusiformis","Diadasia.patagonica",1,"Argemone subfusiformis"
"M_079","Argemone.subfusiformis","Dialictus.sp",10,"Argemone subfusiformis"
"M_079","Argemone.subfusiformis","Pyrgus.communis",1,"Argemone subfusiformis"
"M_079","Argemone.subfusiformis","Pseudagapostemon.sp",4,"Argemone subfusiformis"
"M_079","Argemone.subfusiformis","Strymon.eurytulus",1,"Argemone subfusiformis"
"M_079","Argemone.subfusiformis","Tatochila.autodice",1,"Argemone subfusiformis"
"M_079","Arjona.longifolia","Ammophila.sp",2,"Arjona longifolia"
"M_079","Arjona.longifolia","Ascia.monuste",3,"Arjona longifolia"
"M_079","Arjona.longifolia","Augochloropsis.sp",5,"Arjona longifolia"
"M_079","Arjona.longifolia","Bombyliidae.sp9",5,"Arjona longifolia"
"M_079","Arjona.longifolia","Caenohalictus.sp",1,"Arjona longifolia"
"M_079","Arjona.longifolia","Copestilum.aricia",2,"Arjona longifolia"
"M_079","Arjona.longifolia","Megachile.leucographa",1,"Arjona longifolia"
"M_079","Arjona.longifolia","Tachinidae.sp10",2,"Arjona longifolia"
"M_079","Arjona.longifolia","Villa.sp",1,"Arjona longifolia"
"M_079","Bougainvillea.spinosa","Augochloropsis.sp",1,"Bougainvillea spinosa"
"M_079","Bougainvillea.spinosa","Copestilum.aricia",51,"Bougainvillea spinosa"
"M_079","Bougainvillea.spinosa","Cosmosatyrus.chilensis",6,"Bougainvillea spinosa"
"M_079","Bougainvillea.spinosa","Hirmoneura.sp",2,"Bougainvillea spinosa"
"M_079","Bredemeyera.microphylla","Apis.mellifera",360,"Bredemeyera microphylla"
"M_079","Buddleja.mendozensis","Ammophila.sp",9,"Buddleja mendozensis"
"M_079","Buddleja.mendozensis","Asilidae.sp1",4,"Buddleja mendozensis"
"M_079","Buddleja.mendozensis","Audre.sp",11,"Buddleja mendozensis"
"M_079","Buddleja.mendozensis","Augochloropsis.sp",19,"Buddleja mendozensis"
"M_079","Buddleja.mendozensis","Bibionidae.sp",16,"Buddleja mendozensis"
"M_079","Buddleja.mendozensis","Exoprosopa.sp1",2,"Buddleja mendozensis"
