"genero","especie","orden","familia"
"","",NA,NA
"","Cleridae",NA,NA
"Acalyptrate","Acalyptrate sp1 M PL 062",NA,NA
"Acalyptus","Acalyptus sp1 M PL 044","Coleoptera","Curculionidae"
"Acamptocladius","Acamptocladius submontanus","Diptera","Chironomidae"
"Acanthosoma","Acanthosoma denticauda","Hemiptera","Acanthosomatidae"
"Acarina","Acarina sp1 M PL 020",NA,NA
"Acarina","Acarina sp4 M PL 020",NA,NA
"Achaea","Achaea finita","Lepidoptera","Erebidae"
"Achalarus","Achalarus lycidas","Lepidoptera","Hesperiidae"
"Achyra","Achyra similalis","Lepidoptera","Crambidae"
"Aclastus","Aclastus sp1 M PL 009","Hymenoptera","Ichneumonidae"
"Aclastus","Aclastus sp2 M PL 009","Hymenoptera","Ichneumonidae"
"Aclonempis","Aclonempis longipes","Diptera","Empididae"
"Acmaeodera","Acmaeodera bipunctata","Coleoptera","Buprestidae"
"Acmaeodera","Acmaeodera brevipes","Coleoptera","Buprestidae"
"Acmaeodera","Acmaeodera cisti","Coleoptera","Buprestidae"
"Acmaeodera","Acmaeodera pulchella","Coleoptera","Buprestidae"
"Acmaeodera","Acmaeodera boryi","Coleoptera","Buprestidae"
"Acmaeodera","Acmaeodera culta","Coleoptera","Buprestidae"
"Acmaeodera","Acmaeodera sp1 M PL 016","Coleoptera","Buprestidae"
"Acmaeops","Acmaeops longicornis","Coleoptera","Cerambycidae"
"Acmaeops","Acmaeops nigripennis","Coleoptera","Cerambycidae"
"Acmaeops","Acmaeops pratensis","Coleoptera","Cerambycidae"
"Acmaeops","Acmaeops directa","Coleoptera","Cerambycidae"
"Acmaeopsoides","Acmaeopsoides rufula","Coleoptera","Cerambycidae"
"Acontia","Acontia candefacta","Lepidoptera","Noctuidae"
"Acopsis","Acopsis viridicans","Hemiptera","Cicadellidae"
"Acrobasis","Acrobasis porphyrella","Lepidoptera","Pyralidae"
"Actea","Actea sp1 M PL 013","Lepidoptera","Notodontidae"
"Acteniceromorphus","Acteniceromorphus nipponensis","Coleoptera","Elateridae"
"Actina","Actina jezoensis","Diptera","Stratiomyidae"
"Actinoptera","Actinoptera mamulae","Diptera","Tephritidae"
