"","esp","ID","Orden.GBIF","Familia.GBIF","Genero.GBIF","Genero.original","planta","interaccion","especie","Aceptado","sp.armonizado","genero.x","genero.y","orden","familia"
"1","Agapostemon sp1 M PL 005","M_005","Rosales","Rosaceae","Prunus","Prunus","Prunus.demissa",1,"Agapostemon.sp1.M.PL.005",NA,"Agapostemon sp1 M PL 005","Agapostemon","Agapostemon","Hymenoptera","Halictidae"
"2","Agapostemon sp1 M PL 005","M_005","Brassicales","Brassicaceae","Stanleya","Stanleya","Stanleya.pinnatifida",1,"Agapostemon.sp1.M.PL.005",NA,"Agapostemon sp1 M PL 005","Agapostemon","Agapostemon","Hymenoptera","Halictidae"
"3","Agapostemon sp1 M PL 040","M_040","Gentianales","Rubiaceae","Portlandia","Portlandia","Portlandia.grandiflora",1,"Agapostemon.sp1.M.PL.040",NA,"Agapostemon sp1 M PL 040","Agapostemon","Agapostemon","Hymenoptera","Halictidae"
"4","Agapostemon sp1 M PL 040","M_040",NA,NA,NA,"Unidentified","Unidentified.sp15.M.PL.040",5,"Agapostemon.sp1.M.PL.040",NA,"Agapostemon sp1 M PL 040","Agapostemon","Agapostemon","Hymenoptera","Halictidae"
"5","Agapostemon splendens","M_005","Malvales","Malvaceae","Malvastrum","Malvastrum","Malvastrum.coccineum",1,"Agapostemon.splendens",NA,"Agapostemon splendens","Agapostemon","Agapostemon","Hymenoptera","Halictidae"
"6","Agapostemon splendens","M_005",NA,NA,NA,"Pentstemon","Pentstemon.glaber",1,"Agapostemon.splendens",NA,"Agapostemon splendens","Agapostemon","Agapostemon","Hymenoptera","Halictidae"
"7","Agapostemon splendens","M_005","Rosales","Rosaceae","Rosa","Rosa","Rosa.acicularis",1,"Agapostemon.splendens",NA,"Agapostemon splendens","Agapostemon","Agapostemon","Hymenoptera","Halictidae"
"8","Agapostemon splendens","M_005",NA,NA,NA,NA,"Taraxacum.officinale",1,"Agapostemon.splendens",NA,"Agapostemon splendens","Agapostemon","Agapostemon","Hymenoptera","Halictidae"
"9","Agapostemon splendens","M_062","Commelinales","Commelinaceae","Tradescantia","Tradescantia","Tradescantia.virginiana",1,"Agapostemon.splendens",NA,"Agapostemon splendens","Agapostemon","Agapostemon","Hymenoptera","Halictidae"
"10","Agapostemon texanus","M_062","Gentianales","Apocynaceae","Apocynum","Apocynum","Apocynum.cannabinum",1,"Agapostemon.texanus",NA,"Agapostemon texanus","Agapostemon","Agapostemon","Hymenoptera","Halictidae"
"11","Agapostemon texanus","M_062","Fabales","Fabaceae","Crotalaria","Crotalaria","Crotalaria.sagittalis",1,"Agapostemon.texanus",NA,"Agapostemon texanus","Agapostemon","Agapostemon","Hymenoptera","Halictidae"
"12","Agapostemon texanus","M_062","Gentianales","Apocynaceae","Asclepias","Asclepias","Asclepias.verticillata",1,"Agapostemon.texanus",NA,"Agapostemon texanus","Agapostemon","Agapostemon","Hymenoptera","Halictidae"
"13","Agapostemon texanus","M_062",NA,NA,NA,NA,"Asparagus.officinalis",1,"Agapostemon.texanus",NA,"Agapostemon texanus","Agapostemon","Agapostemon","Hymenoptera","Halictidae"
