"ID","Orden.GBIF","Familia.GBIF","Genero.GBIF","Genero.original","planta","interaccion","especie","esp","Aceptado","sp.armonizado"
"M_076",NA,NA,NA,NA,"AB",1,"Apis.mellifera","Apis mellifera","Apis mellifera","Apis mellifera"
"M_076",NA,NA,NA,NA,"AB",1,"Polybia.occidentalis","Polybia occidentalis",NA,"Polybia occidentalis"
"M_076",NA,NA,NA,NA,"AB",1,"Polybia.ignobilis","Polybia ignobilis",NA,"Polybia ignobilis"
"M_076",NA,NA,NA,NA,"AB",1,"Plebeia.sp","Plebeia sp",NA,"Plebeia sp"
"M_054","Dipsacales","Caprifoliaceae","Abelia","Abelia","Abelia.grandiflora",1,"Unidentified.sp83.M.PL.054","Unidentified sp83 M PL 054",NA,"Unidentified sp83 M PL 054"
"M_054","Dipsacales","Caprifoliaceae","Abelia","Abelia","Abelia.grandiflora",6,"Sphaerophoria.macrogaster","Sphaerophoria macrogaster",NA,"Sphaerophoria macrogaster"
"M_054","Dipsacales","Caprifoliaceae","Abelia","Abelia","Abelia.grandiflora",1,"Sphaerophoria.menthastri","Sphaerophoria menthastri",NA,"Sphaerophoria menthastri"
"M_054","Dipsacales","Caprifoliaceae","Abelia","Abelia","Abelia.grandiflora",1,"Unidentified.sp116.M.PL.054","Unidentified sp116 M PL 054",NA,"Unidentified sp116 M PL 054"
"M_053","Dipsacales","Caprifoliaceae","Abelia","Abelia","Abelia.serrata",1,"Euthyneura.sp1.M.PL.053","Euthyneura sp1 M PL 053",NA,"Euthyneura sp1 M PL 053"
"M_053","Dipsacales","Caprifoliaceae","Abelia","Abelia","Abelia.serrata",1,"Macrolagria.robusticeps","Macrolagria robusticeps",NA,"Macrolagria robusticeps"
"M_053","Dipsacales","Caprifoliaceae","Abelia","Abelia","Abelia.serrata",1,"Apis.mellifera","Apis mellifera","Apis mellifera","Apis mellifera"
"M_053","Dipsacales","Caprifoliaceae","Abelia","Abelia","Abelia.serrata",1,"Unidentified.sp14.M.PL.053","Unidentified sp14 M PL 053",NA,"Unidentified sp14 M PL 053"
"M_053","Dipsacales","Caprifoliaceae","Abelia","Abelia","Abelia.serrata",1,"Myrmica.sp1.M.PL.053","Myrmica sp1 M PL 053",NA,"Myrmica sp1 M PL 053"
"M_053","Dipsacales","Caprifoliaceae","Abelia","Abelia","Abelia.serrata",1,"Helophilus.virgatus","Helophilus virgatus",NA,"Helophilus virgatus"
"M_053","Dipsacales","Caprifoliaceae","Abelia","Abelia","Abelia.serrata",1,"Philopota.nigroaenea","Philopota nigroaenea",NA,"Philopota nigroaenea"
"M_053","Dipsacales","Caprifoliaceae","Abelia","Abelia","Abelia.serrata",1,"Unidentified.sp21.M.PL.053","Unidentified sp21 M PL 053",NA,"Unidentified sp21 M PL 053"
"M_053","Dipsacales","Caprifoliaceae","Abelia","Abelia","Abelia.serrata",1,"Lasioglossum.sp1.M.PL.053","Lasioglossum sp1 M PL 053",NA,"Lasioglossum sp1 M PL 053"
"M_053","Dipsacales","Caprifoliaceae","Abelia","Abelia","Abelia.serrata",1,"Ceratina.japonica","Ceratina japonica",NA,"Ceratina japonica"
"M_053","Dipsacales","Caprifoliaceae","Abelia","Abelia","Abelia.serrata",1,"Unidentified.sp45.M.PL.053","Unidentified sp45 M PL 053",NA,"Unidentified sp45 M PL 053"
"M_054","Dipsacales","Caprifoliaceae","Abelia","Abelia","Abelia.sp1.M.PL.054",8,"Lasioglossum.occidens","Lasioglossum occidens",NA,"Lasioglossum occidens"
"M_054","Dipsacales","Caprifoliaceae","Abelia","Abelia","Abelia.sp1.M.PL.054",1,"Parnara.guttata","Parnara guttata",NA,"Parnara guttata"
"M_026","Malvales","Malvaceae","Abelmoschus","Abelmoschus","Abelmoschus.manihot",1,"Xylocopa.darwini","Xylocopa darwini",NA,"Xylocopa darwini"
"M_026","Malvales","Malvaceae","Abutilon","Abutilon","Abutilon.depauperatum",1,"Xylocopa.darwini","Xylocopa darwini",NA,"Xylocopa darwini"
"M_072","Malvales","Malvaceae","Abutilon","Abutilon","Abutilon.terminale",1,"Allograpta.sp1.M.PL.072","Allograpta sp1 M PL 072",NA,"Allograpta sp1 M PL 072"
"M_072","Malvales","Malvaceae","Abutilon","Abutilon","Abutilon.terminale",1,"Gaesischia.sp1.M.PL.072","Gaesischia sp1 M PL 072",NA,"Gaesischia sp1 M PL 072"
"M_072","Malvales","Malvaceae","Abutilon","Abutilon","Abutilon.terminale",1,"Augochlorella.ephyra","Augochlorella ephyra",NA,"Augochlorella ephyra"
"M_072","Malvales","Malvaceae","Abutilon","Abutilon","Abutilon.terminale",1,"Toxomerus.sp1.M.PL.072","Toxomerus sp1 M PL 072",NA,"Toxomerus sp1 M PL 072"
"M_072","Malvales","Malvaceae","Abutilon","Abutilon","Abutilon.terminale",1,"Bombyliidae.sp2.M.PL.072","Bombyliidae sp2 M PL 072",NA,"Bombyliidae sp2 M PL 072"
"M_072","Malvales","Malvaceae","Abutilon","Abutilon","Abutilon.terminale",1,"Augochlora.semiramis","Augochlora semiramis",NA,"Augochlora semiramis"
