"Genero.original","Genero.especie","Orden.GBIF","Familia.GBIF","Genero.GBIF","genero.es.igual","n.fam"
"Abelia","Abelia.grandiflora","Dipsacales","Caprifoliaceae","Abelia",TRUE,1
"Abelia","Abelia.sp1.M.PL.054","Dipsacales","Caprifoliaceae","Abelia",TRUE,1
"Abelia","Abelia.serrata","Dipsacales","Caprifoliaceae","Abelia",TRUE,1
"Abelmoschus","Abelmoschus.manihot","Malvales","Malvaceae","Abelmoschus",TRUE,1
"Abutilon","Abutilon.terminale","Malvales","Malvaceae","Abutilon",TRUE,1
"Abutilon","Abutilon.theophrasti","Malvales","Malvaceae","Abutilon",TRUE,1
"Abutilon","Abutilon.depauperatum","Malvales","Malvaceae","Abutilon",TRUE,1
"Acacia","Acacia.insulae-iacobi","Fabales","Fabaceae","Acacia",TRUE,1
"Acacia","Acacia.macracantha","Fabales","Fabaceae","Acacia",TRUE,1
"Acaena","Acaena.pinnatifida","Rosales","Rosaceae","Acaena",TRUE,1
"Acanthostachys","Acanthostachys.strobilaceae","Poales","Bromeliaceae","Acanthostachys",TRUE,1
"Acanthus","Acanthus.spinosus","Lamiales","Acanthaceae","Acanthus",TRUE,1
"Acer","Acer.ukurunduense","Sapindales","Sapindaceae","Acer",TRUE,1
"Acer","Acer.shirasawanum","Sapindales","Sapindaceae","Acer",TRUE,1
"Acer","Acer.rufinerve","Sapindales","Sapindaceae","Acer",TRUE,1
"Acer","Acer.saccharinum","Sapindales","Sapindaceae","Acer",TRUE,1
"Acer","Acer.insulae","Sapindales","Sapindaceae","Acer",TRUE,1
"Acer","Acer.japonicum","Sapindales","Sapindaceae","Acer",TRUE,1
"Acer","Acer.carpinifolium","Sapindales","Sapindaceae","Acer",TRUE,1
"Acer","Acer.negundo","Sapindales","Sapindaceae","Acer",TRUE,1
"Achillea","Achillea.alpina.","Asterales","Asteraceae","Achillea",TRUE,1
"Achillea","Achillea.millefolium","Asterales","Asteraceae","Achillea",TRUE,1
"Achyranthes","Achyranthes.bidentata","Caryophyllales","Amaranthaceae","Achyranthes",TRUE,1
"Achyrocline","Achyrocline.satureoides","Asterales","Asteraceae","Achyrocline",TRUE,1
"Aciphylla","Aciphylla.glacialis",NA,NA,"Aciphylla",TRUE,2
"Aciphylla","Aciphylla.glacialis","Apiales","Apiaceae","Aciphylla",TRUE,2
"Aciphylla","Aciphylla.scott-thompsoni",NA,NA,"Aciphylla",TRUE,2
"Aciphylla","Aciphylla.scott-thompsoni","Apiales","Apiaceae","Aciphylla",TRUE,2
"Aciphylla","Aciphylla.simplicifolia",NA,NA,"Aciphylla",TRUE,2
"Aciphylla","Aciphylla.simplicifolia","Apiales","Apiaceae","Aciphylla",TRUE,2
"Aciphylla","Aciphylla.subflavellata",NA,NA,"Aciphylla",TRUE,2
"Aciphylla","Aciphylla.subflavellata","Apiales","Apiaceae","Aciphylla",TRUE,2
"Aconitum","Aconitum.japonicum","Ranunculales","Ranunculaceae","Aconitum",TRUE,1
"Aconitum","Aconitum.senanense","Ranunculales","Ranunculaceae","Aconitum",TRUE,1
"Aconitum","Aconitum.columbianum","Ranunculales","Ranunculaceae","Aconitum",TRUE,1
"Aconitum","Aconitum.japonicum.montanum","Ranunculales","Ranunculaceae","Aconitum",TRUE,1
"Actea","Actea.alba",NA,NA,NA,TRUE,1
"Actinidia","Actinidia.arguta","Ericales","Theaceae","Actinidia",TRUE,2
"Actinidia","Actinidia.arguta","Ericales","Actinidiaceae","Actinidia",TRUE,2
"Actinidia","Actinidia.rufa","Ericales","Theaceae","Actinidia",TRUE,2
"Actinidia","Actinidia.rufa","Ericales","Actinidiaceae","Actinidia",TRUE,2
"Actinomeris","Actinomeris.alternifolia",NA,NA,NA,TRUE,1
"Adenocarpus","Adenocarpus.foliosus","Fabales","Fabaceae","Adenocarpus",TRUE,1
"Adenocarpus","Adenocarpus.viscosus","Fabales","Fabaceae","Adenocarpus",TRUE,1
"Adenocaulon","Adenocaulon.himalaicum","Asterales","Asteraceae","Adenocaulon",TRUE,1
"Adenophora","Adenophora.triphylla","Asterales","Campanulaceae","Adenophora",TRUE,1
"Adesmia","Adesmia.glomerula","Fabales","Fabaceae","Adesmia",TRUE,1
"Adesmia","Adesmia.aconcaguensis","Fabales","Fabaceae","Adesmia",TRUE,1
"Adesmia","Adesmia.brachysemon","Fabales","Fabaceae","Adesmia",TRUE,1
"Adesmia","Adesmia.conferta","Fabales","Fabaceae","Adesmia",TRUE,1
"Adesmia","Adesmia.exilis","Fabales","Fabaceae","Adesmia",TRUE,1
"Adesmia","Adesmia.radicifolia","Fabales","Fabaceae","Adesmia",TRUE,1
"Adesmia","Adesmia.montana","Fabales","Fabaceae","Adesmia",TRUE,1
"Adesmia","Adesmia.incana","Fabales","Fabaceae","Adesmia",TRUE,1
"Adesmia","Adesmia.haemisphaerica","Fabales","Fabaceae","Adesmia",TRUE,1
"Adesmia","Adesmia.capitellata","Fabales","Fabaceae","Adesmia",TRUE,1
"Adesmia","Adesmia.retrofracta","Fabales","Fabaceae","Adesmia",TRUE,1
"Aechmea","Aechmea.paniculigera","Poales","Bromeliaceae","Aechmea",TRUE,1
"Aechmea","Aechmea.bromeliifolia","Poales","Bromeliaceae","Aechmea",TRUE,1
"Aechmea","Aechmea.lingulata","Poales","Bromeliaceae","Aechmea",TRUE,1
"Aechmea","Aechmea.cylindrata","Poales","Bromeliaceae","Aechmea",TRUE,1
"Aechmea","Aechmea.mutica","Poales","Bromeliaceae","Aechmea",TRUE,1
"Aechmea","Aechmea.nudicaulis","Poales","Bromeliaceae","Aechmea",TRUE,1
"Aechmea","Aechmea.pineliana","Poales","Bromeliaceae","Aechmea",TRUE,1
"Aechmea","Aechmea.araneosa","Poales","Bromeliaceae","Aechmea",TRUE,1
"Aechmea","Aechmea.triangularis","Poales","Bromeliaceae","Aechmea",TRUE,1
"Aechmea","Aechmea.victoriana","Poales","Bromeliaceae","Aechmea",TRUE,1
"Aeginetia","Aeginetia.indica","Lamiales","Orobanchaceae","Aeginetia",TRUE,1
"Aegopodium","Aegopodium.podagraria","Apiales","Apiaceae","Aegopodium",TRUE,1
"Aeschynomene","Aeschynomene.pratensis","Fabales","Fabaceae","Aeschynomene",TRUE,1
"Aeschynomene","Aeschynomene.indica","Fabales","Fabaceae","Aeschynomene",TRUE,1
"Aesculus","Aesculus.hippocastanum","Sapindales","Sapindaceae","Aesculus",TRUE,1
"Aesculus","Aesculus.glabra","Sapindales","Sapindaceae","Aesculus",TRUE,1
"Aesculus","Aesculus.sylvatica","Sapindales","Sapindaceae","Aesculus",TRUE,1
"Aesculus","Aesculus.turbinata","Sapindales","Sapindaceae","Aesculus",TRUE,1
"Aesculus","Aesculus.camea","Sapindales","Sapindaceae","Aesculus",TRUE,1
"Aetheorrina","Aetheorrina.bulbosa",NA,NA,NA,TRUE,1
"Aethusa","Aethusa.cynapium","Apiales","Apiaceae","Aethusa",TRUE,1
"Agastache","Agastache.scrophulariaefolia","Lamiales","Lamiaceae","Agastache",TRUE,1
"Agastache","Agastache.nepetoides","Lamiales","Lamiaceae","Agastache",TRUE,1
"Agauria","Agauria.salicifolia",NA,NA,NA,TRUE,1
"Ageratum","Ageratum.houstonianum","Asterales","Asteraceae","Ageratum",TRUE,2
"Ageratum","Ageratum.houstonianum","Lamiales","Scrophulariaceae","Ageratum",TRUE,2
"Ageratum","Ageratum.conyzoides","Asterales","Asteraceae","Ageratum",TRUE,2
"Ageratum","Ageratum.conyzoides","Lamiales","Scrophulariaceae","Ageratum",TRUE,2
"Ageretina","Ageretina.adenophora",NA,NA,NA,TRUE,1
"Agrimonia","Agrimonia.striata","Rosales","Rosaceae","Agrimonia",TRUE,1
"Agrimonia","Agrimonia.eupatoria","Rosales","Rosaceae","Agrimonia",TRUE,1
"Agrimonia","Agrimonia.pilosa","Rosales","Rosaceae","Agrimonia",TRUE,1
"Agrostis","Agrostis.clavata","Poales","Poaceae","Agrostis",TRUE,1
"Aichryson","Aichryson.laxum","Saxifragales","Crassulaceae","Aichryson",TRUE,1
"Ainsliaea","Ainsliaea.acerifolia","Asterales","Asteraceae","Ainsliaea",TRUE,1
"Ajuga","Ajuga.reptans","Lamiales","Lamiaceae","Ajuga",TRUE,1
"Ajuga","Ajuga.dictyocarpa","Lamiales","Lamiaceae","Ajuga",TRUE,1
"Akebia","Akebia.quinata","Ranunculales","Lardizabalaceae","Akebia",TRUE,1
"Alangium","Alangium.platanifolium","Cornales","Cornaceae","Alangium",TRUE,1
"Albizzia","Albizzia.julibrissin","Fabales","Fabaceae","Albizzia",TRUE,1
"Alcea","Alcea.pallida","Malvales","Malvaceae","Alcea",TRUE,1
"Aletris","Aletris.luteoviridis","Dioscoreales","Nartheciaceae","Aletris",TRUE,1
"Alisma","Alisma.canaliculatum","Alismatales","Alismataceae","Alisma",TRUE,1
"Alisma","Alisma.plantago.aquatica","Alismatales","Alismataceae","Alisma",TRUE,1
"Alium","Alium.grayi",NA,NA,NA,TRUE,1
"Alkanna","Alkanna.tinctoria","Myrtales","Lythraceae","Alkanna",TRUE,2
"Alkanna","Alkanna.tinctoria","Boraginales","Boraginaceae","Alkanna",TRUE,2
