"S","OS","WN","ST","periodo","periodo.n"
0.555555555555556,0,0.714285714285714,0.714285714285714,"1-2",1
0.333333333333333,0,0.4,0.4,"2-3",2
0.384615384615385,0,0.454545454545455,0.454545454545455,"3-4",3
0.529411764705882,0,0.6,0.6,"4-5",4
0.444444444444444,0,0.5,0.5,"5-6",5
0.666666666666667,0,0.714285714285714,0.714285714285714,"6-7",6
0.666666666666667,0,0.714285714285714,0.714285714285714,"7-8",7
0.473684210526316,0,0.529411764705882,0.529411764705882,"8-9",8
0.6,0,0.692307692307692,0.692307692307692,"9-10",9
0.454545454545455,0,0.555555555555556,0.555555555555556,"10-11",10
0.538461538461539,0,0.636363636363636,0.636363636363636,"11-12",11
0.8,NA,1,NA,"12-13",12
0.333333333333333,0,0.428571428571429,0.428571428571429,"13-14",13
0.466666666666667,0,0.538461538461539,0.538461538461539,"14-15",14
0.6,0,0.692307692307692,0.692307692307692,"15-16",15
0.384615384615385,0,0.454545454545455,0.454545454545455,"16-17",16
0.444444444444444,0,0.5,0.5,"17-18",17
0.444444444444444,0,0.5,0.5,"18-19",18
0.454545454545455,0,0.555555555555556,0.555555555555556,"19-20",19
0.666666666666667,NA,1,NA,"20-21",20
0.714285714285714,NA,1,NA,"21-22",21
0.454545454545455,0,0.555555555555556,0.555555555555556,"22-23",22
0.666666666666667,0,0.8,0.8,"23-24",23
