"Family","Genus","Genus_and_species","DIT","FuenteDatos"
"Andrenidae","Andrena","Andrena abbreviata",2.1,"Europa"
"Andrenidae","Andrena","Andrena aberrans",2.93,"Europa"
"Andrenidae","Andrena","Andrena abjecta",2.58,"Europa"
"Andrenidae","Andrena","Andrena abrupta",1.84,"Europa"
"Andrenidae","Andrena","Andrena aciculata",1.31,"Europa"
"Andrenidae","Andrena","Andrena acuta",1.55,"Europa"
"Andrenidae","Andrena","Andrena aegyptiaca",1.63,"Europa"
"Andrenidae","Andrena","Andrena aeneiventris",1.42,"Europa"
"Andrenidae","Andrena","Andrena aerinifrons",2.13,"Europa"
"Andrenidae","Andrena","Andrena afrensis",2.97,"Europa"
"Andrenidae","Andrena","Andrena afzeliella",2.25,"Europa"
"Andrenidae","Andrena","Andrena agilissima",3.02,"Europa"
"Andrenidae","Andrena","Andrena agnata",2.23,"Europa"
"Andrenidae","Andrena","Andrena albopunctata",3.15,"Europa"
"Andrenidae","Andrena","Andrena alfkenella",1.47,"Europa"
"Andrenidae","Andrena","Andrena alfkenelloides",1.44,"Europa"
"Andrenidae","Andrena","Andrena allosa",1.94,"Europa"
"Andrenidae","Andrena","Andrena alluaudi",1.97,"Europa"
"Andrenidae","Andrena","Andrena alutacea",2.13,"Europa"
"Andrenidae","Andrena","Andrena ampla",2.2,"Europa"
"Andrenidae","Andrena","Andrena anatolica",1.94,"Europa"
"Andrenidae","Andrena","Andrena angustior",1.98,"Europa"
"Andrenidae","Andrena","Andrena anthrisci",1.3,"Europa"
"Andrenidae","Andrena","Andrena antigana",2.36,"Europa"
"Andrenidae","Andrena","Andrena apicata",2.84,"Europa"
"Andrenidae","Andrena","Andrena apiformis",3.17,"Europa"
"Andrenidae","Andrena","Andrena argentata",2,"Europa"
"Andrenidae","Andrena","Andrena asiatica",2.34,"Europa"
"Andrenidae","Andrena","Andrena asperrima",2.87,"Europa"
"Andrenidae","Andrena","Andrena asperula",2.28,"Europa"
"Andrenidae","Andrena","Andrena assimilis",3.29,"Europa"
"Andrenidae","Andrena","Andrena astica",2.24,"Europa"
"Andrenidae","Andrena","Andrena athenensis",2.3,"Europa"
"Andrenidae","Andrena","Andrena atrata",1.73,"Europa"
"Andrenidae","Andrena","Andrena atrotegularis",3.36,"Europa"
"Andrenidae","Andrena","Andrena avara",1.95,"Europa"
"Andrenidae","Andrena","Andrena barbilabris",2.32,"Europa"
"Andrenidae","Andrena","Andrena batava",2.42,"Europa"
"Andrenidae","Andrena","Andrena bayona",1.49,"Europa"
"Andrenidae","Andrena","Andrena bellidis",1.7,"Europa"
"Andrenidae","Andrena","Andrena benoisti",2.66,"Europa"
"Andrenidae","Andrena","Andrena bicolor",2.01,"Europa"
"Andrenidae","Andrena","Andrena bicolorata",2.83,"Europa"
"Andrenidae","Andrena","Andrena biguttata",2.13,"Europa"
"Andrenidae","Andrena","Andrena bimaculata",2.71,"Europa"
"Andrenidae","Andrena","Andrena binominata",2.24,"Europa"
"Andrenidae","Andrena","Andrena bisulcata",1.62,"Europa"
"Andrenidae","Andrena","Andrena blanda",2.34,"Europa"
"Andrenidae","Andrena","Andrena boyerella",2.11,"Europa"
"Andrenidae","Andrena","Andrena braunsiana",2.33,"Europa"
"Andrenidae","Andrena","Andrena brumanensis",1.75,"Europa"
"Andrenidae","Andrena","Andrena bucephala",2.17,"Europa"
"Andrenidae","Andrena","Andrena canohirta",1.5,"Europa"
"Andrenidae","Andrena","Andrena caprimulga",1.87,"Europa"
"Andrenidae","Andrena","Andrena catula",1.7,"Europa"
"Andrenidae","Andrena","Andrena cervina",1.4,"Europa"
"Andrenidae","Andrena","Andrena chalcogastra",2.41,"Europa"
"Andrenidae","Andrena","Andrena chelma",1.1,"Europa"
"Andrenidae","Andrena","Andrena chersona",1.1,"Europa"
