"ID","familia","sp.armonizado","Grado","n.familia","GFE","n.plantas.ID","n.familias.ID","Grado.relativo","Grado.relativo.familias","Z_Grado"
"M_001","Andrenidae","Liphanthus sabulosus",3,3,0.666666666666667,44,17,0.0681818181818182,0.176470588235294,-0.19712127461776
"M_001","Andrenidae","Liphanthus sp2",1,1,0,44,17,0.0227272727272727,0.0588235294117647,-0.680386334970978
"M_001","Apidae","Alloscirtetica gayi",2,2,0.5,44,17,0.0454545454545455,0.117647058823529,-0.438753804794369
"M_001","Apidae","Alloscirtetica rufitarsis",3,3,0.666666666666667,44,17,0.0681818181818182,0.176470588235294,-0.19712127461776
"M_001","Apidae","Alloscirtetica sp",9,6,0.6875,44,17,0.204545454545455,0.352941176470588,1.25267390644189
"M_001","Apidae","Anthophora incerta",3,3,0.666666666666667,44,17,0.0681818181818182,0.176470588235294,-0.19712127461776
"M_001","Apidae","Anthophora sp",2,2,0.5,44,17,0.0454545454545455,0.117647058823529,-0.438753804794369
"M_001","Apidae","Bombus dahlbomii",7,5,0.72,44,17,0.159090909090909,0.294117647058824,0.769408846088676
"M_001","Apidae","Centris cineraria",15,7,0.764444444444444,44,17,0.340909090909091,0.411764705882353,2.70246908750155
"M_001","Apidae","Centris nigerrima",4,3,0.625,44,17,0.0909090909090909,0.176470588235294,0.044511255558849
"M_001","Apidae","Centris sp",1,1,0,44,17,0.0227272727272727,0.0588235294117647,-0.680386334970978
"M_001","Apidae","Isepeolus niveiventris",1,1,1,44,17,0.0227272727272727,0.0588235294117647,-0.680386334970978
"M_001","Apidae","Mesonychium gayi",2,1,0,44,17,0.0454545454545455,0.0588235294117647,-0.438753804794369
"M_001","Apidae","Svastrides melanura",1,1,0,44,17,0.0227272727272727,0.0588235294117647,-0.680386334970978
"M_001","Apidae","Tapinotaspis caerulea",1,1,0,44,17,0.0227272727272727,0.0588235294117647,-0.680386334970978
"M_001","Apidae","Tapinotaspis herbsti",1,1,0,44,17,0.0227272727272727,0.0588235294117647,-0.680386334970978
"M_001","Colletidae","Cadeguala occidentalis",4,3,0.625,44,17,0.0909090909090909,0.176470588235294,0.044511255558849
"M_001","Colletidae","Caupolicana dimidiata",1,1,0,44,17,0.0227272727272727,0.0588235294117647,-0.680386334970978
"M_001","Colletidae","Chilicola sp",2,2,0,44,17,0.0454545454545455,0.117647058823529,-0.438753804794369
"M_001","Colletidae","Colletes araucariae",1,1,0,44,17,0.0227272727272727,0.0588235294117647,-0.680386334970978
"M_001","Colletidae","Colletes fulvipes",1,1,0,44,17,0.0227272727272727,0.0588235294117647,-0.680386334970978
"M_001","Colletidae","Colletes sp",1,1,0,44,17,0.0227272727272727,0.0588235294117647,-0.680386334970978
"M_001","Halictidae","Caenohalictus sp",11,7,0.78125,44,17,0.25,0.411764705882353,1.73593896679511
"M_001","Halictidae","Caenohalictus sp2",1,1,0,44,17,0.0227272727272727,0.0588235294117647,-0.680386334970978
"M_001","Halictidae","Caenohalictus sp3",1,1,0,44,17,0.0227272727272727,0.0588235294117647,-0.680386334970978
"M_001","Halictidae","Corynura sp",1,1,0,44,17,0.0227272727272727,0.0588235294117647,-0.680386334970978
"M_001","Halictidae","Dialictus sp",1,1,0,44,17,0.0227272727272727,0.0588235294117647,-0.680386334970978
"M_001","Halictidae","Ruizantheda mutabilis",2,2,0.5,44,17,0.0454545454545455,0.117647058823529,-0.438753804794369
"M_001","Megachilidae","Anthidium adriani",1,1,0,44,17,0.0227272727272727,0.0588235294117647,-0.680386334970978
"M_001","Megachilidae","Anthidium chilensis",8,7,0.833333333333333,44,17,0.181818181818182,0.411764705882353,1.01104137626528
"M_001","Megachilidae","Anthidium decaspilum",4,2,0.375,44,17,0.0909090909090909,0.117647058823529,0.044511255558849
"M_001","Megachilidae","Anthidium funereum",7,4,0.56,44,17,0.159090909090909,0.235294117647059,0.769408846088676
"M_001","Megachilidae","Anthidium gayi",5,3,0.56,44,17,0.113636363636364,0.176470588235294,0.286143785735458
"M_001","Megachilidae","Anthidium sp",1,1,0,44,17,0.0227272727272727,0.0588235294117647,-0.680386334970978
"M_001","Megachilidae","Coelioxys sp",1,1,1,44,17,0.0227272727272727,0.0588235294117647,-0.680386334970978
"M_001","Megachilidae","Megachile semirufa",16,10,0.85207100591716,44,17,0.363636363636364,0.588235294117647,2.94410161767816
"M_001","Megachilidae","Megachile sp1",13,9,0.864197530864198,44,17,0.295454545454545,0.529411764705882,2.21920402714833
"M_001","Megachilidae","Megachile sp2",6,5,0.72,44,17,0.136363636363636,0.294117647058824,0.527776315912067
"M_002","Apidae","Alloscirtetica rufitarsis",1,1,0,21,12,0.0476190476190476,0.0833333333333333,-0.755704334827634
"M_002","Apidae","Alloscirtetica sp",2,1,0,21,12,0.0952380952380952,0.0833333333333333,-0.312705241997642
"M_002","Apidae","Bombus dahlbomii",8,5,0.666666666666667,21,12,0.380952380952381,0.416666666666667,2.34528931498231
"M_002","Apidae","Centris cana",1,1,0,21,12,0.0476190476190476,0.0833333333333333,-0.755704334827634
"M_002","Apidae","Centris cineraria",3,1,0,21,12,0.142857142857143,0.0833333333333333,0.130293850832351
"M_002","Apidae","Centris nigerrima",2,1,0,21,12,0.0952380952380952,0.0833333333333333,-0.312705241997642
"M_002","Colletidae","Chilicola sp",1,1,1,21,12,0.0476190476190476,0.0833333333333333,-0.755704334827634
"M_002","Colletidae","Colletes fulvipes",1,1,0,21,12,0.0476190476190476,0.0833333333333333,-0.755704334827634
"M_002","Colletidae","Colletes sp",1,1,0,21,12,0.0476190476190476,0.0833333333333333,-0.755704334827634
"M_002","Halictidae","Caenohalictus sp",8,7,0.816326530612245,21,12,0.380952380952381,0.583333333333333,2.34528931498231
"M_002","Megachilidae","Anthidium funereum",3,2,0,21,12,0.142857142857143,0.166666666666667,0.130293850832351
"M_002","Megachilidae","Anthidium sp",2,2,0.5,21,12,0.0952380952380952,0.166666666666667,-0.312705241997642
"M_002","Megachilidae","Megachile semirufa",4,4,0.666666666666667,21,12,0.19047619047619,0.333333333333333,0.573292943662343
"M_002","Megachilidae","Megachile sp1",4,4,0.666666666666667,21,12,0.19047619047619,0.333333333333333,0.573292943662343
"M_002","Megachilidae","Megachile sp2",1,1,0,21,12,0.0476190476190476,0.0833333333333333,-0.755704334827634
