"ID","sp.armonizado","Grado","Grado_max","Grado_relativo","Z_Grado"
"M_001","Agromyzidae sp1",1,32,0.03125,-0.532919194443825
"M_001","Agromyzidae sp2",1,32,0.03125,-0.532919194443825
"M_001","Alloscirtetica gayi",2,32,0.0625,-0.342313059204793
"M_001","Alloscirtetica rufitarsis",3,32,0.09375,-0.15170692396576
"M_001","Alloscirtetica sp",9,32,0.28125,0.991929887468433
"M_001","Andinus venustus",1,32,0.03125,-0.532919194443825
"M_001","Anthidium adriani",1,32,0.03125,-0.532919194443825
"M_001","Anthidium chilensis",8,32,0.25,0.801323752229401
"M_001","Anthidium decaspilum",4,32,0.125,0.0388992112732718
"M_001","Anthidium funereum",7,32,0.21875,0.610717616990369
"M_001","Anthidium gayi",5,32,0.15625,0.229505346512304
"M_001","Anthidium sp",1,32,0.03125,-0.532919194443825
"M_001","Anthomyiidae sp2",2,32,0.0625,-0.342313059204793
"M_001","Anthomyiidae sp4",1,32,0.03125,-0.532919194443825
"M_001","Anthophora incerta",3,32,0.09375,-0.15170692396576
"M_001","Anthophora sp",2,32,0.0625,-0.342313059204793
"M_001","Auca coctei pales",11,32,0.34375,1.3731421579465
"M_001","Bibionidae sp1",1,32,0.03125,-0.532919194443825
"M_001","Bibionidae sp2",1,32,0.03125,-0.532919194443825
"M_001","Bombus dahlbomii",7,32,0.21875,0.610717616990369
"M_001","Bombyllidae ni",1,32,0.03125,-0.532919194443825
"M_001","Cadeguala occidentalis",4,32,0.125,0.0388992112732718
"M_001","Caenohalictus sp",11,32,0.34375,1.3731421579465
"M_001","Caenohalictus sp2",1,32,0.03125,-0.532919194443825
"M_001","Caenohalictus sp3",1,32,0.03125,-0.532919194443825
"M_001","Caupolicana dimidiata",1,32,0.03125,-0.532919194443825
"M_001","Centris cineraria",15,32,0.46875,2.13556669890263
"M_001","Centris nigerrima",4,32,0.125,0.0388992112732718
"M_001","Centris sp",1,32,0.03125,-0.532919194443825
"M_001","Chaetodemoticus chilensis",2,32,0.0625,-0.342313059204793
"M_001","Chilicola sp",2,32,0.0625,-0.342313059204793
"M_001","Chilimelissa sp",1,32,0.03125,-0.532919194443825
"M_001","Coelioxys sp",1,32,0.03125,-0.532919194443825
"M_001","Coleoptera ni",6,32,0.1875,0.420111481751336
"M_001","Colletes araucariae",1,32,0.03125,-0.532919194443825
"M_001","Colletes fulvipes",1,32,0.03125,-0.532919194443825
"M_001","Colletes sp",1,32,0.03125,-0.532919194443825
"M_001","Corynura sp",1,32,0.03125,-0.532919194443825
"M_001","Dasybasis sp1",2,32,0.0625,-0.342313059204793
"M_001","Dasybasis sp2",1,32,0.03125,-0.532919194443825
"M_001","Dialictus sp",1,32,0.03125,-0.532919194443825
"M_001","Diptera ni",27,32,0.84375,4.42284032177101
"M_001","Elaphroptera relicta",1,32,0.03125,-0.532919194443825
"M_001","Eristalis tenax",1,32,0.03125,-0.532919194443825
"M_001","Etcheverrius chilensis",9,32,0.28125,0.991929887468433
"M_001","Eurygostomyia philippii",2,32,0.0625,-0.342313059204793
"M_001","Faunula leucoglene",3,32,0.09375,-0.15170692396576
"M_001","Habromyia lipoflava",2,32,0.0625,-0.342313059204793
"M_001","Hemicolletes ruizi",1,32,0.03125,-0.532919194443825
"M_001","Hymenoptera ni",22,32,0.6875,3.46980964557585
"M_001","Hypodynerus chiliotus",3,32,0.09375,-0.15170692396576
"M_001","Hypodynerus sp2",2,32,0.0625,-0.342313059204793
"M_001","Hypodynerus sp3",2,32,0.0625,-0.342313059204793
"M_001","Hypsochila wagenknecti",1,32,0.03125,-0.532919194443825
"M_001","Isepeolus niveiventris",1,32,0.03125,-0.532919194443825
"M_001","Lepidoptera ni",6,32,0.1875,0.420111481751336
"M_001","Liphanthus sabulosus",3,32,0.09375,-0.15170692396576
"M_001","Liphanthus sp2",1,32,0.03125,-0.532919194443825
"M_001","Lithurgomma wagenknechti",2,32,0.0625,-0.342313059204793
"M_001","Lycophlaeba lugubris",3,32,0.09375,-0.15170692396576
"M_001","Megachile semirufa",16,32,0.5,2.32617283414166
"M_001","Megachile sp1",13,32,0.40625,1.75435442842456
"M_001","Megachile sp2",6,32,0.1875,0.420111481751336
"M_001","Mesonychium gayi",2,32,0.0625,-0.342313059204793
"M_001","Muscidae sp",1,32,0.03125,-0.532919194443825
"M_001","Panurgineae sp",6,32,0.1875,0.420111481751336
"M_001","Phulia nymphula",1,32,0.03125,-0.532919194443825
"M_001","Prosopochaeta caliginosa",2,32,0.0625,-0.342313059204793
"M_001","Pseudolucia chilensis",2,32,0.0625,-0.342313059204793
"M_001","Ruizantheda mutabilis",2,32,0.0625,-0.342313059204793
"M_001","Ruiziella luctuosa",3,32,0.09375,-0.15170692396576
"M_001","Sarcophagidae ni",7,32,0.21875,0.610717616990369
"M_001","Scaeva melanostoma",32,32,1,5.37587099796617
"M_001","Scaptia atra",1,32,0.03125,-0.532919194443825
"M_001","Spathipalpus philippii",2,32,0.0625,-0.342313059204793
"M_001","Svastrides melanura",1,32,0.03125,-0.532919194443825
"M_001","Tabanidae ni",1,32,0.03125,-0.532919194443825
"M_001","Tachinidae ni",4,32,0.125,0.0388992112732718
"M_001","Tapinotaspis caerulea",1,32,0.03125,-0.532919194443825
"M_001","Tapinotaspis herbsti",1,32,0.03125,-0.532919194443825
"M_001","Tatochila blanchardii",1,32,0.03125,-0.532919194443825
"M_001","Tatochila mercedis",4,32,0.125,0.0388992112732718
"M_001","Troch ni",1,32,0.03125,-0.532919194443825
"M_001","Truphoecus bellus",3,32,0.09375,-0.15170692396576
"M_001","Vespidae ni",1,32,0.03125,-0.532919194443825
"M_001","Vibrissomyia sp",1,32,0.03125,-0.532919194443825
"M_001","Villa  durvillei",1,32,0.03125,-0.532919194443825
"M_001","Villa arenarius",1,32,0.03125,-0.532919194443825
"M_001","Villa gayi",1,32,0.03125,-0.532919194443825
"M_001","Villa guttapennis",1,32,0.03125,-0.532919194443825
"M_001","Villa hypoxantha",5,32,0.15625,0.229505346512304
"M_001","Villa semifuscata",3,32,0.09375,-0.15170692396576
"M_001","Villa sp",8,32,0.25,0.801323752229401
"M_001","Villa verdensis",5,32,0.15625,0.229505346512304
"M_001","Xanthocolletes incahuasi",2,32,0.0625,-0.342313059204793
"M_001","Xanthocolletes sicheli",4,32,0.125,0.0388992112732718
"M_001","Xanthocolletes sp",1,32,0.03125,-0.532919194443825
"M_001","Yramea lathonoides",3,32,0.09375,-0.15170692396576
"M_002","Agromyzidae sp1",1,21,0.0476190476190476,-0.610826331436137
"M_002","Agromyzidae sp2",1,21,0.0476190476190476,-0.610826331436137
"M_002","Alloscirtetica rufitarsis",1,21,0.0476190476190476,-0.610826331436137
"M_002","Alloscirtetica sp",2,21,0.0952380952380952,-0.334393977063579
"M_002","Andinus venustus",4,21,0.19047619047619,0.218470731681538
"M_002","Anthidium funereum",3,21,0.142857142857143,-0.0579616226910203
"M_002","Anthidium sp",2,21,0.0952380952380952,-0.334393977063579
"M_002","Anthomyiidae ni",1,21,0.0476190476190476,-0.610826331436137
"M_002","Anthomyiidae sp2",2,21,0.0952380952380952,-0.334393977063579
"M_002","Ateloglutus sp",1,21,0.0476190476190476,-0.610826331436137
"M_002","Auca coctei pales",4,21,0.19047619047619,0.218470731681538
"M_002","Bibionidae sp1",1,21,0.0476190476190476,-0.610826331436137
"M_002","Bombus dahlbomii",8,21,0.380952380952381,1.32420014917177
"M_002","Bombylliidae ni",3,21,0.142857142857143,-0.0579616226910203
"M_002","Caenohalictus sp",8,21,0.380952380952381,1.32420014917177
"M_002","Centris cana",1,21,0.0476190476190476,-0.610826331436137
"M_002","Centris cineraria",3,21,0.142857142857143,-0.0579616226910203
"M_002","Centris nigerrima",2,21,0.0952380952380952,-0.334393977063579
"M_002","Chilicola sp",1,21,0.0476190476190476,-0.610826331436137
"M_002","Coleoptera sp",2,21,0.0952380952380952,-0.334393977063579
"M_002","Colletes fulvipes",1,21,0.0476190476190476,-0.610826331436137
"M_002","Colletes sp",1,21,0.0476190476190476,-0.610826331436137
"M_002","Dasybasis sp1",1,21,0.0476190476190476,-0.610826331436137
"M_002","Diptera ni",21,21,1,4.91782075601503
"M_002","Etcheverrius chilensis",7,21,0.333333333333333,1.04776779479921
"M_002","Faunula leucoglene",5,21,0.238095238095238,0.494903086054097
"M_002","Gayella reedi",2,21,0.0952380952380952,-0.334393977063579
"M_002","Habromyia lipoflava",5,21,0.238095238095238,0.494903086054097
"M_002","Hymenoptera ni",4,21,0.19047619047619,0.218470731681538
"M_002","Hypodynerus  sp3",1,21,0.0476190476190476,-0.610826331436137
"M_002","Hypodynerus chiliotus",6,21,0.285714285714286,0.771335440426655
"M_002","Hypodynerus sp2",2,21,0.0952380952380952,-0.334393977063579
"M_002","Lepidoptera ni",4,21,0.19047619047619,0.218470731681538
"M_002","Lycophlaeba lugubris",1,21,0.0476190476190476,-0.610826331436137
"M_002","Megachile semirufa",4,21,0.19047619047619,0.218470731681538
