"sp.armonizado","ID","Grado","Grado_max","Grado_relativo","Z_Grado"
"Agapostemon splendens","M_005",4,32,0.125,-0.460125411527285
"Agapostemon splendens","M_062",1,121,0.00826446280991736,-0.745924533890354
"Agapostemon texanus","M_062",121,121,1,2.80492283405051
"Agapostemon virescens","M_073",1,21,0.0476190476190476,-0.635644827936913
"Alloscirtetica gayi","M_001",2,16,0.125,-0.660142021243349
"Alloscirtetica rufitarsis","M_002",1,8,0.125,-0.886810919348256
"Alloscirtetica rufitarsis","M_001",3,16,0.1875,-0.442990040571195
"Alloscirtetica sp","M_001",9,16,0.5625,0.859921843461731
"Alloscirtetica sp","M_002",2,8,0.25,-0.458695303111167
"Amegilla albigena","M_015",14,104,0.134615384615385,0.878963461851375
"Amegilla canifrons","M_039",5,13,0.384615384615385,0
"Amegilla canifrons","M_050",2,7,0.285714285714286,-0.641940738766369
"Amegilla fasciata","M_016",4,14,0.285714285714286,0.330025791078512
"Amegilla garrula","M_015",1,104,0.00961538461538462,-0.507114707018657
"Amegilla ochroleuca","M_015",2,104,0.0192307692307692,-0.40049330941327
"Amegilla quadrifasciata","M_015",7,104,0.0673076923076923,0.132613678613665
"Amegilla quadrifasciata","M_039",3,13,0.230769230769231,-0.523936831995584
"Amegilla quadrifasciata","M_050",3,7,0.428571428571429,-0.192582221629911
"Amegilla quadrifasciata","M_016",2,14,0.142857142857143,-0.378322248309514
"Amegilla savignyi","M_015",1,104,0.00961538461538462,-0.507114707018657
"Ammobates oraniensis","M_015",2,104,0.0192307692307692,-0.40049330941327
"Andrena alfkenella","M_015",2,104,0.0192307692307692,-0.40049330941327
"Andrena alleghaniensis","M_033",3,11,0.272727272727273,-1.23423202470516
"Andrena arabis","M_062",4,121,0.0330578512396694,-0.657153349691833
"Andrena arabis","M_025",1,7,0.142857142857143,-0.960555147841153
"Andrena assimilis","M_016",1,14,0.0714285714285714,-0.732496268003527
"Andrena athenensis","M_015",1,104,0.00961538461538462,-0.507114707018657
"Andrena barbilabris","M_047",1,13,0.0769230769230769,-0.633925273289415
"Andrena barbilabris","M_005",1,32,0.03125,-0.788135605883369
"Andrena bicolor","M_015",3,104,0.0288461538461538,-0.293871911807883
"Andrena bicolor","M_016",1,14,0.0714285714285714,-0.732496268003527
"Andrena bicolorata","M_015",1,104,0.00961538461538462,-0.507114707018657
"Andrena bimaculata","M_016",1,14,0.0714285714285714,-0.732496268003527
"Andrena canohirta","M_015",4,104,0.0384615384615385,-0.187250514202496
"Andrena carlini","M_062",59,121,0.487603305785124,0.970318360614395
"Andrena carlini","M_025",7,7,1,1.76101777104211
"Andrena carlini","M_032",4,6,0.666666666666667,0.794430822633543
"Andrena carlini","M_033",5,11,0.454545454545455,-0.444323528893858
"Andrena carolina","M_033",4,11,0.363636363636364,-0.839277776799509
"Andrena chrysosceles","M_007",1,10,0.1,-0.568903074579574
"Andrena cinereophila","M_015",1,104,0.00961538461538462,-0.507114707018657
"Andrena clarkella","M_047",2,13,0.153846153846154,-0.253570109315766
"Andrena combaella","M_015",1,104,0.00961538461538462,-0.507114707018657
"Andrena concinna","M_015",3,104,0.0288461538461538,-0.293871911807883
"Andrena crassana","M_015",4,104,0.0384615384615385,-0.187250514202496
"Andrena crataegi","M_005",9,32,0.28125,0.0865582457328554
"Andrena cressoni","M_032",2,6,0.333333333333333,-0.427770442956523
"Andrena distinguenda","M_015",4,104,0.0384615384615385,-0.187250514202496
"Andrena dunningi","M_025",1,7,0.142857142857143,-0.960555147841153
"Andrena erigeniae","M_025",4,7,0.571428571428571,0.40023131160048
"Andrena flavipes","M_015",16,104,0.153846153846154,1.09220625706215
"Andrena forbesii","M_032",3,6,0.5,0.18333018983851
"Andrena fulva","M_047",3,13,0.230769230769231,0.126785054657883
"Andrena fulvitarsis","M_015",1,104,0.00961538461538462,-0.507114707018657
"Andrena fuscipes","M_047",1,13,0.0769230769230769,-0.633925273289415
"Andrena grossella","M_015",3,104,0.0288461538461538,-0.293871911807883
"Andrena haemorrhoa","M_006",3,10,0.3,-0.174504949503245
"Andrena haemorrhoa","M_047",5,13,0.384615384615385,0.887495382605181
"Andrena haemorrhoa japonibia","M_021",1,25,0.04,-0.846043423048847
"Andrena hattorfiana","M_015",7,104,0.0673076923076923,0.132613678613665
"Andrena hesperia","M_015",7,104,0.0673076923076923,0.132613678613665
"Andrena hispania","M_016",4,14,0.285714285714286,0.330025791078512
"Andrena humilis","M_015",19,104,0.182692307692308,1.41207044987831
"Andrena hyemala","M_015",1,104,0.00961538461538462,-0.507114707018657
"Andrena imitatrix","M_073",1,21,0.0476190476190476,-0.635644827936913
"Andrena imitatrix","M_005",1,32,0.03125,-0.788135605883369
"Andrena impunctata","M_015",1,104,0.00961538461538462,-0.507114707018657
"Andrena japonica","M_054",2,23,0.0869565217391304,-0.832050294337844
"Andrena japonicum","M_055",1,6,0.166666666666667,-0.86066296582387
"Andrena kriechbaumeri","M_015",3,104,0.0288461538461538,-0.293871911807883
"Andrena lamiana","M_015",6,104,0.0576923076923077,0.0259922810082784
"Andrena lapponica","M_056",3,20,0.15,-0.598560104571665
"Andrena lapponica","M_047",2,13,0.153846153846154,-0.253570109315766
"Andrena longitibialis","M_021",1,25,0.04,-0.846043423048847
"Andrena longitibialis","M_053",4,15,0.266666666666667,-0.583091772941182
"Andrena longitibialis","M_056",1,20,0.05,-0.869606189660721
"Andrena mandibularis","M_033",6,11,0.545454545454545,-0.0493692809882064
"Andrena mandibularis","M_062",9,121,0.0743801652892562,-0.50920137602763
"Andrena melanochroa","M_004",1,8,0.125,-0.488071100869251
"Andrena minutula","M_057",11,37,0.297297297297297,-0.203324740477391
"Andrena minutula","M_021",4,25,0.16,-0.472788971703768
"Andrena minutula","M_053",2,15,0.133333333333333,-0.983967366838245
"Andrena miranda","M_004",2,8,0.25,0.0406725917391042
"Andrena miserabilis","M_032",2,6,0.333333333333333,-0.427770442956523
"Andrena mocsaryi","M_015",12,104,0.115384615384615,0.6657206666406
"Andrena mucronata","M_015",6,104,0.0576923076923077,0.0259922810082784
"Andrena nana","M_015",1,104,0.00961538461538462,-0.507114707018657
"Andrena nasonii","M_025",3,7,0.428571428571429,-0.0533641748800641
"Andrena nigroaenea","M_047",3,13,0.230769230769231,0.126785054657883
"Andrena nigroaenea","M_015",6,104,0.0576923076923077,0.0259922810082784
"Andrena nigroaenea","M_016",2,14,0.142857142857143,-0.378322248309514
"Andrena nitida","M_006",2,10,0.2,-0.473656291508807
"Andrena nitida","M_007",1,10,0.1,-0.568903074579574
"Andrena nivalis","M_004",2,8,0.25,0.0406725917391042
"Andrena nobilis","M_015",2,104,0.0192307692307692,-0.40049330941327
"Andrena nubecula","M_062",1,121,0.00826446280991736,-0.745924533890354
"Andrena optata","M_015",2,104,0.0192307692307692,-0.40049330941327
"Andrena oralis","M_015",2,104,0.0192307692307692,-0.40049330941327
"Andrena panurgimorpha","M_015",1,104,0.00961538461538462,-0.507114707018657
"Andrena panurgina","M_015",1,104,0.00961538461538462,-0.507114707018657
"Andrena personata","M_062",3,121,0.0247933884297521,-0.686743744424673
"Andrena personata","M_032",1,6,0.166666666666667,-1.03887107575156
"Andrena personata","M_025",1,7,0.142857142857143,-0.960555147841153
"Andrena pilipes","M_015",8,104,0.0769230769230769,0.239235076219052
"Andrena pruni","M_062",83,121,0.685950413223141,1.68048783420257
"Andrena rugosa","M_032",3,6,0.5,0.18333018983851
"Andrena rugothorace","M_015",17,104,0.163461538461538,1.19882765466754
"Andrena schmiedeknechti","M_015",6,104,0.0576923076923077,0.0259922810082784
"Andrena schulzi","M_015",13,104,0.125,0.772342064245988
"Andrena scita","M_015",1,104,0.00961538461538462,-0.507114707018657
"Andrena simontornyella","M_015",2,104,0.0192307692307692,-0.40049330941327
"Andrena spiraeana","M_062",71,121,0.586776859504132,1.32540309740848
"Andrena spiraeana","M_073",1,21,0.0476190476190476,-0.635644827936913
"Andrena subopaca","M_057",1,37,0.027027027027027,-1.01662370238696
"Andrena taraxaci","M_015",2,104,0.0192307692307692,-0.40049330941327
"Andrena taraxaci","M_053",2,15,0.133333333333333,-0.983967366838245
"Andrena tarsata","M_047",1,13,0.0769230769230769,-0.633925273289415
"Andrena tomora","M_015",2,104,0.0192307692307692,-0.40049330941327
"Andrena truncatilabris","M_015",4,104,0.0384615384615385,-0.187250514202496
"Andrena ventricosa","M_015",4,104,0.0384615384615385,-0.187250514202496
