"sp.armonizado","ID","Grado","Grado_max","Grado_relativo","Z_Grado"
"Agapostemon sp1 M PL 005","M_005",2,37,0.0540540540540541,-0.504856050835048
"Agapostemon sp1 M PL 040","M_040",2,6,0.333333333333333,-1.09544511501033
"Agapostemon splendens","M_005",4,37,0.108108108108108,-0.213872736232715
"Agapostemon splendens","M_062",1,121,0.00826446280991736,-0.70653148633059
"Agapostemon texanus","M_062",121,121,1,4.80121606008558
"Agapostemon virescens","M_073",1,21,0.0476190476190476,-0.593819839019529
"Alloscirtetica antarctica","M_022",1,7,0.142857142857143,-0.877058019307029
"Alloscirtetica gayi","M_001",2,16,0.125,-0.438753804794369
"Alloscirtetica herbsti","M_023",1,4,0.25,-0.921954445729289
"Alloscirtetica rufitarsis","M_001",3,16,0.1875,-0.19712127461776
"Alloscirtetica rufitarsis","M_002",1,8,0.125,-0.755704334827634
"Alloscirtetica sp","M_001",9,16,0.5625,1.25267390644189
"Alloscirtetica sp","M_002",2,8,0.25,-0.312705241997642
"Alloscirtetica sp1 M PL 022","M_022",1,7,0.142857142857143,-0.877058019307029
"Amegilla albigena","M_015",14,38,0.368421052631579,1.50701468617878
"Amegilla canifrons","M_039",5,13,0.384615384615385,-0.15735745936194
"Amegilla canifrons","M_050",2,8,0.25,-0.834057656228299
"Amegilla dulcifera subflavescens","M_044",8,21,0.380952380952381,0.646593854771694
"Amegilla fasciata","M_016",4,9,0.444444444444444,0.633392237243986
"Amegilla garrula","M_015",1,38,0.0263157894736842,-0.65770775023244
"Amegilla ochroleuca","M_015",2,38,0.0526315789473684,-0.491190639739269
"Amegilla quadrifasciata","M_015",7,38,0.184210526315789,0.341394912726585
"Amegilla quadrifasciata","M_016",2,9,0.222222222222222,-0.273899345835237
"Amegilla quadrifasciata","M_050",3,8,0.375,-0.41702882811415
"Amegilla quadrifasciata","M_039",3,13,0.230769230769231,-0.606950200396053
"Amegilla savignyi","M_015",1,38,0.0263157894736842,-0.65770775023244
"Amegilla sp1 M PL 050","M_050",3,8,0.375,-0.41702882811415
"Amegilla sp1 M PL 058","M_039",8,13,0.615384615384615,0.51703165218923
"Amegilla walshii","M_062",23,121,0.190082644628099,0.303222230512374
"Ammobates oraniensis","M_015",2,38,0.0526315789473684,-0.491190639739269
"Andrena aburana","M_057",1,37,0.027027027027027,-0.526844277609662
"Andrena aburana","M_056",1,22,0.0454545454545455,-0.667453166962479
"Andrena akitsushimae","M_057",2,37,0.0540540540540541,-0.395524042241081
"Andrena akitsushimae","M_021",2,25,0.08,-0.393303875357079
"Andrena alfkenella","M_015",2,38,0.0526315789473684,-0.491190639739269
"Andrena alleghaniensis","M_033",3,11,0.272727272727273,-1.29068932937447
"Andrena amamiensis","M_044",2,21,0.0952380952380952,-0.475207531820161
"Andrena apacheorum","M_005",2,37,0.0540540540540541,-0.504856050835048
"Andrena arabis","M_062",4,121,0.0330578512396694,-0.568837797670186
"Andrena arabis","M_025",1,7,0.142857142857143,-1.05362781094266
"Andrena assimilis","M_016",1,9,0.111111111111111,-0.727545137374849
"Andrena athenensis","M_015",1,38,0.0263157894736842,-0.65770775023244
"Andrena banksi","M_073",1,21,0.0476190476190476,-0.593819839019529
"Andrena barbilabris","M_005",1,37,0.027027027027027,-0.650347708136215
"Andrena barbilabris","M_047",1,8,0.125,-0.742520131897348
"Andrena benefica","M_054",1,24,0.0416666666666667,-0.565655243280164
"Andrena benefica","M_021",1,25,0.04,-0.570567593827875
"Andrena benefica","M_053",1,15,0.0666666666666667,-0.662374062890642
"Andrena bicolor","M_015",3,38,0.0789473684210526,-0.324673529246099
"Andrena bicolor","M_016",1,9,0.111111111111111,-0.727545137374849
"Andrena bicolorata","M_015",1,38,0.0263157894736842,-0.65770775023244
"Andrena bimaculata","M_016",1,9,0.111111111111111,-0.727545137374849
"Andrena braccata","M_005",1,37,0.027027027027027,-0.650347708136215
"Andrena bradleyi","M_033",5,11,0.454545454545455,-0.409242958094345
"Andrena brassicae","M_054",1,24,0.0416666666666667,-0.565655243280164
"Andrena brassicae","M_057",1,37,0.027027027027027,-0.526844277609662
"Andrena brenihirtiscopa","M_056",1,22,0.0454545454545455,-0.667453166962479
"Andrena brevihirtiscopa","M_021",3,25,0.12,-0.216040156886283
"Andrena canadensis","M_005",2,37,0.0540540540540541,-0.504856050835048
"Andrena caneae","M_015",6,38,0.157894736842105,0.174877802233414
"Andrena canohirta","M_015",4,38,0.105263157894737,-0.158156418752928
"Andrena carlini","M_062",59,121,0.487603305785124,1.95554649443722
"Andrena carlini","M_033",5,11,0.454545454545455,-0.409242958094345
"Andrena carlini","M_025",7,7,1,1.79561922709946
